"","Name","Team","PlayerId","AB","AVG","OPS","R","HR","RBI","RC","wAVG","wOPS","pr","rank"
"1","Ronald Acuña Jr.","ATL","18401",594,0.318166,0.982584,3.63166907548403,2.50947934959957,1.9095995319702,3.21423515510321,2.37964976601534,2.56970939279737,16.2143422709697,1
"2","Aaron Judge","NYY","15640",560,0.269985,0.949205,2.67568716032298,3.56647310864467,2.46401728053408,2.77090379910002,1.08666384493981,1.97415882173887,14.5379040152804,2
"3","Yordan Alvarez","HOU","19556",525,0.299223,0.989884,1.8259254579576,2.64160356948021,2.57490083024685,2.87065481742357,1.2885006738324,1.83852328642222,13.0401086353629,3
"4","Juan Soto","NYY","20123",526,0.284221,0.982851,2.30391641553813,2.50947934959957,2.29769195596491,3.07828240103893,1.02880790488502,1.80755158172578,13.0257296087523,4
"5","Shohei Ohtani","LAD","19755",569,0.272955,0.925824,2.51635684112947,2.64160356948021,2.29769195596491,2.41164530997122,1.22758917018693,1.91973698501178,13.0146238317445,5
"6","Matt Olson","ATL","14344",553,0.268611,0.914233,1.93214567075327,2.77372778936085,2.57490083024685,2.26887244002326,0.996025298595188,1.67713908387877,12.2228111128582,6
"7","Rafael Devers","BOS","17350",592,0.284624,0.891316,1.98525577715111,2.2452309098383,2.07592485653936,2.23615423276973,1.67864150913531,1.92962717567264,12.1508344611064,7
"8","Vladimir Guerrero Jr.","TOR","19611",580,0.285411,0.893516,1.61348503236626,2.2452309098383,2.29769195596491,2.16560075155826,1.57742239912732,1.82195055056906,11.7213815994241,8
"9","Mookie Betts","LAD","13611",593,0.279303,0.885399,2.56946694752731,1.84885825019638,1.35518178340631,2.28809066268944,1.58044283225421,1.8997072159191,11.5417476919928,9
"10","Fernando Tatis Jr.","SDP","19709",594,0.277532,0.872856,1.71970524516193,2.2452309098383,2.13136663139575,1.8381162622468,1.55401216956735,1.82466177525943,11.3130929934696,10
"11","Austin Riley","ATL","18360",588,0.275199,0.863233,1.56037492596842,2.11310668995766,2.40857550567769,1.8777747516586,1.45012601768984,1.70011694860604,11.1100748395582,11
"13","Julio Rodríguez","SEA","23697",606,0.282345,0.858091,1.87903556435544,1.84885825019638,1.63239065768826,1.68788674051005,1.76770465771032,1.84211311233422,10.6579889827947,12
"16","Freddie Freeman","LAD","5361",577,0.30203,0.89708,1.87903556435544,0.923988711031923,1.74327420740103,2.3019041838583,1.87614867084967,1.81481630224812,10.5391676397445,13
"12","Pete Alonso","NYM","19251",564,0.249846,0.854338,1.34793450037708,2.90585200924148,2.40857550567769,1.57447450136515,0.735069953778171,1.40595012134277,10.3778565917823,14
"17","Kyle Tucker","HOU","18345",556,0.28575,0.89572,1.56037492596842,1.71673403031575,2.07592485653936,1.85242888887776,1.34955738567527,1.59082980226547,10.145849889642,15
"15","Mike Trout","LAA","10155",564,0.258491,0.865338,1.77281535155976,2.37735512971893,1.63239065768826,1.79269966843989,0.901855165744647,1.47686737536946,9.95398334852095,16
"18","Bobby Witt Jr.","KCR","25764",619,0.277935,0.8298,1.87903556435544,1.45248559055447,1.52150710797548,1.3057188807186,1.79988289687837,1.76944754909825,9.72807758958061,17
"14","Kyle Schwarber","PHI","16478",566,0.223914,0.835713,2.09147598994678,3.03797622912212,1.4106235582627,1.59304874823464,0.250090993709722,1.3049802063372,9.68819572561317,18
"19","Bryce Harper","PHI","11579",540,0.283194,0.906648,1.45415471317275,1.45248559055447,1.74327420740103,2.11574942761588,1.14594983773928,1.49446281026892,9.40607658675233,19
"20","Corey Seager","TEX","13624",548,0.292808,0.895645,1.61348503236626,1.58460981043511,1.4106235582627,1.87685687669698,1.4036652780997,1.50844896387817,9.39768951973893,20
"21","Ozzie Albies","ATL","16556",605,0.276731,0.821076,1.71970524516193,1.32036137067384,1.57694888283187,1.36822441230795,1.64186388155544,1.57632011380218,9.2034239063332,21
"22","José Ramírez","CLE","13510",580,0.28183,0.864871,1.40104460677491,1.05611293091256,1.74327420740103,1.77809312894672,1.50637539750909,1.63203656763469,9.11693683917901,22
"25","Bo Bichette","TOR","19612",620,0.291651,0.814578,1.45415471317275,0.791864491151286,1.29974000854993,1.38749891025099,2.1002827401104,1.67105225962354,8.70459312285889,23
"23","Manny Machado","SDP","11493",584,0.269386,0.823503,1.02927386199006,1.71673403031575,1.85415775711381,1.33688218953943,1.29634598711136,1.3954236415091,8.6288174675795,24
"24","Luis Robert Jr.","CHW","20043",604,0.266676,0.806518,0.976163755592223,1.84885825019638,1.74327420740103,1.09635711662687,1.42465188193451,1.4664222834869,8.55572749523791,25
"26","Corbin Carroll","ARI","25878",594,0.27304,0.838502,1.98525577715111,0.923988711031923,1.02253113426799,1.52320147917558,1.46273973556518,1.5913998379882,8.50911667517997,26
"27","Paul Goldschmidt","STL","9218",580,0.2687,0.828263,1.66659513876409,1.1882371507932,1.24429823369354,1.55232148786705,1.24587633823868,1.38932855271895,8.28665690207551,27
"28","Marcus Semien","TEX","12533",617,0.264802,0.797558,1.87903556435544,1.1882371507932,0.800764034842433,1.28248272351918,1.50368789992648,1.52307851667507,8.1772858901118,28
"29","Jose Altuve","HOU","5417",596,0.273607,0.817685,1.98525577715111,0.923988711031923,0.689880485129657,1.45497064649317,1.49297902626347,1.46874718975092,8.01582183582025,29
"30","Jorge Soler","","14221",559,0.243788,0.812584,1.29482439397924,1.98098247007702,1.4106235582627,1.1145609729039,0.576498771029397,1.09031831934057,7.46780848559283,30
"36","Yandy Díaz","TBR","16578",572,0.294921,0.856845,1.71970524516193,0.263367611628736,0.357229835991328,1.91087738420517,1.68539408369426,1.50046882954853,7.43704299022995,31
"32","Bryan Reynolds","PIT","19326",592,0.268858,0.810761,1.50726481957058,0.791864491151286,1.02253113426799,1.33991605978123,1.35937257044177,1.38450439622598,7.40545347143884,32
"33","Alex Bregman","HOU","17678",570,0.266989,0.825262,1.61348503236626,0.659740271270648,1.13341468398076,1.53381973276825,1.1206015148815,1.27509736269002,7.33615859795744,33
"31","Nolan Arenado","STL","9777",588,0.262886,0.789314,0.86994354279655,1.1882371507932,1.85415775711381,0.96896310663408,1.20246671534506,1.20328040601505,7.28704867869774,34
"38","Ketel Marte","ARI","13613",594,0.275563,0.817448,1.50726481957058,0.263367611628736,0.91164758455521,1.45971551847821,1.51400428387049,1.4484442337701,7.10444405187333,35
"39","Trea Turner","PHI","16252",615,0.278299,0.78626,1.45415471317275,0.395491831509374,0.967089359411598,1.06481738959162,1.7695112939757,1.42541999391394,7.07648458157498,36
"34","Christian Walker","ARI","13419",571,0.255727,0.802883,0.923053649194387,1.32036137067384,1.68783243254464,1.0853009571132,0.909763556506774,1.13846223015982,7.06477419619266,37
"35","Anthony Santander","BAL","14551",593,0.251175,0.778127,0.86994354279655,1.45248559055447,1.57694888283187,0.947031201067423,1.00987538987157,1.17256192986929,7.02884653699117,38
"37","Adolis García","TEX","19287",585,0.240868,0.765139,0.86994354279655,1.71673403031575,1.63239065768826,0.634521104163985,0.734886468084192,1.01455275534609,6.60302855839482,39
"41","George Springer","TOR","12856",593,0.258426,0.782552,1.56037492596842,1.05611293091256,0.634438710273269,0.975643877822328,1.15695959510182,1.20255687627442,6.58608691635281,40
"40","Rhys Hoskins","","16472",567,0.241737,0.793585,1.29482439397924,1.45248559055447,1.07797290912437,1.01647186258097,0.603432822133968,1.04148828065935,6.48667585903237,41
"44","Francisco Lindor","NYM","12916",586,0.253824,0.77877,1.08238396838789,1.05611293091256,1.29974000854993,0.891619246335228,1.00283181740086,1.11460626717016,6.44729423875662,42
"45","Gunnar Henderson","BAL","26289",562,0.260592,0.818769,1.34793450037708,1.05611293091256,0.745322259986045,1.13799161361982,0.924561007271357,1.15791743689654,6.36983974906339,43
"42","Triston Casas","BOS","22514",515,0.259323,0.857473,0.976163755592223,1.32036137067384,1.24429823369354,1.37760332119879,0.483245792993725,0.945879156803022,6.34755163095513,44
"43","Spencer Torkelson","DET","27465",568,0.242314,0.788216,0.816833436398714,1.45248559055447,1.35518178340631,0.980848696360463,0.622912715610332,1.01570010826976,6.24396233060006,45
"48","Gleyber Torres","NYY","16997",567,0.269805,0.798481,0.976163755592223,0.791864491151286,1.18885645883715,0.971645169855524,1.14782009879788,1.07322080266615,6.14957077690021,46
