name,PlayerId,position
Juan Soto,36969,LF
Ronald Acuna Jr.,36185,RF
Luis Robert Jr.,39631,CF
Gunnar Henderson,42507,3B-SS
Corey Seager,32691,SS
Bobby Witt Jr.,42403,SS
Julio Rodriguez,41044,CF
Shohei Ohtani,39832,DH-SP
Yordan Alvarez,36018,LF-DH
Mike Trout,30836,CF
Spencer Strider,4307825,SP
Paul Goldschmidt,31027,1B-DH
Jose Ramirez,32801,3B-DH
Austin Riley,34982,3B
Trea Turner,33710,SS
Corbin Carroll,42404,LF-CF-RF
Pete Alonso,37498,1B
Zack Wheeler,31267,SP
Bo Bichette,38904,SS
Manny Machado,31097,3B-DH
Rafael Devers,33859,3B
Kyle Tucker,34967,RF
Bryce Harper,30951,1B-DH
Ozzie Albies,33783,2B
Francisco Lindor,32129,SS
Nolan Arenado,31261,3B
Nick Castellanos,31187,RF
Josh Jung,42437,3B
Matt Olson,32767,1B
Adolis Garcia,35537,RF
Jose Altuve,31662,2B
Vladimir Guerrero Jr.,35002,1B-DH
Freddie Freeman,30193,1B
Aaron Judge,33192,RF-DH
Mookie Betts,33039,2B-RF
Fernando Tatis Jr.,35983,RF
Luis Castillo,35124,SP
Corbin Burnes,39878,SP
Marcus Semien,32146,2B
Kevin Gausman,32667,SP
Adley Rutschman,42178,C-DH
Zac Gallen,39910,SP
Aaron Nola,33709,SP
Framber Valdez,36581,SP
Logan Webb,41216,SP
Pablo Lopez,39671,SP
Tyler Glasnow,33190,SP
Will Smith,38309,C
George Kirby,42406,SP
Freddy Peralta,39825,SP
Max Fried,32685,SP
Kyle Schwarber,33712,LF-DH
Yoshinobu Yamamoto,4872587,SP
Alex Bregman,34886,3B
Logan Gilbert,41221,SP
Ketel Marte,32512,2B
William Contreras,39895,C-DH
Tarik Skubal,42409,SP
Camilo Doval,41337,RP
Jesus Luzardo,39667,SP
Josh Hader,32760,RP
Emmanuel Clase,41743,RP
Luis Arraez,39572,2B
Michael Harris II,42470,CF
Edwin Diaz,35394,RP
Blake Snell,33748,SP
Yandy Diaz,33481,1B
Gerrit Cole,32081,SP
Dylan Cease,34943,SP
Bryan Reynolds,38980,LF
Joe Ryan,42450,SP
Cody Bellinger,33912,1B-CF
Nico Hoerner,41219,2B-SS
Grayson Rodriguez,41196,SP
Justin Steele,41022,SP
Zach Eflin,32804,SP
Randy Arozarena,36488,LF
J.T. Realmuto,32177,C
Elly De La Cruz,4917694,3B-SS
Christian Walker,32758,1B
George Springer,32078,RF-DH
Steven Kwan,41996,LF
Chris Bassitt,33148,SP
Merrill Kelly,32968,SP
Alexis Diaz,4905920,RP
Christian Yelich,31283,LF-DH
Xander Bogaerts,31606,SS
Joe Musgrove,34848,SP
Raisel Iglesias,33618,RP
Ha-Seong Kim,4089862,2B-3B-SS
Chris Sale,30948,SP
Gleyber Torres,33804,2B
Mitch Keller,33722,SP
Cole Ragans,41054,SP-RP
Jordan Romano,36380,RP
Bobby Miller,4326703,SP
Anthony Santander,36084,RF-DH
Brandon Nimmo,32159,CF
Jhoan Duran,41109,RP
Evan Carter,4917921,LF
Marcell Ozuna,31668,DH
Royce Lewis,40635,3B
Shane Bieber,40912,SP
Hunter Greene,39635,SP
Clay Holmes,32827,RP
Jose Berrios,32811,SP
David Bednar,38303,RP
Masataka Yoshida,4872598,LF-DH
Spencer Steer,4722857,1B-3B-LF
Tanner Bibee,4345278,SP
Sonny Gray,32082,SP
Andres Munoz,40939,RP
Hunter Brown,4717803,SP
Nolan Jones,37340,LF-RF
Cristian Javier,41261,SP
Yainer Diaz,4781491,C-DH
Paul Sewald,35009,RP
Bailey Ober,3107919,SP
Triston Casas,41180,1B
Dansby Swanson,34895,SS
Ian Happ,34945,LF
Bryson Stott,42417,2B
Cal Raleigh,41292,C
Seiya Suzuki,4142424,RF
Evan Phillips,37911,RP
Nick Pivetta,36071,SP-RP
Pete Fairbanks,42180,RP
Max Muncy,33303,3B
Ryan Helsley,39909,RP
Josh Naylor,35066,1B-DH
Tanner Scott,35135,RP
Isaac Paredes,39706,1B-3B
Jordan Montgomery,38173,SP
Matt McLain,4422899,2B-SS
Jorge Soler,32558,RF-DH
CJ Abrams,42402,SS
Yu Darvish,32055,SP
Craig Kimbrel,30653,RP
Keibert Ruiz,38827,C
Cedric Mullins,35578,CF
Alec Bohm,41169,1B-3B
Gabriel Moreno,42464,C
Michael King,40429,SP-RP
Spencer Torkelson,4424286,1B
Adbert Alzolay,39802,RP
Charlie Morton,29155,SP
Kodai Senga,4142421,SP
Lane Thomas,36409,RF
Walker Buehler,39251,SP
Nathan Eovaldi,31174,SP
Eury Perez,4917854,SP
Lourdes Gurriel Jr.,36040,LF-DH
Sean Murphy,33557,C
Justin Verlander,6341,SP
Willson Contreras,32532,C-DH
Jeff McNeil,33900,2B-LF-RF
Carlos Rodon,33696,SP
Salvador Perez,31127,C-1B-DH
Kenley Jansen,29630,RP
Bryce Miller,4654313,SP
Oneil Cruz,39712,SS
Vinnie Pasquantino,4109109,1B
J.P. Crawford,33210,SS
Eduardo Rodriguez,32675,SP
Teoscar Hernandez,33377,RF-DH
Andres Gimenez,37729,2B
Reid Detmers,4326697,SP
Jazz Chisholm Jr.,41433,CF
Braxton Garrett,40971,SP
Jose Alvarado,36063,RP
Wyatt Langford,4719324,LF
Jung Hoo Lee,5134621,CF
Kyle Bradish,4311625,SP
Alex Lange,40976,RP
Devin Williams,33224,RP
Josh Lowe,40557,RF-DH
Jake Cronenworth,36364,1B-2B
Carlos Correa,32653,SS
Francisco Alvarez,41253,C
Ke'Bryan Hayes,35020,3B
Willy Adames,33675,SS
Daulton Varsho,40963,LF-CF
Kyle Harrison,4683375,SP
Shota Imanaga,5134630,SP
Jackson Holliday,5080633,2B-SS
Jose Leclerc,33926,RP
Jonah Heim,33842,C
TJ Friedl,36020,LF-CF
Tommy Edman,39907,2B-SS-CF
Yennier Cano,35536,RP
Marcus Stroman,32815,SP
Justin Turner,29607,1B-DH
Kenta Maeda,34892,SP
Anthony Volpe,42547,SS
Lance Lynn,30820,SP
Ryan Pepiot,4208281,RP
Thairo Estrada,36485,2B-SS
Josh Bell,32517,1B-DH
Eloy Jimenez,33867,DH
Luis Rengifo,37237,2B-3B-SS-RF
Rhys Hoskins,35291,1B
Zack Gelof,4414531,2B
Junior Caminero,4905921,3B-SS
James Outman,41802,CF
Jordan Walker,4684778,RF
Triston McKenzie,34954,SP
Jackson Chourio,4917869,CF
Yusei Kikuchi,41415,SP
Jon Gray,33203,SP
A.J. Puk,36201,RP
Carlos Estevez,34861,RP
Max Scherzer,28976,SP
Christian Encarnacion-Strand,5012106,1B-DH
Nestor Cortes,36480,SP
Riley Greene,42179,CF
Robert Suarez,4148749,RP
Jarren Duran,41610,LF-CF
Chas McCormick,40574,LF-CF-RF
Esteury Ruiz,39680,CF
Jake Burger,39882,3B-DH
Bryan Woo,4629089,SP
Brayan Bello,4720856,SP
Logan O'Hoppe,42047,C
Giancarlo Stanton,30583,RF-DH
Jeimer Candelario,32531,1B-3B
Ryan Pressly,33072,RP
Mitch Garver,33667,C-DH
Lars Nootbaar,4448736,LF-CF-RF
Kyle Finnegan,36543,RP
Matt Chapman,33857,3B
Nolan Gorman,41174,2B-DH
Nathaniel Lowe,40538,1B
Dean Kremer,38295,SP
Vaughn Grissom,42503,SS
Kutter Crawford,41277,SP-RP
Gavin Williams,4345076,SP
Andrew Benintendi,34986,LF
Jeremy Pena,41273,SS
Trevor Story,32150,SS
Christopher Morel,42927,CF-DH
Josiah Gray,41165,SP
Robert Stephenson,32134,RP
Gavin Lux,40423,2B-LF
Andrew Abbott,4414528,SP
Anthony Rizzo,30782,1B
Byron Buxton,32655,DH
