"","name","team","points","IDFANGRAPHS","ESPNID","position","replacement_pr","adj_points","FANTPROSNAME","ESPN"
"1","Ronald Acuña Jr.","ATL",16.414581856618,"18401",36185,"RF",1.01938213796651,15.3951997186515,"Ronald Acuna Jr.",1
"2","Aaron Judge","NYY",13.993288090337,"15640",33192,"RF",1.01938213796651,12.9739059523705,"Aaron Judge",14
"3","Aaron Judge","NYY",13.993288090337,"15640",33192,"DH",4.96976368634212,9.02352440399486,"Aaron Judge",14
"4","Matt Olson","ATL",13.903865795684,"14344",32767,"1B",4.0712619963038,9.83260379938024,"Matt Olson",9
"5","Juan Soto","NYY",13.4661582412099,"20123",36969,"LF",1.01938213796651,12.4467761032434,"Juan Soto",3
"6","Austin Riley","ATL",13.4533679161894,"18360",34982,"3B",3.03297428222753,10.4203936339619,"Austin Riley",32
"7","Yordan Alvarez","HOU",13.2851783476838,"19556",36018,"LF",1.01938213796651,12.2657962097173,"Yordan Alvarez",11
"8","Yordan Alvarez","HOU",13.2851783476838,"19556",36018,"DH",4.96976368634212,8.31541466134166,"Yordan Alvarez",11
"9","Freddie Freeman","LAD",13.0496625139606,"5361",30193,"1B",4.0712619963038,8.97840051765681,"Freddie Freeman",5
"10","Mookie Betts","LAD",12.7862642274428,"13611",33039,"2B",1.59559610679458,11.1906681206482,"Mookie Betts",2
"11","Mookie Betts","LAD",12.7862642274428,"13611",33039,"RF",1.01938213796651,11.7668820894763,"Mookie Betts",2
"12","Shohei Ohtani","LAD",12.1583508917296,"19755",39832,"DH",4.96976368634212,7.18858720538745,"Shohei Ohtani",8
"13","Shohei Ohtani","LAD",12.1583508917296,"19755",39832,"DH",4.96976368634212,7.18858720538745,"Shohei Ohtani",8
"14","Shohei Ohtani","LAD",12.1583508917296,"19755",39832,"SP",3.99508454828887,8.1632663434407,"Shohei Ohtani",8
"15","Shohei Ohtani","LAD",12.1583508917296,"19755",39832,"SP",3.99508454828887,8.1632663434407,"Shohei Ohtani",8
"16","Rafael Devers","BOS",11.9057412487528,"17350",33859,"3B",3.03297428222753,8.87276696652529,"Rafael Devers",19
"17","Pete Alonso","NYM",11.7784617381786,"19251",37498,"1B",4.0712619963038,7.70719974187476,"Pete Alonso",35
"18","Vladimir Guerrero Jr.","TOR",11.3363075795061,"19611",35002,"1B",4.0712619963038,7.26504558320227,"Vladimir Guerrero Jr.",21
"19","Vladimir Guerrero Jr.","TOR",11.3363075795061,"19611",35002,"DH",4.96976368634212,6.36654389316395,"Vladimir Guerrero Jr.",21
"20","Julio Rodríguez","SEA",11.2791254494917,"23697",41044,"CF",-0.104121754941005,11.3832472044327,"Julio Rodriguez",18
"21","Kyle Tucker","HOU",11.2268545997875,"18345",34967,"RF",1.01938213796651,10.207472461821,"Kyle Tucker",6
"22","Fernando Tatis Jr.","SDP",11.1956116497402,"19709",35983,"RF",1.01938213796651,10.1762295117737,"Fernando Tatis Jr.",16
"23","Bobby Witt Jr.","KCR",10.5242840162556,"25764",42403,"SS",2.70406583783264,7.82021817842299,"Bobby Witt Jr.",12
"24","Bryce Harper","PHI",10.4352260398315,"11579",30951,"1B",4.0712619963038,6.3639640435277,"Bryce Harper",26
"25","Bryce Harper","PHI",10.4352260398315,"11579",30951,"DH",4.96976368634212,5.46546235348938,"Bryce Harper",26
"26","Kyle Schwarber","PHI",10.0582960060872,"16478",33712,"LF",1.01938213796651,9.03891386812071,"Kyle Schwarber",47
"27","Kyle Schwarber","PHI",10.0582960060872,"16478",33712,"DH",4.96976368634212,5.0885323197451,"Kyle Schwarber",47
"28","José Ramírez","CLE",9.74839196264597,"13510",32801,"3B",3.03297428222753,6.71541768041844,"Jose Ramirez",7
"29","José Ramírez","CLE",9.74839196264597,"13510",32801,"DH",4.96976368634212,4.77862827630385,"Jose Ramirez",7
"30","Marcus Semien","TEX",9.49367178522118,"12533",32146,"2B",1.59559610679458,7.8980756784266,"Marcus Semien",20
"31","Ozzie Albies","ATL",9.19132712816475,"16556",33783,"2B",1.59559610679458,7.59573102137016,"Ozzie Albies",24
"32","Trea Turner","PHI",9.07511394843244,"16252",33710,"SS",2.70406583783264,6.3710481105998,"Trea Turner",22
"33","Corey Seager","TEX",8.68239093402997,"13624",32691,"SS",2.70406583783264,5.97832509619733,"Corey Seager",30
"34","Corbin Carroll","ARI",8.41280636310968,"25878",42404,"LF",1.01938213796651,7.39342422514316,"Corbin Carroll",10
