Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15.2401,6.1866,14.7668,3.38512,29.6326,29.6326,0,0,178.53,717.403,133.873,72.9888,67.1497,20.4847,59.1663,1.11108,7.21745,250.648,12.6356,2.98267,4.23633,1.03267,0.349383,0.0824729,0.2669099196791649,0.205636,1.08127,0.298479,0.730408,,,3.05427,4.97846,4.57992,6.650000095367432,5.43155,-1.32969,1.5259,"27498"
"Zack Wheeler","PHI",12.7909,8.2415,16.4081,3.51848,29.8811,29.8811,0,0,186.817,758.852,164.372,79.3857,73.0349,20.8731,44.3758,0.952002,8.33286,194.121,9.35183,2.13782,4.37447,1.00557,0.255808,0.0584776,0.19733082503080368,0.232775,1.11739,0.292171,0.720578,,,3.47576,4.83005,4.41535,24.709999084472656,2.17792,-1.34999,1.1543,"10310"
"Logan Webb","SFG",12.2699,9.60921,16.4848,3.42069,30.1483,30.1483,0,0,193.046,791.203,183.095,79.7525,73.3723,16.1461,40.976,0.609264,7.29789,172.435,8.03908,1.91034,4.2082,0.752745,0.21794,0.0517895,0.16615067049860954,0.24645,1.16071,0.301163,0.71634,,,3.30607,4.60347,4.59626,54.790000915527344,3.42506,0.395208,1.07132,"17995"
"Kevin Gausman","TOR",12.2018,8.66645,15.5684,3.43882,29.5879,29.5879,0,0,181.454,738.994,160.714,75.3608,69.3319,22.2523,47.7956,0.686392,4.26878,211.404,10.4855,2.37064,4.42308,1.1037,0.28607,0.0646766,0.22139328718185425,0.23396,1.14911,0.30547,0.750741,,,3.37995,4.43173,4.09064,27.8799991607666,3.21264,-0.150275,1.11754,"14107"
"Aaron Nola","PHI",12.0737,9.01239,13.8289,3.8935,29.7133,29.7133,0,0,185.999,754.579,168.518,87.4623,80.4654,26.048,40.5136,0.895142,6.15018,194.858,9.42865,1.96035,4.80969,1.26039,0.258234,0.0536903,0.20454353466629982,0.238048,1.12383,0.292541,0.704486,,,3.73299,4.14108,3.49331,52.849998474121094,2.97865,-1.46323,1.24255,"16149"
"Pablo López","MIN",12.4222,8.35535,14.9231,3.51696,29.9517,29.9517,0,0,184.519,754.329,161.58,78.3751,72.1051,21.4914,48.8675,1.37474,8.77626,203.981,9.94929,2.38353,4.17418,1.04825,0.270414,0.0647827,0.2056317701935768,0.231927,1.14052,0.297294,0.732273,,,3.49543,3.98098,4.04256,34.66999816894531,3.5808,-0.368343,1.0804,"17085"
"Gerrit Cole","NYY",13.6608,7.70888,16.959,3.5148,30.6,30.6,0,0,194.898,784.035,164.243,82.7327,76.1141,27.3491,48.9726,0.546936,5.61581,218.401,10.0853,2.26146,4.45965,1.26293,0.27856,0.0624622,0.21609746664762497,0.225161,1.09399,0.283015,0.745928,,,3.67835,3.9454,4.40278,13.100000381469727,5.21744,0.654513,1.3666,"13125"
"George Kirby","SEA",12.1799,8.76577,15.0797,3.57021,29.7658,29.7658,0,0,181.24,729.928,170.549,78.148,71.8962,22.0474,27.0173,0.984395,6.76484,170.76,8.47959,1.34162,6.32041,1.09483,0.233942,0.0370137,0.19692788645625114,0.24499,1.09008,0.295033,0.716366,,,3.51128,3.8034,3.50775,33.75,2.73678,-2.84727,1.24789,"25436"
"Tarik Skubal","DET",10.2946,8.9275,11.8828,3.43798,27.5745,27.5745,0,0,154.552,626.009,131.965,64.1724,59.0386,17.0567,40.8416,0.527498,5.28627,176.695,10.2895,2.37832,4.32636,0.993259,0.282257,0.0652412,0.21701566874980927,0.227573,1.11811,0.297591,0.729445,,,3.29859,3.79301,3.63987,49.959999084472656,3.72285,0.092774,1.00651,"22267"
"Zach Eflin","TBR",11.7844,8.31532,12.9463,3.63299,28.2666,28.2666,0.00300705,0,165.449,668.401,153.749,72.5935,66.786,20.235,29.1499,1.5695,5.70039,160.57,8.73463,1.58568,5.50844,1.10073,0.240231,0.0436114,0.19661931693553925,0.242678,1.10547,0.294899,0.713628,,,3.53588,3.69825,3.42212,81.37999725341797,3.20658,0.17945,1.08047,"13774"
"Framber Valdez","HOU",13.7162,8.29859,16.5066,3.39603,29.0094,29.0094,0,0,186.714,776.056,163.675,76.5803,70.4539,16.415,60.8247,0.811387,10.0863,185.678,8.95009,2.93189,3.05268,0.791237,0.239259,0.0783768,0.16088205575942993,0.232116,1.20238,0.292734,0.734024,,,3.54838,3.6863,4.33313,58.540000915527344,2.95652,-0.229701,1.24863,"17295"
"Corbin Burnes","BAL",11.8092,8.16564,16.0994,3.53021,30.2827,30.2827,0,0,187.939,767.809,156.932,80.1283,73.718,21.2932,57.1953,0.543273,8.65895,201.913,9.66922,2.73897,3.53024,1.01969,0.262973,0.0744916,0.18848182260990143,0.223565,1.13935,0.283321,0.727004,,,3.63042,3.57157,3.93873,18.579999923706055,5.20904,0.361919,1.0556,"19361"
"Zac Gallen","ARI",12.9123,8.7049,14.931,3.65699,30.2275,30.2275,0,0,187.92,769.28,165.883,82.9979,76.3581,22.1535,50.8135,0.804129,7.61538,192.976,9.24212,2.43359,3.79772,1.06099,0.250852,0.0660533,0.18479879945516586,0.233359,1.15313,0.28994,0.720043,,,3.66655,3.56029,4.02579,39.380001068115234,3.53091,0.441829,1.03288,"19291"
"Yoshinobu Yamamoto","LAD",12.3999,7.64088,10.6702,3.70983,26.6822,26.6822,0,0,167.739,682.076,144.731,75.1552,69.1428,20.448,44.742,1.63407,6.15888,177.56,9.52691,2.40061,3.96853,1.09713,0.260323,0.0655967,0.194725900888443,0.229304,1.12957,0.286917,0.710729,,,3.63305,3.54432,3.41494,42.75,6.37239,0.833411,1.0267,"sa3023345"
"Max Fried","ATL",12.9801,6.58501,13.4848,3.40217,27.6194,27.6194,0,0,163.793,673.015,152.442,67.3009,61.9168,16.5831,40.1554,0.962056,5.41773,157.229,8.63931,2.20643,3.91551,0.911196,0.233619,0.0596649,0.17395376786589622,0.242958,1.17586,0.299493,0.739731,,,3.48607,3.51985,4.18108,62.150001525878906,2.91648,0.111689,1.07003,"13743"
"Luis Castillo","SEA",13.1823,9.07725,15.3573,3.53834,30.3129,30.3129,0,0,188.173,769.674,159.843,80.4131,73.98,23.0083,57.0539,1.19115,7.07449,199.678,9.55025,2.72879,3.49981,1.10045,0.259432,0.0741274,0.1853044033050537,0.226553,1.15265,0.283385,0.739008,,,3.74468,3.49334,3.75874,29.579999923706055,2.79818,0.482573,1.08269,"15689"
"Freddy Peralta","MIL",11.0082,8.74968,12.4979,3.69955,28.3565,28.3565,0,0,161.584,660.36,128.841,72.1964,66.4207,21.4272,55.6838,0.670446,7.2423,194.343,10.8247,3.10152,3.49012,1.19347,0.294299,0.0843235,0.209975466132164,0.215658,1.14198,0.281436,0.726919,,,3.74176,3.39633,3.41369,55,1.97972,1.35915,0.950088,"18679"
"Justin Steele","CHC",11.281,8.18817,13.3305,3.6675,29.0659,29.0659,0,0,170.681,712.489,159.91,75.6007,69.5526,18.0537,50.4328,1.22177,7.17109,165.842,8.74485,2.65932,3.28838,0.951972,0.232765,0.070784,0.1619807407259941,0.24418,1.23237,0.301188,0.72807,,,3.69929,3.34776,3.50967,101.16999816894531,1.32425,-0.27244,0.899246,"17312"
"Jesús Luzardo","MIA",10.7131,9.38707,13.1848,3.77615,28.8173,28.8173,0,0,168.025,696.706,148.034,76.6289,70.4986,21.6698,55.0107,1.08092,6.38963,190.719,10.2156,2.94657,3.46694,1.16071,0.273743,0.0789582,0.19478517025709152,0.233013,1.20842,0.298792,0.731968,,,3.75777,3.2113,3.31195,81.87999725341797,1.71047,-0.16679,0.889606,"19959"
"Sonny Gray","STL",9.83366,8.35673,12.3261,3.64062,27.8967,27.8967,0,0,163.093,680.265,147.018,71.7102,65.9734,16.3023,53.0136,0.690017,7.26323,155.487,8.58029,2.92546,2.93297,0.899613,0.228569,0.0779308,0.1506381779909134,0.23713,1.22648,0.291646,0.724127,,,3.75651,3.08696,3.39238,117.4000015258789,2.18096,1.13552,0.736993,"12768"
"Tyler Glasnow","LAD",11.6352,6.27071,10.8128,3.49644,23.9801,23.9801,0,0,138.374,557.641,110.409,58.432,53.7575,18.1609,43.0218,0.473384,2.92513,174.947,11.3787,2.79818,4.06648,1.1812,0.313727,0.0771497,0.23657768219709396,0.215771,1.10881,0.289554,0.742145,,,3.42876,3.07973,3.19057,40.599998474121094,3.46719,-2.35643,0.9908,"14374"
"Blake Snell",,11.2997,8.35912,12.9285,3.48912,27.9121,27.9121,0,0.134637,159.263,667.531,123.962,67.112,61.7431,17.6256,77.5102,0.692018,4.19669,201.822,11.405,4.38013,2.60381,0.996026,0.30234,0.116115,0.18622566759586334,0.211602,1.26503,0.290237,0.759971,,,3.69839,3.06233,3.65625,68.0199966430664,3.98974,0.448309,1.30585,"13543"
"Logan Gilbert","SEA",11.8767,8.54351,13.9943,3.81771,30.5735,30.5735,0,0,183.954,748.681,167.626,84.8166,78.0313,25.7821,41.9321,1.79403,5.6576,183.162,8.96129,2.05154,4.36807,1.2614,0.244647,0.056008,0.18863871321082115,0.239093,1.13919,0.288215,0.719124,,,3.86178,3.0426,2.93936,60.560001373291016,2.34561,-0.738544,1.0483,"22250"
"Mitch Keller","PIT",10.3556,10.0929,12.9631,4.16094,30.0213,30.0213,0,0,180.799,768.675,173.481,90.8566,83.5881,21.1884,60.5932,1.13507,10.2841,174.172,8.67011,3.01627,2.87445,1.05474,0.226587,0.0788281,0.14775903522968292,0.248612,1.29467,0.303108,0.700637,,,4.02793,2.96171,2.82883,168.19000244140625,1.76062,-1.2765,1.36536,"17594"
"Jordan Montgomery",,10.2317,8.40155,12.3679,3.86073,28.1451,28.1451,0,0.00767108,168.553,701.18,161.359,78.5914,72.3041,20.7721,45.5973,0.55466,5.42122,152.93,8.16584,2.43471,3.35393,1.10914,0.218104,0.0650294,0.1530749723315239,0.248183,1.22784,0.295066,0.721657,,,3.95056,2.9609,3.05824,150.6300048828125,2.41197,0.288451,0.708369,"16511"
"Shane Bieber","CLE",10.1619,8.10565,13.7728,3.78589,26.4461,26.4461,0,0,166.094,684.306,156.286,75.9437,69.8682,20.4068,42.9117,0.483973,4.96138,156.777,8.49512,2.32522,3.65348,1.10577,0.229103,0.0627083,0.16639509052038193,0.245566,1.19931,0.295872,0.722354,,,3.82914,2.84796,2.90819,165.19000244140625,2.90893,-0.045656,0.661517,"19427"
"Bobby Miller","LAD",11.89,7.00436,10.3164,3.82766,26.4448,26.4448,0,0,152.058,623.007,132.61,70.293,64.6696,17.9639,42.2045,1.47927,7.22418,149.434,8.84472,2.498,3.54072,1.06325,0.23986,0.0677433,0.17211652547121048,0.231198,1.14966,0.282255,0.69837,,,3.80055,2.80754,2.8604,999,3.25099,0.130849,0.906157,"27483"
"Grayson Rodriguez","BAL",10.5808,7.74659,10.7704,3.7374,28.3596,28.3596,0,0,158.735,654.791,136.393,71.6493,65.9173,18.8341,52.6484,0.712441,5.41837,170.692,9.67795,2.98507,3.24212,1.06786,0.260682,0.0804048,0.18027697503566742,0.22857,1.19093,0.288702,0.721643,,,3.74428,2.79727,2.85385,999,3.95483,-0.264864,0.747549,"24492"
