"","Name","Team","PlayerId","AB","AVG","OPS","R","HR","RBI","RC","wAVG","wOPS","pr"
"1","Ronald Acuña Jr.","ATL","18401",584.273,0.313199,0.969574,3.46979788741632,2.47550027045557,1.95272470358225,3.32456606070591,2.48856813187601,2.70342480258191,16.414581856618
"2","Aaron Judge","NYY","15640",506.198,0.276261,0.979902,2.20551382594542,3.53415561678839,2.65280357506746,2.80630411167418,0.933647825544397,1.86086313531713,13.993288090337
"3","Matt Olson","ATL","14344",564.589,0.26714,0.90351,2.22135640496504,2.95838532686227,2.85215296717865,2.51331694607578,1.32936142531129,2.029292725291,13.903865795684
"4","Juan Soto","NYY","20123",529.258,0.27983,0.964625,2.36301450203829,2.50409448085914,2.18126230671652,3.15215427837048,1.23127427183307,2.0343584013924,13.4661582412099
"6","Austin Riley","ATL","18360",591.673,0.279469,0.881916,2.08952764523973,2.64903483111417,2.33411770700503,2.3586396213503,1.85294021092752,2.16910790055267,13.4533679161894
"5","Yordan Alvarez","HOU","19556",504.858,0.296406,0.990944,1.79779291275287,2.75374898271145,2.59339142395011,2.94163863947122,1.2867915990038,1.91181478979433,13.2851783476838
"8","Freddie Freeman","LAD","5361",587.402,0.306871,0.904443,2.61857727308473,1.068174106906,1.92225036744878,2.76844084032635,2.38993898930054,2.28228093689422,13.0496625139606
"7","Mookie Betts","LAD","13611",565.757,0.283313,0.904675,2.73092081700853,1.97586305037808,1.83415648820581,2.52521405278944,1.67031953461624,2.04979028444468,12.7862642274428
"9","Shohei Ohtani","LAD","19755",512.606,0.280331,0.957342,2.0941532157564,2.63959532823071,2.13000509933012,2.42430630661723,1.07261776222669,1.79767317956843,12.1583508917296
"11","Rafael Devers","BOS","17350",572.597,0.281997,0.88507,1.66565770898083,2.21295342947731,2.12170788512236,2.20286810296079,1.71299595640876,1.98955816580277,11.9057412487528
"10","Pete Alonso","NYM","19251",562.698,0.249678,0.856131,1.46267611078273,3.08197848422648,2.72769475406213,1.85890673480453,0.95708986854061,1.69011578576209,11.7784617381786
"12","Vladimir Guerrero Jr.","TOR","19611",584.226,0.282262,0.863335,1.48336975688171,1.83965325564114,2.08231034468314,2.1334343582004,1.83674408564023,1.96079577845945,11.3363075795061
"14","Julio Rodríguez","SEA","23697",598.32,0.280299,0.847905,2.00872471027652,1.82170638437315,1.70118480975677,1.81383977387499,1.93777378051523,1.99589599069506,11.2791254494917
"15","Kyle Tucker","HOU","18345",563.661,0.280771,0.876735,1.75860854851347,1.71044103397357,2.32791471421596,1.99377313045205,1.59729033237692,1.83882684025555,11.2268545997875
"13","Fernando Tatis Jr.","SDP","19709",576.196,0.273343,0.859424,1.99762912299963,2.09771009663867,1.86884772127204,1.81057290084819,1.56988544411645,1.85096636386521,11.1956116497402
"18","Bobby Witt Jr.","KCR","25764",604.01,0.279594,0.829638,1.99828248483512,1.52254372483862,1.60329134007088,1.49860344017316,1.97990071289476,1.9216623134431,10.5242840162556
"17","Bryce Harper","PHI","11579",531.552,0.284647,0.908063,1.82937399545549,1.51464027458014,1.75565163910008,2.28754006398865,1.34667152850659,1.70134853820055,10.4352260398315
"16","Kyle Schwarber","PHI","16478",539.598,0.222121,0.837847,1.85471055796059,3.04416795807299,2.02235756575389,1.5879157751557,0.213437690086171,1.33570645905788,10.0582960060872
"19","José Ramírez","CLE","13510",575.659,0.27784,0.849495,1.52226502296382,1.14803571475032,1.83668321187402,1.80641715195105,1.65787985679912,1.77711100430763,9.74839196264597
"20","Marcus Semien","TEX","12533",608.787,0.264212,0.795007,2.09369065870474,1.19273878473387,1.35461392823888,1.44506108304012,1.69058955036525,1.71697778013834,9.49367178522118
"21","Ozzie Albies","ATL","16556",583.602,0.272769,0.806579,1.74900470772821,1.18537360932688,1.77337284969198,1.29447925693267,1.63076168665965,1.55833501782535,9.19132712816475
"23","Trea Turner","PHI","16252",612.229,0.280454,0.794284,1.9615554549327,0.695596009090117,1.20974843792822,1.38213178925975,2.08167998019407,1.7444022770276,9.07511394843244
"22","Corey Seager","TEX","13624",501.432,0.294622,0.907115,1.19144421961104,1.60096118064235,1.51370077541183,1.78966397419078,1.21796432435414,1.36865645981984,8.68239093402997
"25","Corbin Carroll","ARI","25878",554.604,0.277983,0.848288,2.16741068881429,0.766858347965503,0.845040916026133,1.62829741374784,1.44993907432599,1.55525992222993,8.41280636310968
"24","Adolis García","TEX","19287",570.45,0.243079,0.776605,1.54101014748266,1.88972594548468,1.87767418165355,0.86773246630902,0.891186642486904,1.22707073037245,8.29440011378926
"26","Bo Bichette","TOR","19612",595.032,0.291485,0.802936,1.27397017959172,0.633234898246696,1.18761115173602,1.2983543383006,2.14440982853798,1.64264317769978,8.18022357411281
