"","name","team","points","IDFANGRAPHS","ESPNID","position","replacement_pr","adj_points","FANTPROSNAME","ESPN"
"1","A.J. Minter","ATL",-1.3771777937049,"18655",36133,"RP",-0.777577739227631,-0.599600054477271,"A.J. Minter",264
"2","A.J. Puk","MIA",-2.37107528142919,"19343",36201,"RP",-0.777577739227631,-1.59349754220155,"A.J. Puk",174
"3","Aaron Ashby","MIL",-3.80270385200018,"23550",41325,"SP",3.99508454828887,-7.79778840028905,"Aaron Ashby",NA
"4","Aaron Bummer","ATL",-4.43441384447117,"16258",36131,NA,NA,NA,"Aaron Bummer",NA
"5","Aaron Civale","TBR",3.76084275591629,"19479",40934,"SP",3.99508454828887,-0.234241792372579,"Aaron Civale",288
"6","Aaron Hicks","LAA",-7.67738998732424,"5297",31253,NA,NA,NA,"Aaron Hicks",498
"7","Aaron Judge","NYY",13.993288090337,"15640",33192,"RF",1.01938213796651,12.9739059523705,"Aaron Judge",14
"8","Aaron Nola","PHI",9.83998901876553,"16149",33709,"SP",3.99508454828887,5.84490447047666,"Aaron Nola",39
"9","Abner Uribe","MIL",-4.07202535314535,"25327",NA,NA,NA,NA,"Abner Uribe",379
"10","Adam Duvall","",-4.32480367220436,"10950",32664,"CF",-0.104121754941005,-4.22068191726336,"Adam Duvall",352
"11","Adam Ottavino","NYM",-4.28747640763414,"1247",29705,"RP",-0.777577739227631,-3.50989866840651,"Adam Ottavino",NA
"12","Adbert Alzolay","CHC",-0.847551543383895,"17859",39802,"RP",-0.777577739227631,-0.0699738041562641,"Adbert Alzolay",149
"13","Adley Rutschman","BAL",4.39621761123452,"26288",42178,"C",-0.568436073401782,4.9646536846363,"Adley Rutschman",29
"14","Adolis García","TEX",8.29440011378926,"19287",35537,"RF",1.01938213796651,7.27501797582275,"Adolis Garcia",78
"15","Adrian Houser","NYM",-1.54082351110022,"12718",32157,"SP",3.99508454828887,-5.53590805938909,"Adrian Houser",NA
"16","Alec Bohm","PHI",3.6563032782744,"21618",41169,"3B",3.03297428222753,0.623328996046879,"Alec Bohm",151
"17","Alejandro Kirk","TOR",-6.69172309333849,"22581",42081,"C",-0.568436073401782,-6.12328701993671,"Alejandro Kirk",291
"18","Alek Manoah","TOR",-0.583440450672895,"26410",42436,"SP",3.99508454828887,-4.57852499896177,"Alek Manoah",NA
"19","Alek Thomas","ARI",-2.60756187873525,"23792",41215,"CF",-0.104121754941005,-2.50344012379424,"Alek Thomas",441
"20","Alex Bregman","HOU",7.66381455491393,"17678",34886,"3B",3.03297428222753,4.6308402726864,"Alex Bregman",41
"21","Alex Cobb","SFG",-1.87259810311982,"6562",31086,"SP",3.99508454828887,-5.8676826514087,"Alex Cobb",NA
"22","Alex Kirilloff","MIN",-4.13580959900059,"20325",40636,"RF",1.01938213796651,-5.1551917369671,"Alex Kirilloff",NA
"23","Alex Lange","DET",-3.83182216331979,"19883",40976,"RP",-0.777577739227631,-3.05424442409216,"Alex Lange",168
"24","Alex Verdugo","NYY",0.00106578545136568,"17027",33786,"RF",1.01938213796651,-1.01831635251515,"Alex Verdugo",242
"25","Alex Vesia","LAD",-3.54056406493375,"25007",42622,"RP",-0.777577739227631,-2.76298632570612,"Alex Vesia",NA
"26","Alex Wood","OAK",-1.351650301022,"13781",32620,"RP",-0.777577739227631,-0.574072561794366,"Alex Wood",NA
"27","Alexis Díaz","CIN",-1.62989929652758,"21132",4905920,"RP",-0.777577739227631,-0.852321557299951,"Alexis Diaz",80
"28","Amed Rosario","TBR",-4.80061027859615,"15518",33215,"2B",1.59559610679458,-6.39620638539074,"Amed Rosario",NA
"29","Andrew Abbott","CIN",1.83582204105627,"29911",4414528,"SP",3.99508454828887,-2.1592625072326,"Andrew Abbott",298
"30","Andrew Benintendi","CHW",-0.582831234778833,"17901",34986,"LF",1.01938213796651,-1.60221337274535,"Andrew Benintendi",219
"31","Andrew Chafin","DET",-4.81569934344908,"12988",32810,NA,NA,NA,"Andrew Chafin",NA
"32","Andrew Heaney","TEX",0.922118531896395,"15423",32672,"SP",3.99508454828887,-3.07296601639248,"Andrew Heaney",286
"33","Andrew Kittredge","STL",-4.48479604810048,"12828",35872,NA,NA,NA,"Andrew Kittredge",NA
"34","Andrew McCutchen","PIT",-3.68233703280806,"9847",28701,"DH",4.96976368634212,-8.65210071915018,"Andrew McCutchen",433
"35","Andrew Nardi","MIA",-2.63270897354799,"25942",NA,NA,NA,NA,"Andrew Nardi",NA
"36","Andrew Vaughn","CHW",4.17872827636931,"26197",42394,"1B",4.0712619963038,0.10746628006551,"Andrew Vaughn",275
"37","Andrés Giménez","CLE",2.8275309973998,"19950",37729,"2B",1.59559610679458,1.23193489060521,"Andres Gimenez",156
"38","Andrés Muñoz","SEA",0.472309481204166,"20373",40939,"RP",-0.777577739227631,1.2498872204318,"Andres Munoz",107
"39","Anthony DeSclafani","MIN",-1.12172043920902,"13050",33180,NA,NA,NA,"Anthony DeSclafani",NA
"40","Anthony Rendon","LAA",-3.98154918242118,"12861",32098,"3B",3.03297428222753,-7.01452346464871,"Anthony Rendon",402
"41","Anthony Rizzo","NYY",0.0758002651734302,"3473",30782,"1B",4.0712619963038,-3.99546173113037,"Anthony Rizzo",238
"42","Anthony Santander","BAL",6.19160829091585,"14551",36084,"RF",1.01938213796651,5.17222615294934,"Anthony Santander",97
"43","Anthony Volpe","NYY",1.41139620712807,"27647",42547,"SS",2.70406583783264,-1.29266963070457,"Anthony Volpe",185
"44","Aroldis Chapman","PIT",-2.78876981071814,"10233",30442,"RP",-0.777577739227631,-2.01119207149051,"Aroldis Chapman",268
"45","Austin Gomber","COL",-1.55678874744042,"16561",34897,NA,NA,NA,"Austin Gomber",NA
"46","Austin Hays","BAL",1.31226850632277,"19363",36928,"LF",1.01938213796651,0.292886368356258,"Austin Hays",272
"47","Austin Riley","ATL",13.4533679161894,"18360",34982,"3B",3.03297428222753,10.4203936339619,"Austin Riley",32
"48","Austin Wells","NYY",-7.11387230029962,"27562",4683349,"C",-0.568436073401782,-6.54543622689783,"Austin Wells",318
"49","Avisaíl García","MIA",-9.07991920579355,"5760",30729,NA,NA,NA,"Avisail Garcia",NA
"50","Bailey Falter","PIT",-3.03783719826242,"20070",4705677,NA,NA,NA,"Bailey Falter",NA
"51","Bailey Ober","MIN",5.32501304245638,"21224",3107919,"SP",3.99508454828887,1.32992849416751,"Bailey Ober",120
"52","Blake Snell","",7.48235288437136,"13543",33748,"SP",3.99508454828887,3.48726833608248,"Blake Snell",77
"53","Bo Bichette","TOR",8.18022357411281,"19612",38904,"SS",2.70406583783264,5.47615773628017,"Bo Bichette",52
"54","Bo Naylor","CLE",-3.573411887239,"21865",41183,"C",-0.568436073401782,-3.00497581383722,"Bo Naylor",280
"55","Bobby Miller","LAD",5.76298863033694,"27483",4326703,"SP",3.99508454828887,1.76790408204807,"Bobby Miller",91
"56","Bobby Witt Jr.","KCR",10.5242840162556,"25764",42403,"SS",2.70406583783264,7.82021817842299,"Bobby Witt Jr.",12
"57","Brady Singer","KCR",3.7127924248292,"25377",41172,"SP",3.99508454828887,-0.282292123459676,"Brady Singer",308
"58","Brandon Belt","",-7.23934437543575,"10264",30901,NA,NA,NA,"Brandon Belt",NA
"59","Brandon Drury","LAA",2.15706399824519,"11615",32269,"2B",1.59559610679458,0.561467891450606,"Brandon Drury",236
"60","Brandon Lowe","TBR",-0.15559932623694,"18882",39961,"2B",1.59559610679458,-1.75119543303152,"Brandon Lowe",323
"61","Brandon Marsh","PHI",-1.98366791374328,"20202",40803,"CF",-0.104121754941005,-1.87954615880228,"Brandon Marsh",330
"62","Brandon Nimmo","NYM",5.33808769620617,"12927",32159,"CF",-0.104121754941005,5.44220945114717,"Brandon Nimmo",93
"63","Brandon Pfaadt","ARI",2.98406384332452,"27782",4721302,"SP",3.99508454828887,-1.01102070496435,"Brandon Pfaadt",250
"64","Braxton Garrett","MIA",5.28730610256527,"21844",40971,"SP",3.99508454828887,1.29222155427639,"Braxton Garrett",193
"65","Brayan Bello","BOS",3.99508454828887,"23920",4720856,"SP",3.99508454828887,0,"Brayan Bello",228
"66","Brayan Rocchio","CLE",-6.75287880018421,"23690",41217,"SS",2.70406583783264,-9.45694463801685,"Brayan Rocchio",NA
"67","Brendan Donovan","STL",-2.69277239777511,"24679",41773,"LF",1.01938213796651,-3.71215453574163,"Brendan Donovan",366
"68","Brendan Rodgers","COL",0.189910006985529,"17907",35073,"2B",1.59559610679458,-1.40568609980905,"Brendan Rodgers",NA
"69","Brent Rooker","OAK",0.633449741267723,"19627",40926,"LF",1.01938213796651,-0.385932396698791,"Brent Rooker",271
"70","Brenton Doyle","COL",-3.24789299709781,"25479",42462,"CF",-0.104121754941005,-3.14377124215681,"Brenton Doyle",NA
"71","Brett Baty","NYM",-4.82810898341318,"26123",42414,"3B",3.03297428222753,-7.8610832656407,"Brett Baty",404
"72","Brice Turang","MIL",-5.42920801627181,"22186",41179,"2B",1.59559610679458,-7.02480412306639,"Brice Turang",NA
"73","Brock Burke","TEX",-3.88994632904319,"17968",39945,NA,NA,NA,"Brock Burke",NA
"74","Brock Stewart","MIN",-3.4814196276407,"16727",35997,"RP",-0.777577739227631,-2.70384188841306,"Brock Stewart",NA
"75","Brooks Raley","NYM",-3.80043603451186,"10061",32005,"RP",-0.777577739227631,-3.02285829528423,"Brooks Raley",NA
"76","Brusdar Graterol","LAD",-1.70957037958013,"20367",40965,"RP",-0.777577739227631,-0.931992640352499,"Brusdar Graterol",NA
"77","Bryan Abreu","HOU",-0.489017944922662,"16609",41208,"RP",-0.777577739227631,0.288559794304969,"Bryan Abreu",256
"78","Bryan De La Cruz","MIA",2.40178050635747,"19600",40787,"LF",1.01938213796651,1.38239836839096,"Bryan De La Cruz",294
"79","Bryan Reynolds","PIT",7.42950681530216,"19326",38980,"LF",1.01938213796651,6.41012467733565,"Bryan Reynolds",66
"80","Bryan Woo","SEA",3.3737651223287,"30279",4629089,"SP",3.99508454828887,-0.621319425960171,"Bryan Woo",214
"81","Bryce Elder","ATL",0.144783936793409,"27779",4301067,"SP",3.99508454828887,-3.85030061149546,"Bryce Elder",362
"82","Bryce Harper","PHI",10.4352260398315,"11579",30951,"1B",4.0712619963038,6.3639640435277,"Bryce Harper",26
"83","Bryce Miller","SEA",3.49011510563571,"29837",4654313,"SP",3.99508454828887,-0.504969442653165,"Bryce Miller",160
"84","Bryson Stott","PHI",1.59559610679458,"26294",42417,"2B",1.59559610679458,0,"Bryson Stott",121
"85","Byron Buxton","MIN",-0.270952474214834,"14161",32655,"DH",4.96976368634212,-5.24071616055696,"Byron Buxton",239
"86","C.J. Cron","",-5.61027178340392,"12546",32155,NA,NA,NA,"C.J. Cron",NA
"87","CJ Abrams","WSN",2.7021774577564,"25768",42402,"SS",2.70406583783264,-0.00188838007624526,"CJ Abrams",125
"88","Cal Quantrill","COL",-0.867913383173427,"19312",39875,NA,NA,NA,"Cal Quantrill",NA
"89","Cal Raleigh","SEA",0.948566327400841,"21534",41292,"C",-0.568436073401782,1.51700240080262,"Cal Raleigh",128
"90","Caleb Ferguson","NYY",-3.90807501204801,"19349",41017,"RP",-0.777577739227631,-3.13049727282038,"Caleb Ferguson",NA
"91","Caleb Thielbar","MIN",-3.43614739565928,"10078",32440,NA,NA,NA,"Caleb Thielbar",NA
"92","Camilo Doval","SFG",-0.483074817970708,"21992",41337,"RP",-0.777577739227631,0.294502921256923,"Camilo Doval",51
"93","Carlos Correa","MIN",3.20631023661819,"14162",32653,"SS",2.70406583783264,0.50224439878555,"Carlos Correa",181
"94","Carlos Estévez","LAA",-4.46462650508488,"14542",34861,"RP",-0.777577739227631,-3.68704876585725,"Carlos Estevez",199
"95","Carlos Rodón","NYY",4.29989189626569,"16137",33696,"SP",3.99508454828887,0.304807347976813,"Carlos Rodon",159
"96","Carlos Santana","MIN",-2.86016366504569,"2396",30280,"1B",4.0712619963038,-6.93142566134949,"Carlos Santana",336
"97","Casey Mize","DET",-2.70303940495397,"20492",41167,"SP",3.99508454828887,-6.69812395324284,"Casey Mize",369
"98","Cavan Biggio","TOR",-7.92782983989101,"19252",37639,"RF",1.01938213796651,-8.94721197785752,"Cavan Biggio",347
"99","Cedric Mullins","BAL",1.7207043609836,"17929",35578,"CF",-0.104121754941005,1.8248261159246,"Cedric Mullins II",143
"100","Chad Green","TOR",-4.18818278445473,"15552",33325,NA,NA,NA,"Chad Green",NA
"101","Charlie Blackmon","COL",-2.28297013912401,"7859",31084,"RF",1.01938213796651,-3.30235227709052,"Charlie Blackmon",334
"102","Charlie Morton","ATL",3.95366043759479,"4676",29155,"SP",3.99508454828887,-0.0414241106940842,"Charlie Morton",150
"103","Chas McCormick","HOU",1.01938213796651,"19599",40574,"CF",-0.104121754941005,1.12350389290752,"Chas McCormick",212
"104","Chase Silseth","LAA",-0.882128166231631,"30074",4413990,"RP",-0.777577739227631,-0.104550427004,"Chase Silseth",NA
"105","Chris Bassitt","TOR",8.01027205634596,"12304",33148,"SP",3.99508454828887,4.01518750805709,"Chris Bassitt",86
"106","Chris Flexen","CHW",-5.32480390183808,"13896",36067,NA,NA,NA,"Chris Flexen",NA
"107","Chris Martin","BOS",-2.31238402650524,"11847",32903,"RP",-0.777577739227631,-1.53480628727761,"Chris Martin",NA
"108","Chris Paddack","MIN",-0.302933757618164,"20099",35999,"SP",3.99508454828887,-4.29801830590704,"Chris Paddack",NA
"109","Chris Sale","ATL",3.32218143922683,"10603",30948,"SP",3.99508454828887,-0.672903109062041,"Chris Sale",94
"110","Chris Taylor","LAD",-4.26612369347776,"13757",32900,"LF",1.01938213796651,-5.28550583144427,"Chris Taylor",313
"111","Christian Encarnacion-Strand","CIN",0.528887027162888,"30011",5012106,"1B",4.0712619963038,-3.54237496914092,"Christian Encarnacion-Strand",200
"112","Christian Walker","ARI",7.25828450919855,"13419",32758,"1B",4.0712619963038,3.18702251289475,"Christian Walker",71
"113","Christian Yelich","MIL",4.94185945572127,"11477",31283,"LF",1.01938213796651,3.92247731775476,"Christian Yelich",81
"114","Christopher Morel","CHC",2.75779756273388,"21897",42927,"CF",-0.104121754941005,2.86191931767489,"Christopher Morel",231
