"","name","team","position","points","IDFANGRAPHS"
"1","Ronald Acuña Jr.","ATL","OF",16.414581856618,"18401"
"2","Aaron Judge","NYY","OF",13.993288090337,"15640"
"3","Matt Olson","ATL","1B",13.903865795684,"14344"
"4","Juan Soto","NYY","OF",13.4661582412099,"20123"
"5","Austin Riley","ATL","3B",13.4533679161894,"18360"
"6","Yordan Alvarez","HOU","OF",13.2851783476838,"19556"
"7","Freddie Freeman","LAD","1B",13.0496625139606,"5361"
"8","Mookie Betts","LAD","2B",12.7862642274428,"13611"
"9","Shohei Ohtani","LAD","DH",12.1583508917296,"19755"
"10","Rafael Devers","BOS","3B",11.9057412487528,"17350"
"11","Pete Alonso","NYM","1B",11.7784617381786,"19251"
"12","Vladimir Guerrero Jr.","TOR","1B",11.3363075795061,"19611"
"13","Julio Rodríguez","SEA","OF",11.2791254494917,"23697"
"14","Kyle Tucker","HOU","OF",11.2268545997875,"18345"
"15","Fernando Tatis Jr.","SDP","OF",11.1956116497402,"19709"
"16","Bobby Witt Jr.","KCR","SS",10.5242840162556,"25764"
"17","Bryce Harper","PHI","1B",10.4352260398315,"11579"
"18","Kyle Schwarber","PHI","OF",10.0582960060872,"16478"
"19","José Ramírez","CLE","3B",9.74839196264597,"13510"
"20","Marcus Semien","TEX","2B",9.49367178522118,"12533"
"21","Ozzie Albies","ATL","2B",9.19132712816475,"16556"
"22","Trea Turner","PHI","SS",9.07511394843244,"16252"
"23","Corey Seager","TEX","SS",8.68239093402997,"13624"
"24","Corbin Carroll","ARI","OF",8.41280636310968,"25878"
"25","Adolis García","TEX","OF",8.29440011378926,"19287"
"26","Bo Bichette","TOR","SS",8.18022357411281,"19612"
"27","Francisco Lindor","NYM","SS",7.83226175771404,"12916"
"28","Luis Robert Jr.","CHW","OF",7.73355762900692,"20043"
"29","Alex Bregman","HOU","3B",7.66381455491393,"17678"
"30","Paul Goldschmidt","STL","1B",7.53077578697755,"9218"
"31","Bryan Reynolds","PIT","OF",7.42950681530216,"19326"
"32","Manny Machado","SDP","3B",7.33042036050165,"11493"
