Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",152.134,680.094,584.273,182.994,110.103,34.0375,2.35285,36.5005,123.845,96.0991,79.8003,4.15127,107.224,10.5188,4.19255,1.31007,10.1817,54.0525,12.3895,0.313199,0.117337,0.157661,0.744236,0.40265,0.566924,0.410041,0.969574,0.253725,6.51217,0.32939,1.13567,4.06887,134.641,51.775,158.606,5.20454,0.455502,54.5823655128479,-6.781359404325485,7.07638,1,5.61924,-0.705018,1.16671,"18401"
"Aaron Judge","NYY",140.45,612.395,506.198,139.843,72.86,22.0641,0.354714,44.5642,101.979,108.401,97.7729,9.50231,164.764,3.85551,4.20622,0.361648,8.7171,6.99058,2.35751,0.276261,0.159657,0.269048,0.593412,0.39454,0.585362,0.40801,0.979902,0.309101,3.36731,0.316461,0.0749026,-0.868175,120.205,45.5882,161.269,-0.793272,-0.475591,44.92728191614151,-3.6575795710086823,6.19263,11.0600004196167,2.94108,0.734361,1.44202,"15640"
"Mookie Betts","LAD",149.026,660.67,565.757,160.286,90.0661,35.384,2.14147,32.6948,111.066,94.0156,80.4681,2.12103,103.532,8.4169,4.74921,1.27891,7.33873,12.9775,3.16152,0.283313,0.121798,0.156708,0.777225,0.377881,0.526794,0.384943,0.904675,0.243481,4.99154,0.293801,0.773907,-0.101411,117.024,36.5255,145.548,0.672496,0.616033,37.340788662433624,1.019088476896286,6.06623,5.289999961853027,2.14527,-0.475522,0.859269,"13611"
"Juan Soto","NYY",152.908,664.512,529.258,148.102,82.9717,26.8304,1.58196,36.7183,104.703,100.115,126.943,8.62242,110.147,3.62743,3.69018,0.99274,14.8773,10.6164,3.55926,0.27983,0.191032,0.165756,1.15249,0.419992,0.544633,0.408673,0.964625,0.264803,4.01427,0.288498,-1.07142,-0.957938,130.801,49.8336,161.721,-2.02935,-1.04675,47.94790244102478,-10.169262290000916,6.0213,11.100000381469727,2.19313,0.295344,0.956702,"20123"
"Yordan Alvarez","HOU",138.83,598.002,504.858,149.643,78.5745,30.7928,1.65598,38.6199,94.9274,107.357,78.2131,5.61113,116.53,9.80696,5.02259,0.101329,9.95253,0.713691,0.307117,0.296406,0.130791,0.194866,0.671184,0.397496,0.593449,0.414127,0.990944,0.297042,2.58841,0.312979,-0.31319,-1.22729,120.418,47.555,168.941,-1.54048,-0.691709,47.857980132102966,-13.029162287712097,5.49907,16.899999618530273,2.49195,-0.0475225,1.49553,"19556"
"Julio Rodríguez","SEA",150.763,662.148,598.32,167.709,100.02,33.4234,2.74418,31.5206,98.5755,91.679,50.4631,4.97096,155.711,9.58063,2.69622,1.08754,9.98876,32.0921,8.20292,0.280299,0.0762112,0.23516,0.324082,0.344526,0.503379,0.359603,0.847905,0.22308,6.15467,0.329127,0.435304,1.76113,103.351,22.6721,134.577,2.19644,-0.0100727,29.629761695861816,2.1226368183270097,5.40962,2.9000000953674316,2.60615,-1.88352,0.367853,"23697"
"José Ramírez","CLE",151.241,655.72,575.659,159.941,92.823,36.6872,4.04165,26.3893,90.1621,94.06,69.0354,10,76.1985,4.53082,6.03803,0.45623,7.26658,24.5347,6.64763,0.27784,0.105282,0.116206,0.905995,0.356357,0.493138,0.358225,0.849495,0.215298,5.74122,0.27875,0.958924,0.896128,101.597,21.7017,131.448,1.85505,1.61832,26.5636146068573,1.9868449568748474,5.06855,15.1899995803833,3.8312,-2.45195,0.313797,"13510"
"Corey Seager","TEX",129.212,565.918,501.432,147.733,84.8714,31.944,1.07803,29.8392,84.4405,88.3845,53.6723,5.5519,91.3863,5.47521,4.7237,0.61475,10.073,2.32992,0.889087,0.294622,0.0948412,0.161483,0.587312,0.365963,0.541151,0.381575,0.907115,0.246529,3.03514,0.306273,-0.374288,-0.976186,98.6577,29.7039,143.108,-1.35047,-1.57528,27.88043200969696,2.48483145236969,4.94527,26.959999084472656,3.14386,1.40984,1.08519,"13624"
"Adley Rutschman","BAL",142.626,602.055,516.039,139.886,89.4647,30.6406,1.23251,18.5483,78.076,69.5964,76.1693,2.88243,94.7136,4.73374,4.07623,1.03681,10.8493,2.21524,0.978485,0.271077,0.126516,0.157317,0.804207,0.367359,0.443061,0.352109,0.81042,0.171984,2.81173,0.298235,0.639024,-1.26044,90.2244,16.8675,127.401,-0.62142,3.77239,19.14540672302246,9.609866380691528,4.90716,52.47999954223633,3.15895,-2.54947,0.610357,"26288"
"Freddie Freeman","LAD",153.356,677.367,587.402,180.257,113.098,39.1163,2.26102,25.781,109.123,95.5636,75.2828,9.02572,108.005,9.3653,4.39886,0.918143,10.6881,14.963,3.46125,0.306871,0.11114,0.159449,0.697027,0.391611,0.512831,0.384445,0.904443,0.20596,4.99401,0.337273,-0.00176426,0.077558,119.701,37.1683,145.209,0.0757937,0.562009,37.39051006734371,-11.271030843257904,4.90228,8.850000381469727,3.82717,0.557565,1.16666,"5361"
"Fernando Tatis Jr.","SDP",147.971,647.6,576.196,157.499,88.6977,32.7915,2.38696,33.6229,98.3836,94.6252,61.3508,2.20037,146.217,4.73567,4.24437,1.0736,11.4964,28.3018,6.30139,0.273343,0.0947356,0.225784,0.419586,0.345826,0.513598,0.364401,0.859424,0.240255,6.01588,0.309227,0.457645,1.82501,103.661,24.7546,131.547,2.28266,6.0457,27.177242279052734,-0.42420053482055664,4.86449,7.920000076293945,4.74568,-0.594046,0.410134,"19709"
"Gunnar Henderson","BAL",143.066,611.136,540.15,141.116,81.3749,28.4281,5.66328,25.6499,88.5128,79.4377,61.715,1.37055,152.796,4.70967,3.39642,1.16466,9.26872,11.6388,2.96008,0.261253,0.100984,0.25002,0.403903,0.340247,0.477312,0.349781,0.817559,0.216059,5.86457,0.316259,0.52439,-0.0498738,90.4036,15.9402,125.787,0.474516,3.92093,19.357793748378754,8.28637957572937,4.82713,31.309999465942383,1.73302,-0.857914,0.45013,"26289"
"Corbin Carroll","ARI",148.031,632.801,554.604,154.171,92.0751,30.2264,8.38332,23.4859,101.32,76.6347,60.2189,1.81715,130.651,11.2684,3.30368,3.40545,8.10524,45.5465,6.45595,0.277983,0.0951625,0.206465,0.460913,0.358531,0.489757,0.363137,0.848288,0.211774,8.36141,0.323661,-0.784412,5.13813,100.628,23.5248,128.349,4.35371,6.12785,26.57740068435669,0.12237167358398438,4.81159,4.980000019073486,2.38136,0.42146,1.37799,"25878"
"Bobby Witt Jr.","KCR",151.598,656.541,604.01,168.877,99.5454,33.1302,6.96001,29.2419,98.3949,89.9588,39.7173,1.65346,120.766,5.5718,5.8285,1.41378,7.11695,41.6564,9.79107,0.279594,0.0604947,0.183942,0.328879,0.326908,0.502729,0.350611,0.829638,0.223135,7.50704,0.303667,-0.0135668,3.09546,97.573,17.5773,122.149,3.0819,-1.9068,20.80115509033203,5.111624598503113,4.81103,2.4000000953674316,3.3732,0.532145,0.871788,"25764"
"Kyle Tucker","HOU",151.261,642.747,563.661,158.259,90.0369,33.8292,3.72029,30.6731,94.2497,102.692,69.6053,5.45865,95.4851,3.01018,5.94405,0.526407,8.99383,25.439,5.55926,0.280771,0.108293,0.148558,0.728965,0.359495,0.517241,0.370107,0.876735,0.23647,5.93524,0.287715,0.308431,1.53016,105.93,27.6149,138.429,1.83859,0.233605,31.434818387031555,-6.865493193268776,4.62761,6.210000038146973,2.77179,0.0427892,0.346636,"18345"
"Austin Riley","ATL",152.565,665.186,591.673,165.354,93.5125,31.8313,2.18799,37.8223,99.973,102.801,56.8061,3.16909,158.986,10.2706,6.32719,0.109628,12.0151,2.38634,0.588193,0.279469,0.0853988,0.23901,0.357303,0.34948,0.532437,0.371855,0.881916,0.252968,3.3952,0.317882,-0.330165,-0.983938,110.594,29.5446,133.007,-1.3141,-4.60618,25.88587188720703,-2.4459617137908936,4.59652,19.940000534057617,2.6315,-0.432353,1.32873,"18360"
"Shohei Ohtani","LAD",139.058,605.364,512.606,143.7,74.2286,26.7707,4.94985,37.7504,100.053,99.2143,84.4918,9.70696,146.623,4.39685,3.35186,0.518132,7.86438,18.3355,6.90295,0.280331,0.139572,0.242207,0.576251,0.384541,0.572801,0.399002,0.957342,0.292469,5.9006,0.319524,0.289925,-0.428521,114.296,40.5361,155.13,-0.138596,-0.476399,40.52842305600643,-15.498111695051193,4.54943,13.399999618530273,5.23483,-0.175172,0.622092,"19755"
"Rafael Devers","BOS",149.022,645.082,572.597,161.471,90.6055,34.9877,1.37664,34.5007,92.6421,99.0685,60.3595,7.44012,122.722,7.86136,3.65626,0.608334,12.3767,4.45447,1.85694,0.281997,0.0935686,0.190242,0.491841,0.356401,0.528668,0.372532,0.88507,0.246671,3.32011,0.303008,0.170586,-1.05933,107.614,29.0146,133.073,-0.888743,-3.28234,24.674738824367523,-2.5319020748138428,4.39356,24.079999923706055,3.00643,-0.699313,1.08023,"17350"
"Alex Bregman","HOU",148.83,652.191,554.686,146.484,91.2036,30.9434,1.74759,22.5891,91.884,85.6751,83.1138,1.18592,79.4182,8.31994,5.2701,0.800633,13.9956,2.27755,0.837786,0.264084,0.127438,0.121771,1.04653,0.365246,0.448343,0.353802,0.813588,0.184259,3.02684,0.270542,-0.915511,-1.29621,98.6546,19.1889,127.128,-2.21172,0.0787234,18.987666368484497,2.186054192483425,4.32101,102.66999816894531,1.42465,-1.03694,0.878027,"17678"
"Matt Olson","ATL",152.697,662.658,564.589,150.824,80.7956,28.5302,1.31986,40.1786,102.253,111.904,86.8801,5.90297,148.083,5.7459,4.92851,0.513847,11.5139,1.13426,0.627625,0.26714,0.131109,0.223468,0.5867,0.36767,0.53584,0.380814,0.90351,0.268701,2.54779,0.290213,0.149977,-1.32881,115.104,34.3631,139.013,-1.17883,1.52976,30.84851372241974,-10.252403140068054,4.30436,17.329999923706055,2.14144,1.17213,1.64642,"14344"
"Francisco Lindor","NYM",152.52,653.047,576.303,146.466,89.4971,27.8687,2.46037,26.6394,91.5142,87.6358,60.8381,1.67881,125.4,8.81118,5.6204,1.47406,8.86476,22.34,4.98905,0.254147,0.0931604,0.192024,0.48515,0.331682,0.449717,0.336148,0.781399,0.19557,5.55539,0.278741,-0.553036,1.14892,89.2095,9.63952,112.291,0.595885,2.79511,10.376584649085999,9.856224060058594,4.23278,23.600000381469727,2.78923,0.241657,0.724637,"12916"
"Mike Trout","LAA",124.665,540.484,460.148,122.223,64.2541,23.5222,1.98866,32.4579,83.0794,82.5145,68.8028,5.37767,150.431,8.52855,2.73824,0.2662,5.43919,2.84243,0.858144,0.265616,0.127298,0.278326,0.457372,0.369396,0.536992,0.382284,0.906388,0.271376,3.73657,0.320591,0.183747,-0.843216,94.542,28.6872,144.097,-0.659469,-3.25558,27.898228585720062,-3.8968585729599,4.22451,73.20999908447266,3.10638,-0.801168,0.907281,"10155"
"Marcus Semien","TEX",153,679.956,608.787,160.849,97.2422,33.5079,3.36865,26.7298,100.045,85.589,60.955,0.276655,109.843,4.16659,4.7458,1.30168,7.23748,14.7899,3.78216,0.264212,0.0896456,0.161544,0.554929,0.332968,0.462039,0.341404,0.795007,0.197827,5.37902,0.281195,0.833427,0.112716,95.8535,13.0048,115.265,0.946142,3.45018,13.382633447647095,5.811288595199585,4.21765,30.579999923706055,2.08437,0.0176361,0.641705,"12533"
"Will Smith","LAD",124.946,516.185,442.248,115.924,69.5492,23.1442,1.91526,21.3153,70.3326,74.9957,55.4745,2.09216,87.349,11.6003,6.76512,0.0976493,7.89033,2.05375,0.663584,0.262125,0.10747,0.16922,0.63509,0.354588,0.467712,0.353036,0.822301,0.205588,3.34435,0.277976,-0.871901,-0.905919,77.7535,14.8593,123.802,-1.77782,2.77774,13.193040251731873,11.26175045967102,4.18954,87.45999908447266,2.18637,0.0500599,0.489029,"19197"
"Trea Turner","PHI",152.688,666.659,612.229,171.702,110.645,34.0658,4.04816,22.9431,97.7597,83.0434,44.8092,0.796615,132.559,4.87282,3.82803,0.919411,10.1813,28.0456,4.3411,0.280454,0.0672146,0.19884,0.338033,0.332539,0.461745,0.340654,0.794284,0.181291,6.57715,0.322999,0.678984,2.54764,93.5639,12.3354,112.975,3.22662,-2.41542,13.94253134727478,4.653463363647461,4.1185,12.539999961853027,2.08341,-0.645199,0.638249,"16252"
"Bryce Harper","PHI",146.533,632.183,531.552,151.305,86.6003,34.0372,1.48564,29.1817,95.4736,92.6361,89.0601,8.4839,135.036,5.38138,5.59134,0.598537,11.9663,12.6558,4.16354,0.284647,0.140877,0.213603,0.659528,0.389095,0.518968,0.384458,0.908063,0.234321,4.46066,0.327473,-1.24649,-0.55576,111.723,34.6956,142.34,-1.80225,-0.0347775,31.357611179351807,-11.642851710319519,4.11297,18.149999618530273,3.51314,1.31702,0.581132,"11579"
"Michael Harris II","ATL",147.186,602.398,557.894,160.757,100.518,34.7111,3.30157,22.2265,89.0019,79.9237,33.7352,1.74115,121.046,6.30656,3.02202,1.43974,9.67546,23.6341,5.07235,0.288149,0.0560015,0.200941,0.278696,0.334131,0.481723,0.347871,0.815854,0.193574,6.17751,0.331695,0.171769,1.51629,88.1553,14.7566,116.928,1.68806,3.64116,14.321329474449158,5.912556171417236,4.06358,30.309999465942383,2.68918,0.340962,0.614736,"25931"
"Bo Bichette","TOR",146.018,638.187,595.032,173.443,114.442,34.5384,1.99436,22.4681,85.8678,82.6544,35.7752,0.0961367,125.647,3.27085,3.21617,0.893292,13.1044,10.7833,3.86323,0.291485,0.0560575,0.196882,0.284727,0.333424,0.469512,0.344191,0.802936,0.178026,4.52473,0.335401,0.37522,-0.65584,91.4426,13.6832,121.009,-0.28062,-5.1556,15.784859150648117,1.6044750213623047,3.89619,39.66999816894531,1.74428,0.217545,0.837099,"19612"
"Royce Lewis","MIN",131.373,559.156,504.597,136.54,81.2645,26.959,1.90321,26.4134,78.4178,80.7487,45.83,0.667951,124.734,5.35237,2.44074,0.935922,10.2448,13.0084,3.67134,0.270593,0.0819628,0.223075,0.367422,0.336288,0.4886,0.352406,0.824888,0.218007,4.90851,0.30944,-0.352058,0.0367197,83.9334,15.8035,126.6,-0.315338,0.245129,17.50642192363739,1.8908624798059464,3.82866,55.02000045776367,2.93544,-0.156996,0.224449,"20437"
"Jose Altuve","HOU",139.253,615.17,543.671,149.917,95.5396,29.3763,1.25286,23.7479,96.2303,72.1661,60.8794,0.771933,98.8421,6.63931,2.64837,1.33238,12.1717,14.4975,3.59419,0.275749,0.0989634,0.160674,0.615926,0.354223,0.465433,0.35406,0.819655,0.189684,4.98883,0.297758,-0.786864,0.132029,93.1865,18.2315,127.307,-0.654835,-3.57141,19.47304743528366,-2.367050051689148,3.78996,43.27000045776367,2.8225,0.311383,0.600113,"5417"
"Dansby Swanson","CHC",151.223,643.762,576.561,147.642,93.6851,28.3536,1.98172,23.6213,83.8284,82.739,57.3752,0.413893,157.83,4.71188,4.33529,0.77913,9.61133,11.4742,3.37211,0.256073,0.0891249,0.245168,0.363526,0.326181,0.435033,0.329077,0.761214,0.178959,4.60509,0.310482,1.00848,-0.325508,84.1604,5.72174,107.471,0.682974,1.59423,6.543879330158234,8.595299124717712,3.69337,122.16999816894531,3.3972,-0.234659,0.487794,"18314"
"William Contreras","MIL",140.802,584.011,517.195,140.757,89.7035,27.6155,1.22654,22.2111,77.1793,74.327,58.0345,1.32563,131.053,4.84334,2.88241,1.05547,14.2759,4.29801,1.07203,0.272154,0.0993724,0.224402,0.442833,0.349314,0.459128,0.348901,0.808442,0.186974,3.46372,0.323177,-0.925785,-0.75832,85.9645,14.8062,118.804,-1.6841,-0.352258,11.920586705207825,3.9934787452220917,3.57037,79.04000091552734,2.50868,-0.471112,0.520955,"20503"
"Luis Robert Jr.","CHW",142.774,601.762,555.734,149.467,86.829,31.1406,1.50857,29.9891,84.5475,84.4627,33.0823,2.9779,155.068,9.28452,3.20558,0.455261,8.12884,18.7297,4.78713,0.268955,0.0549757,0.257689,0.213341,0.319029,0.492308,0.343489,0.811337,0.223353,5.50106,0.31956,-0.095113,0.752872,85.8726,12.5514,117.295,0.657759,-0.0759478,13.339230477809906,1.9357635453343391,3.56444,34.97999954223633,2.23071,-0.434009,0.261898,"20043"
