Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.794,637.98,516.446,145.961,74.5822,24.6325,0.505942,46.2405,103.886,114.589,111.649,10.0556,163.283,5.56194,4.16093,0.162742,10.044,7.5154,1.68251,0.282626,0.175004,0.255937,0.683777,0.412613,0.60089,0.424136,1.0135,0.318264,3.33978,0.320559,0.0762106,-0.612697,133.145,58.5151,178.448,-0.536487,-2.59787,58.02039819955826,-9.806736707687378,7.17471,3.390000104904175,3.2295,-0.302923,1.58721,3.2295,0.302923,2.88371,1175.8,8.053424657,1175.8,8.053424657,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",153.199,667.874,606.313,178.284,104.874,35.4757,7.78881,30.1456,104.742,96.1177,48.5399,4.65568,108.673,6.3297,6.03427,0.656923,6.26627,32.712,9.97353,0.294046,0.0726782,0.162714,0.446661,0.349441,0.527407,0.371198,0.876849,0.233362,7.20043,0.312838,1.51426,1.27904,110.927,32.8004,142.031,2.7933,2.63133,35.637457847595215,9.723867893218994,6.98299,1.5099999904632568,4.78934,0.698719,0.53929,4.78934,-0.698719,4.28095,1019.6,6.664052287,1019.6,6.664052287,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.077,664.574,583.55,157.554,90.2219,30.3677,5.80566,31.1592,102.688,89.0437,70.5168,1.77608,150.034,5.70862,4.26163,0.537324,8.7193,16.4526,3.9059,0.269993,0.106108,0.225759,0.470006,0.352059,0.502119,0.36575,0.854177,0.232125,6.18363,0.310845,1.11939,0.408943,107.465,29.7242,143.691,1.52834,-1.60339,34.751317620277405,5.43722140789032,6.43859,5.630000114440918,2.38192,-0.251422,0.655087,2.38192,0.251422,4.12655,963.6,6.339473684,963.6,6.339473684,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",152.829,674.099,537.01,147.643,83.7458,27.3431,2.1607,34.3939,107.086,96.3942,128.606,6.63012,112.497,3.9966,3.85038,0.635093,12.9867,8.34198,3.26204,0.274936,0.190783,0.166885,1.1432,0.416127,0.526042,0.403407,0.942169,0.251105,3.84641,0.287457,-1.28864,-1.30794,129.436,50.5814,164.188,-2.59658,-3.16649,48.028928995132446,-11.204528331756592,6.12274,8.489999771118164,1.7638,0.529093,1.13714,1.7638,-0.529093,3.48381,1106.9,7.234640522,1106.9,7.234640522,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",145.497,644.84,554.884,158.916,83.206,29.1777,5.13852,41.394,113.156,104.934,80.593,9.99975,147.001,4.90021,3.89497,0.568171,6.89933,34.1049,8.18763,0.286395,0.124981,0.227964,0.548249,0.379357,0.581298,0.402278,0.960655,0.294902,6.95037,0.317298,0.433429,2.25241,123.232,47.8,163.412,2.68584,0,50.528037548065186,-13.789681434631348,6.01317,1.5399999618530273,4.04549,-0.211248,0.387255,4.04549,0.211248,4.48366,1133.6,7.817931034,1133.6,7.817931034,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mookie Betts","LAD",148.441,653.031,564.748,157.296,94.2433,32.6952,2.84745,27.5099,100.821,90.765,76.7298,2.29433,88.1924,6.01819,4.98727,0.547417,8.33248,15.1464,3.44039,0.278524,0.117498,0.135051,0.870027,0.367893,0.492637,0.370126,0.86053,0.214113,5.28417,0.285851,0.132205,0.257113,107.898,31.5078,141.294,0.389319,-4.06853,31.93988808989525,2.2841849327087402,5.78169,12.119999885559082,1.62422,0.799452,0.67269,1.62422,-0.799452,4.10308,959.3,6.481756756,959.3,6.481756756,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"José Ramírez","CLE",152.65,661.565,589.622,161.441,92.7193,36.1541,3.27084,29.2964,94.2884,97.6392,62.6414,10.1003,77.9553,3.09862,6.00609,0.196476,6.67317,30.3029,7.59518,0.273804,0.0946868,0.117835,0.803556,0.343501,0.495276,0.354372,0.838777,0.221472,5.90836,0.270579,0.922698,1.81357,100.92,23.5311,134.306,2.73626,1.31296,28.705060482025146,3.0797460079193115,5.56031,5.170000076293945,3.34372,-0.0323045,0.316637,3.34372,0.0323045,4.57782,938.3,6.132679738,938.3,6.132679738,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Yordan Alvarez","HOU",135.61,591.149,503.336,150.001,81.6164,30.4415,1.83147,36.1121,88.8792,97.2072,73.4119,9.91221,98.2378,9.62783,4.60975,0.163038,9.58931,3.15674,0.544408,0.298015,0.124185,0.166181,0.747288,0.394326,0.581008,0.409192,0.975334,0.282993,3.32142,0.304846,-0.649134,-0.810445,116.261,47.1094,173.17,-1.45958,-0.886964,48.032227754592896,-14.325925588607788,5.51633,17.489999771118164,3.05654,0.779727,1.40785,3.05654,-0.779727,3.12287,1025.7,7.541911764,1025.7,7.541911764,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Julio Rodríguez","SEA",147.362,640.763,584.015,159.947,103.204,27.6052,2.13757,27.0007,88.9277,83.8626,45.1929,2.9821,153.292,8.26715,2.81453,0.473115,9.4193,27.3377,6.75505,0.273875,0.0705298,0.239233,0.294816,0.333298,0.467162,0.344272,0.80046,0.193287,5.68318,0.327022,0.688764,1.51877,92.5378,17.5826,132.338,2.20754,3.1706,25.916745901107788,5.257143974304199,5.4256,13.170000076293945,2.39754,-0.659001,0.264875,2.39754,0.659001,4.64683,849.1,5.776190476,849.1,5.776190476,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",152.768,671.035,595.919,153.091,91.7908,30.4071,2.47807,28.4149,98.2258,87.284,59.4193,1.40827,127.341,9.99568,4.85799,0.843228,8.33848,24.3089,5.51778,0.256899,0.0885486,0.189768,0.466615,0.332003,0.459289,0.341564,0.791292,0.20239,5.75457,0.280158,0.300926,1.36586,95.4471,16.9507,121.646,1.66678,3.84994,18.66143560409546,10.681981801986694,5.33958,15.609999656677246,3.11569,1.02159,0.635084,3.11569,-1.02159,4.15322,858.2,5.609150326,858.2,5.609150326,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
