,name,PlayerId,position
0,Devin Williams,33224,RP
1,Luis Arraez,39572,1B-2B-DH
2,Trea Turner,33710,SS
3,Edwin Diaz,35394,RP
4,Yainer Diaz,4781491,C-DH
5,Will Smith,38309,C
6,Luis Castillo,35124,SP
7,Josh Naylor,35066,1B
8,Cody Bellinger,33912,1B-CF-RF-DH
9,Ryan Walker,5000950,RP
10,Joe Ryan,42450,SP
11,Vinnie Pasquantino,4109109,1B-DH
12,Bryce Miller,4654313,SP
13,Christian Walker,32758,1B
14,Felix Bautista,4905859,RP
15,Nico Hoerner,41219,2B
16,Roki Sasaki,5134638,SP
17,Jhoan Duran,41109,RP
18,Spencer Steer,4722857,1B-LF
19,Jurickson Profar,31117,LF
20,Andres Munoz,40939,RP
21,Hunter Brown,4717803,SP
22,Christian Yelich,31283,LF-DH
23,Brendan Donovan,41773,2B-LF
24,Kodai Senga,4142421,SP
25,Spencer Schwellenbach,4424862,SP
26,Riley Greene,42179,LF-CF-DH
27,Alexis Diaz,4905920,RP
28,Willson Contreras,32532,C-DH
29,David Bednar,38303,RP
30,Sean Manaea,33244,SP
31,Lawrence Butler,4917919,RF
32,Brandon Pfaadt,4721302,SP
33,Matt McLain,4422899,2B-SS
34,Alec Burleson,4345070,LF-RF-DH
35,Cristopher Sanchez,42359,SP
36,Oneil Cruz,39712,SS-CF
37,Nick Castellanos,31187,RF
38,Ronel Blanco,41829,SP
39,Justin Martinez,5116851,RP
40,Jung Hoo Lee,5134621,CF
41,Jeff Hoffman,33841,RP
42,Shea Langeliers,42598,C
43,Ryan Pressly,33072,RP
44,Keibert Ruiz,38827,C
45,Taj Bradley,42480,SP
46,Jonathan India,41171,2B
47,Jordan Westburg,4298641,2B-3B
48,Triston Casas,41180,1B
49,Lucas Erceg,36618,RP
50,Reynaldo Lopez,33860,SP
51,Bowden Francis,4734325,SP-RP
52,Maikel Garcia,4905884,2B-3B
53,Shane McClanahan,41199,SP
54,Bo Bichette,38904,SS
55,J.T. Realmuto,32177,C
56,Tyler Stephenson,34975,C
57,Pete Fairbanks,42180,RP
58,Francisco Alvarez,41253,C
59,Sandy Alcantara,35241,SP
60,Gabriel Moreno,42464,C
61,Dylan Crews,4719511,RF
62,Brenton Doyle,42462,CF
63,Luis Garcia Jr.,40459,2B
64,Griffin Jax,42604,RP
65,Trevor Megill,40080,RP
66,Mark Vientos,41034,3B
67,Willi Castro,34230,2B-3B-SS-LF-CF
68,Brandon Woodruff,37515,SP
69,A.J. Puk,36201,RP
70,Nick Martinez,33372,SP-RP
71,Nathaniel Lowe,40538,1B
72,Anthony Volpe,42547,SS
73,Alejandro Kirk,42081,C
74,Bryan Abreu,41208,RP
75,Cade Smith,4987924,RP
76,Spencer Horwitz,4228472,1B-2B
77,Luke Weaver,33770,RP
78,Matthew Shaw,4867667,2B-3B-SS
79,Kerry Carpenter,42714,RF-DH
80,Austin Wells,4683349,C
81,Shane Baz,39639,SP
82,Nestor Cortes,36480,SP
83,Jason Foley,42698,RP
84,Aroldis Chapman,30442,RP
85,Xavier Edwards,41326,SS
86,Carlos Santana,30280,1B
87,Porter Hodge,5185133,RP
88,Pete Crow-Armstrong,4717833,CF
89,Ben Joyce,4867388,RP
90,Luis Severino,33263,SP
91,Merrill Kelly,32968,SP
92,Kenley Jansen,29630,RP
93,Michael Wacha,32640,SP
94,Ryan Pepiot,4208281,SP
95,Connor Norby,4417606,2B-3B
96,Ryan Jeffers,41587,C-DH
97,Shane Bieber,40912,SP
98,Luis Rengifo,37237,2B-3B
99,Jake McCarthy,41197,LF-CF-RF
100,Jordan Romano,36380,RP
101,Hyeseong Kim,5134614,2B
102,Dylan Moore,40593,2B-3B-SS-LF
103,Liam Hendriks,31755,RP
104,Jose Caballero,42135,2B-3B-SS
105,Parker Meadows,41223,CF
106,Ceddanne Rafaela,4987382,SS-CF
107,Brayan Bello,4720856,SP
108,Lars Nootbaar,4448736,LF-CF-RF
109,Jackson Jobe,4872647,SP
110,Spencer Arrighetti,4726080,SP
111,Nick Lodolo,42433,SP
112,Nolan Schanuel,4739755,1B
113,Clay Holmes,32827,RP
114,Jesus Luzardo,39667,SP
115,Kristian Campbell,5201569,2B-SS-CF
116,Connor Wong,40086,C
117,Kumar Rocker,4414525,SP
118,Matt Vierling,41636,3B-CF-RF
119,Reese Olson,4734319,SP
120,Jonah Heim,33842,C
121,Victor Robles,35042,LF-CF-RF
122,Wilyer Abreu,4990055,RF
123,Orion Kerkering,4630789,RP
124,Masataka Yoshida,4872598,DH
125,Brandon Lowe,39961,2B-DH
126,Tomoyuki Sugano,4142423,SP
127,Joey Ortiz,42958,3B
128,Drew Rasmussen,42584,SP-RP
129,Matt Strahm,34862,RP
130,Andrew Vaughn,42394,1B-DH
131,Tyler Holton,3983833,SP-RP
132,Roman Anthony,5080767,CF
133,Nolan Gorman,41174,2B
134,Chad Green,33325,RP
135,Lucas Giolito,32697,SP
136,Joc Pederson,31392,DH
137,Ivan Herrera,41889,C
138,Michael Conforto,33711,LF-DH
139,Thairo Estrada,36485,2B
140,Luisangel Acuna,42411,SS
