Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",11.9142,6.55467,15.2011,2.79274,29.2105,29.2105,0,0,0,173.45,693.861,134.727,58.5024,53.8222,14.2892,47.4037,1.05419,6.99158,215.465,11.1801,2.45969,4.54532,0.741442,0.310531,0.0683187,0.24221201986074448,0.210686,1.05005,0.293957,0.762545,,,2.69381,5.25865,5.3891,11.510000228881836,6.24862,-1.12748,1.61543,6.24862,1.12748,2.8461,1025,5.92485549132948,951,5.497109826589595,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",14.1064,7.10375,15.7114,2.87617,29.4857,29.4857,0,0,0,183.915,726.916,145.821,63.8854,58.7745,17.3265,38.9297,0.765812,6.974,213.117,10.429,1.90505,5.4744,0.847887,0.293179,0.0535546,0.23962485417723656,0.214123,1.00454,0.285182,0.753085,,,2.82242,5.20483,5.16418,12.850000381469727,2.94399,-0.667425,1.77719,2.94399,0.667425,2.63041,1060.9,5.765760869565218,987,5.364130434782608,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Zack Wheeler","PHI",14.0211,8.03131,17.9023,3.28074,30.0188,30.0188,0,0,0,191.755,772.154,157.82,75.9781,69.8999,20.9774,48.2392,1.00743,8.08686,204.962,9.61985,2.2641,4.24887,0.98457,0.265442,0.0624736,0.20296835899353027,0.220471,1.07459,0.279333,0.736207,,,3.33211,4.56108,4.61046,21.34000015258789,2.45577,0.808806,1.26348,2.45577,-0.808806,3.31536,993.7000000000003,5.1755208333333345,929,4.838541666666667,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",12.7709,9.87936,16.5522,3.41638,30.3727,30.3727,0,0,0,196.305,808.476,186.637,80.997,74.5172,15.1297,44.6996,1.38572,5.89076,167.707,7.68884,2.04934,3.75186,0.693649,0.207436,0.0552887,0.1521468535065651,0.24626,1.17845,0.298248,0.715375,,,3.23292,4.28516,4.20606,100.9800033569336,3.17758,0.131762,0.969004,3.17758,-0.131762,3.70799,962.7,4.911734693877551,968,4.938775510204081,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",11.1313,7.27944,11.9172,3.2096,29.404,29.404,0,0,1.02297,152.807,615.397,120.964,59.233,54.4943,15.8353,44.0161,2.05523,5.69127,199.001,11.7207,2.59245,4.52109,0.932666,0.32337,0.0715247,0.2518451288342476,0.213834,1.07966,0.299636,0.74047,,,2.88495,4.19348,4.03314,24.200000762939453,6.60531,-1.17961,1.07537,6.60531,1.17961,3.56617,868.8000000000001,5.67843137254902,805,5.261437908496732,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Cole Ragans","KCR",11.5029,8.66724,14.6795,3.4566,29.7169,29.7169,0,0,0,178.153,737.944,147.144,74.3726,68.4228,18.1222,65.458,2.72833,5.92133,204.409,10.3264,3.30683,3.12274,0.915501,0.276997,0.0887032,0.18829414248466492,0.22075,1.19337,0.290568,0.738283,,,3.39611,3.73269,3.76473,48.150001525878906,2.25772,1.10829,1.0357,2.25772,-1.10829,3.61906,908.5999999999999,5.104494382022471,851,4.780898876404494,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"George Kirby","SEA",12.5358,9.31935,15.141,3.49785,30.0754,30.0754,0,0,0,180.718,725.972,168.671,76.3437,70.2362,22.0106,24.7951,0.85683,6.61554,169.402,8.43641,1.23483,6.83207,1.09616,0.233345,0.0341543,0.19919024780392647,0.242846,1.07054,0.291485,0.720083,,,3.39649,3.64681,3.10299,45.72999954223633,1.92574,1.32558,1.15255,1.92574,-1.32558,3.46326,871.4000000000002,4.814364640883979,861,4.7569060773480665,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Chris Sale","ATL",11.7527,6.24725,12.7174,3.14121,25.7859,25.7859,0,0,0,154.444,625.033,127.499,58.5918,53.9045,15.6595,39.9255,0.752067,8.29389,184.78,10.7678,2.32661,4.62811,0.912538,0.295632,0.0638775,0.23175448924303055,0.22104,1.08405,0.29715,0.747985,,,3.02839,3.60617,3.95493,36.68000030517578,4.26032,0.317114,1.08948,4.26032,-0.317114,3.54736,838.6000000000001,5.445454545454546,788,5.116883116883117,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Framber Valdez","HOU",13.7067,8.37024,15.8904,3.32929,28.6933,28.6933,0,0,0,185.537,767.954,161.245,74.6022,68.634,16.0986,57.6429,0.858221,8.70111,181.684,8.81309,2.79613,3.15189,0.780908,0.236582,0.0750604,0.16152143478393555,0.229822,1.17975,0.288088,0.73484,,,3.40873,3.58372,3.97905,63.02000045776367,5.27464,-0.470496,1.12687,5.27464,0.470496,3.4975,924.0000000000001,4.967741935483872,885,4.758064516129032,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Dylan Cease","SDP",12.4119,9.31054,14.2358,3.50985,30.7041,30.7041,0,0,0,182.347,749.792,145.242,77.2959,71.1122,20.5659,67.85,1.46733,6.07068,214.364,10.5802,3.34884,3.15938,1.01506,0.285897,0.0904917,0.19540562480688095,0.214896,1.16861,0.28275,0.736822,,,3.49767,3.537,3.70062,46.7599983215332,2.23427,-0.573921,1.06396,2.23427,0.573921,3.58139,917.5,5.041208791208791,843,4.631868131868132,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
