Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",150,695,594,189,114,34,3,38,135,100,79,3,108,10,4,7,,56,15,0.31815,0.1139,0.154982,0.734922,0.404885,0.57764,0.414973,0.982526,0.259491,6.94801,0.333358,2.078,3.49759,140.448,55.7603,161.912,5.57559,-0.391,58.885979652404785,-8.096999853849411,7.42512,1,,,,"18401"
"Juan Soto","NYY",150,666,526,150,84,26,1,38,110,107,129,9,108,4,5,2,,11,4,0.284221,0.1937,0.161786,1.19726,0.425361,0.557489,0.414584,0.982851,0.273268,3.81216,0.288918,-1.078,-1.26202,134.294,53.1876,170.466,-2.34002,-0.721,53.863526344299316,-10.385999977588654,6.59072,11.130000114440918,,,,"20123"
"Aaron Judge","NYY",150,679,560,151,81,24,1,46,117,110,104,12,181,5,5,4,,8,3,0.269985,0.1538,0.265984,0.57823,0.386215,0.56299,0.395946,0.949205,0.293005,3.66801,0.309957,0.068,-0.983374,126.429,43.7272,157.547,-0.915374,-2.187,45.88710480928421,-5.00600004196167,6.37616,11.529999732971191,,,,"15640"
"Mookie Betts","LAD",150,695,593,166,95,36,2,33,116,89,82,2,111,9,4,7,,15,4,0.279291,0.1177,0.159264,0.739024,0.372637,0.51272,0.378065,0.885357,0.233429,4.83121,0.292268,1.188,-0.170059,119.094,34.4412,140.96,1.01794,1.004,36.27278959751129,0.8239999413490295,6.0588,4.670000076293945,,,,"13611"
"Adley Rutschman","BAL",141,634,536,146,93,32,1,20,89,72,84,4,99,5,4,4,,3,1,0.271721,0.1321,0.156222,0.845593,0.372489,0.447345,0.355766,0.819834,0.175625,3.19319,0.298207,0.798,-1.31496,96.8607,19.6724,129.936,-0.516962,0.219,22.20617300271988,6.107999935746193,5.78659,52.66999816894531,,,,"26288"
"Yordan Alvarez","HOU",141,620,525,157,84,32,2,39,101,112,80,6,123,10,5,1,,1,1,0.299208,0.1289,0.198254,0.650174,0.398619,0.591212,0.413991,0.98983,0.292004,3.11068,0.321529,-0.366,-1.27579,124.84,49.2588,168.847,-1.64179,-0.049,49.52917397022247,-13.792000029236078,5.66522,17.530000686645508,,,,"19556"
"Julio Rodríguez","SEA",150,677,606,171,101,35,3,33,102,95,52,5,154,9,5,4,,31,11,0.282335,0.0762999,0.227708,0.335078,0.345568,0.51249,0.362484,0.858058,0.230155,5.99909,0.32543,1.53,0.494351,107.254,24.7922,136.574,2.02435,-1.118,31.682969570159912,1.1740000247955322,5.56934,2.7300000190734863,,,,"23697"
"Fernando Tatis Jr.","SDP",150,669,594,165,93,34,1,36,99,104,63,1,144,5,5,2,,27,8,0.277532,0.0947,0.21587,0.438689,0.349196,0.52366,0.370189,0.872856,0.246128,5.11423,0.307194,1.425,0.64821,110.337,28.7975,138.52,2.07321,5.676,34.00839304924011,-1.3029999732971191,5.53411,8.130000114440918,,,,"19709"
"José Ramírez","CLE",150,664,580,163,96,36,4,27,93,97,73,18,82,5,5,1,,23,7,0.28183,0.1097,0.123873,0.885585,0.364355,0.500516,0.361166,0.864871,0.218686,5.61352,0.286182,1.382,0.583825,104.551,23.6083,133.486,1.96582,0.696,28.620375156402588,0.8799999803304672,5.19238,15.069999694824219,,,,"13510"
"Gunnar Henderson","BAL",143,642,562,146,85,29,6,27,92,79,66,1,153,5,4,5,,12,4,0.260592,0.1023,0.237588,0.430577,0.341062,0.477707,0.350622,0.818769,0.217116,5.67857,0.308481,1.252,-0.607408,95.4145,17.1934,126.371,0.644592,6.62,20.92953509092331,9.211999893188477,5.18065,30.200000762939453,,,,"26289"
