Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15,7,19,3.18196,31,31,0,0,185,752,139,70,65,21,62,,8,257,12.5212,3.01667,4.15066,1.026,0.341828,0.0823551,0.25947311520576477,0.203051,1.08489,0.290679,0.760606,0.371295,,3.08795,4.93853,5.20743,7.929999828338623,,,,"27498"
"Zack Wheeler","PHI",13,10,20,3.53918,32,32,0,0,197,812,179,84,78,24,47,,9,200,9.12613,2.16222,4.22072,1.095,0.246507,0.0584039,0.18810294941067696,0.236762,1.14609,0.291484,0.736501,0.438131,,3.67138,4.73347,4.67184,26.43000030517578,,,,"10310"
"Kevin Gausman","TOR",13,9,19,3.47384,32,32,0,0,193,797,167,81,75,25,52,,5,222,10.3232,2.40535,4.29178,1.145,0.278039,0.064784,0.21325479447841644,0.225647,1.13187,0.28833,0.748111,0.407655,,3.49608,4.35214,4.14473,27.93000030517578,,,,"14107"
"Aaron Nola","PHI",13,10,18,3.80737,32,32,0,0,195,808,182,89,83,28,44,,7,202,9.32247,2.04689,4.55445,1.286,0.250153,0.054925,0.19522807747125626,0.240769,1.16124,0.292964,0.733042,0.422704,,3.82798,4.2343,4.00146,50.36000061035156,,,,"16149"
"Logan Webb","SFG",12,11,20,3.52651,32,32,0,0,201,843,202,87,79,18,44,,8,181,8.08818,1.9858,4.073,0.788,0.214786,0.052734,0.1620519533753395,0.256177,1.22568,0.312391,0.717698,0.562293,,3.37863,4.08268,3.89079,64.36000061035156,,,,"17995"
"Framber Valdez","HOU",14,8,20,3.38349,31,31,0,0,195,811,179,81,73,17,63,,10,198,9.10918,2.88295,3.15968,0.772,0.244126,0.077263,0.16686296463012695,0.243058,1.23791,0.310694,0.734922,0.570289,,3.45826,4.07,4.45219,61.290000915527344,,,,"17295"
"Pablo López","MIN",13,10,19,3.51822,32,32,0,0,193,801,172,82,76,22,53,,9,215,9.99519,2.48198,4.0271,1.043,0.267871,0.0665171,0.20135398209095,0.232318,1.16429,0.297382,0.737872,0.440201,,3.50461,4.06503,4.08104,37.86000061035156,,,,"17085"
"Tarik Skubal","DET",11,9,17,3.33972,29,29,0,0,171,703,148,69,64,20,46,,6,198,10.3926,2.43986,4.2595,1.028,0.281293,0.066039,0.21525412052869797,0.228193,1.13748,0.297562,0.750613,0.431199,,3.35563,4.02277,4.15121,51,,,,"22267"
"Corbin Burnes","MIL",12,11,19,3.7055,32,32,0,0,197,828,176,88,81,25,63,,9,218,9.96386,2.85812,3.48615,1.123,0.26371,0.0756451,0.1880650892853737,0.232189,1.20777,0.294159,0.736269,0.447195,,3.75556,3.79253,4.01653,26.43000030517578,,,,"19361"
"Tyler Glasnow","LAD",11,7,15,3.46834,26,26,0,0,154,632,128,64,59,19,47,,4,192,11.2211,2.77428,4.04468,1.095,0.304091,0.075183,0.22890806943178177,0.220852,1.13961,0.296216,0.744637,0.442856,,3.35035,3.72337,3.50852,41.209999084472656,,,,"14374"
