"","name","team","points","IDFANGRAPHS","ESPNID","position","replacement_pr","adj_points","FANTPROSNAME","ESPN"
"1","Aaron Judge","NYY",16.5162537099784,"15640",33192,"CF",0.414351510471444,16.101902199507,"Aaron Judge",14
"2","Aaron Judge","NYY",16.5162537099784,"15640",33192,"DH",7.2427022094734,9.27355150050503,"Aaron Judge",14
"3","Shohei Ohtani","LAD",17.681109906992,"19755",39832,"DH",7.2427022094734,10.4384076975186,"Shohei Ohtani",8
"4","Shohei Ohtani","LAD",17.681109906992,"19755",39832,"DH",7.2427022094734,10.4384076975186,"Shohei Ohtani",8
"5","Shohei Ohtani","LAD",17.681109906992,"19755",39832,"SP",4.41978805996897,13.261321847023,"Shohei Ohtani",8
"6","Shohei Ohtani","LAD",17.681109906992,"19755",39832,"SP",4.41978805996897,13.261321847023,"Shohei Ohtani",8
"7","Juan Soto","NYM",13.5137123492374,"20123",36969,"RF",1.7782557432166,11.7354566060208,"Juan Soto",3
"8","Bobby Witt Jr.","KCR",13.32147246852,"25764",42403,"SS",3.15844985743133,10.1630226110887,"Bobby Witt Jr.",12
"9","Vladimir Guerrero Jr.","TOR",12.8796104214231,"19611",35002,"1B",4.12223334524929,8.75737707617384,"Vladimir Guerrero Jr.",21
"10","Vladimir Guerrero Jr.","TOR",12.8796104214231,"19611",35002,"DH",7.2427022094734,5.63690821194973,"Vladimir Guerrero Jr.",21
"11","Yordan Alvarez","HOU",12.3930987148655,"19556",36018,"LF",1.90197291160567,10.4911258032599,"Yordan Alvarez",11
"12","Yordan Alvarez","HOU",12.3930987148655,"19556",36018,"DH",7.2427022094734,5.15039650539214,"Yordan Alvarez",11
"13","Gunnar Henderson","BAL",11.642928622146,"26289",42507,"SS",3.15844985743133,8.48447876471468,"Gunnar Henderson",40
"14","José Ramírez","CLE",11.2300547776728,"13510",32801,"3B",3.76118164652273,7.46887313115009,"Jose Ramirez",7
"15","José Ramírez","CLE",11.2300547776728,"13510",32801,"DH",7.2427022094734,3.98735256819942,"Jose Ramirez",7
"16","Kyle Tucker","CHC",11.090263642758,"18345",34967,"RF",1.7782557432166,9.31200789954138,"Kyle Tucker",6
"17","Mookie Betts","LAD",11.0274817363231,"13611",33039,"SS",3.15844985743133,7.8690318788918,"Mookie Betts",2
"18","Mookie Betts","LAD",11.0274817363231,"13611",33039,"RF",1.7782557432166,9.24922599310653,"Mookie Betts",2
"19","Matt Olson","ATL",10.7444124416117,"14344",32767,"1B",4.12223334524929,6.62217909636238,"Matt Olson",9
"20","Austin Riley","ATL",10.6239276432566,"18360",34982,"3B",3.76118164652273,6.86274599673384,"Austin Riley",32
"21","Pete Alonso","NYM",10.4122837117419,"19251",37498,"1B",4.12223334524929,6.29005036649265,"Pete Alonso",35
"22","Fernando Tatis Jr.","SDP",10.4013739875309,"19709",35983,"RF",1.7782557432166,8.62311824431427,"Fernando Tatis Jr.",16
"23","Rafael Devers","BOS",10.3769453380458,"17350",33859,"3B",3.76118164652273,6.61576369152304,"Rafael Devers",19
"24","Freddie Freeman","LAD",10.1136562821374,"5361",30193,"1B",4.12223334524929,5.99142293688812,"Freddie Freeman",5
"25","Kyle Schwarber","PHI",9.8469321754017,"16478",33712,"DH",7.2427022094734,2.60422996592829,"Kyle Schwarber",47
