Rank,Player,Team,Positions,Yahoo,ESPN,AVG
32,Shohei Ohtani,LAA,"SP,DH",70,1,35.5
1,Juan Soto,WSH,RF,2,2,2
2,Vladimir Guerrero Jr.,TOR,"1B,DH",3,3,3
4,Gerrit Cole,NYY,SP,6,4,5
5,Jose Ramirez,CLE,3B,5,5,5
3,Trea Turner,LAD,"2B,SS",1,6,3.5
7,Corbin Burnes,MIL,SP,11,7,9
6,Mookie Betts,LAD,"2B,CF,RF",7,8,7.5
9,Max Scherzer,NYM,SP,15,9,12
8,Bryce Harper,PHI,RF,9,10,9.5
11,Freddie Freeman,LAD,1B,14,11,12.5
10,Mike Trout,LAA,CF,12,12,12
13,Walker Buehler,LAD,SP,18,13,15.5
15,Jacob deGrom,NYM,SP,20,14,17
17,Brandon Woodruff,MIL,SP,23,15,19
14,Kyle Tucker,HOU,RF,16,16,16
18,Manny Machado,SD,3B,25,17,21
29,Robbie Ray,SEA,SP,50,18,34
25,Wander Franco,TB,"3B,SS",40,19,29.5
16,Rafael Devers,BOS,3B,17,20,18.5
21,Shane Bieber,CLE,SP,27,21,24
12,Bo Bichette,TOR,SS,4,22,13
23,Julio Urias,LAD,SP,32,23,27.5
30,Aaron Nola,PHI,SP,46,24,35
24,Matt Olson,ATL,1B,30,25,27.5
19,Ozzie Albies,ATL,2B,21,26,23.5
35,Nolan Arenado,STL,3B,48,27,37.5
33,Lucas Giolito,CWS,SP,44,28,36
22,Yordan Alvarez,HOU,"LF,DH",22,29,25.5
28,Marcus Semien,TEX,"2B,SS",33,30,31.5
39,Alex Bregman,HOU,3B,57,31,44
44,Kevin Gausman,TOR,SP,61,32,46.5
40,Jose Altuve,HOU,2B,55,33,44
26,Aaron Judge,NYY,"CF,RF,DH",26,34,30
27,Xander Bogaerts,BOS,SS,28,35,31.5
34,Josh Hader,MIL,RP,37,36,36.5
48,Corey Seager,TEX,SS,64,37,50.5
20,Ronald Acuna Jr.,ATL,RF,10,38,24
31,Zack Wheeler,PHI,SP,31,39,35
45,Sandy Alcantara,MIA,SP,54,40,47
52,Jose Berrios,TOR,SP,73,41,57
47,Pete Alonso,NYM,1B,53,42,47.5
38,Liam Hendriks,CWS,RP,43,43,43
51,Freddy Peralta,MIL,SP,63,44,53.5
43,Paul Goldschmidt,STL,1B,45,45,45
64,Ketel Marte,ARI,"2B,CF",88,46,67
46,Nick Castellanos,PHI,RF,47,47,47
67,Frankie Montas,OAK,SP,89,48,68.5
37,Salvador Perez,KC,"C,DH",34,49,41.5
42,Francisco Lindor,NYM,SS,39,50,44.5
54,Max Fried,ATL,SP,66,51,58.5
59,Carlos Correa,MIN,SS,71,52,61.5
61,Kris Bryant,COL,"1B,3B,LF,CF,RF",72,53,62.5
65,Luis Castillo,CIN,SP,80,54,67
70,Joe Musgrove,SD,SP,87,55,71
72,Yu Darvish,SD,SP,92,56,74
79,Bryan Reynolds,PIT,"LF,CF",100,57,79
77,Logan Webb,SF,SP,97,58,78
49,Cedric Mullins II,BAL,CF,41,59,50.5
