ADP,Name,avg_pick
1,Mookie Betts,1.9
2,Ronald Acuna Jr.,3.6
3,Mike Trout,4.1
4,Fernando Tatis Jr.,4.3
5,Juan Soto,5.3
6,Gerrit Cole,6.2
7,Jacob deGrom,7.1
8,Trea Turner,10
9,Freddie Freeman,11
10,Shane Bieber,11.3
11,Jose Ramirez,12.1
12,Cody Bellinger,14.3
13,Trevor Bauer,14.7
14,Christian Yelich,15
15,Trevor Story,15.6
16,Francisco Lindor,16.9
17,Bryce Harper,17.4
18,Manny Machado,19.2
19,Yu Darvish,19.9
20,Walker Buehler,22.1
21,Aaron Nola,24.6
22,DJ LeMahieu,24.8
23,Corey Seager,25.1
24,Max Scherzer,25.2
25,Xander Bogaerts,26.2
26,Lucas Giolito,28.6
27,Anthony Rendon,30.4
28,Eloy Jimenez,30.9
29,Nolan Arenado,32.9
30,Marcell Ozuna,33.3
31,Alex Bregman,34.7
32,Jack Flaherty,35.3
33,Bo Bichette,35.3
34,Clayton Kershaw,36.5
35,Kyle Tucker,36.5
36,Rafael Devers,39.6
37,George Springer,39.7
38,Ozzie Albies,39.7
39,Jose Abreu,40.9
40,Luis Castillo,41.3
41,Brandon Woodruff,42.3
42,Aaron Judge,44.3
43,Vladimir Guerrero Jr.,44.6
44,Pete Alonso,46.1
45,Luis Robert,47.7
46,Whit Merrifield,48
47,Blake Snell,50.5
48,Tyler Glasnow,51.6
49,Tim Anderson,52.7
50,Josh Hader,54.2
51,Kenta Maeda,56.8
52,Starling Marte,57.5
53,J.T. Realmuto,57.9
54,Adalberto Mondesi,59.4
55,Lance Lynn,59.8
56,Ketel Marte,60.8
57,Liam Hendriks,61.5
58,Zac Gallen,63.4
59,Gleyber Torres,63.7
60,Trent Grisham,64.5
61,Luke Voit,65.4
62,Michael Conforto,66.4
63,Randy Arozarena,68.9
64,Eugenio Suarez,69.7
65,Javier Baez,69.9
66,Nicholas Castellanos,71.1
67,Charlie Blackmon,72.9
68,Paul Goldschmidt,74.4
69,Aroldis Chapman,74.7
70,Brandon Lowe,75.8
71,Corbin Burnes,76.7
72,Jeff McNeil,77.5
73,Eddie Rosario,77.6
74,Hyun-Jin Ryu,82.9
75,Anthony Rizzo,83.1
76,Jose Berrios,84.2
77,Cavan Biggio,85.1
78,Kyle Hendricks,85.1
79,Teoscar Hernandez,85.2
80,Carlos Carrasco,87.6
81,Max Muncy,87.7
82,Salvador Perez,88.6
83,Jose Altuve,88.9
84,Max Fried,89.1
85,Lourdes Gurriel Jr.,90.2
86,Stephen Strasburg,91.4
87,Matt Chapman,92.5
88,Matt Olson,93
89,Sonny Gray,94
90,Edwin Diaz,94.2
91,Zack Wheeler,96.9
92,J.D. Martinez,97.4
93,Will Smith,100.1
94,Nelson Cruz,100.6
95,Yordan Alvarez,102
96,Keston Hiura,106.2
97,Michael Brantley,108.5
98,Ryan Pressly,108.8
99,Dinelson Lamet,110.4
100,Chris Paddack,112.2
101,Zack Greinke,112.3
102,Dansby Swanson,112.5
103,Mike Yastrzemski,114.2
104,Raisel Iglesias,115.6
105,Austin Meadows,115.9
106,Kris Bryant,118.6
107,Carlos Correa,118.6
108,Marcus Semien,120.1
109,James Karinchak,120.2
110,Yoan Moncada,121.1
111,Alec Bohm,122.7
112,Jesus Luzardo,124.4
113,Zach Plesac,125.8
114,Kenley Jansen,126
115,Shohei Ohtani,126.5
116,Byron Buxton,126.7
117,Charlie Morton,127.7
118,Willson Contreras,128.4
119,Giancarlo Stanton,129.5
120,Kirby Yates,129.6
121,Mike Moustakas,131.8
122,Wil Myers,131.8
123,Brad Hand,133.8
124,Didi Gregorius,135.7
125,Julio Urias,137.6
126,Anthony Santander,137.9
127,Tommy Pham,138.6
128,Josh Bell,139.2
129,Joey Gallo,140.4
130,Rhys Hoskins,142
131,Trevor Rosenthal,142.2
132,Lance McCullers Jr.,142.3
133,Dominic Smith,144.3
134,Yasmani Grandal,145.9
135,Alex Verdugo,146
136,Joe Musgrove,146.1
137,Ian Happ,146.4
138,Patrick Corbin,148.8
139,Dylan Bundy,149.3
140,Travis d'Arnaud,149.4
141,Ramon Laureano,152.1
142,Eric Hosmer,154.3
143,Ian Anderson,155.4
144,Nick Anderson,155.6
145,Gary Sanchez,156
146,Tommy Edman,157.5
147,Kyle Lewis,157.9
148,Corey Kluber,159.1
149,Giovanny Urshela,160
150,Trey Mancini,160.4
151,Victor Robles,164.1
152,Pablo Lopez,164.5
153,Max Kepler,165.7
154,Andrew McCutchen,167.8
155,Jean Segura,169.2
156,German Marquez,169.3
157,Justin Turner,169.6
158,Ryan Mountcastle,169.9
159,Miguel Sano,169.9
160,Sixto Sanchez,172.3
161,Nick Madrigal,176.6
162,Marco Gonzales,177.3
163,Devin Williams,177.4
164,Will Smith,177.4
165,Kevin Gausman,181.1
166,Franmil Reyes,181.3
167,Ke'Bryan Hayes,181.4
168,Christian Vazquez,182.2
169,Joc Pederson,183
170,Dylan Carlson,183
171,Jorge Soler,183.2
172,Kyle Schwarber,183.5
173,Nick Solak,188.1
174,Rafael Montero,189.3
175,Chris Taylor,189.7
176,A.J. Pollock,190.6
177,Sandy Alcantara,192.5
178,Mike Soroka,195.6
179,Alex Colome,195.7
180,Andrew Benintendi,195.7
181,Dylan Moore,196.6
182,Carlos Santana,197.3
183,Frankie Montas,197.9
184,Josh Donaldson,200.7
185,Christian Walker,204.3
186,Triston McKenzie,204.6
187,Dallas Keuchel,206.7
188,Drew Pomeranz,207.4
189,Zach Eflin,207.5
190,David Fletcher,207.5
191,Clint Frazier,208.2
192,Craig Kimbrel,208.5
193,Austin Hays,209.1
194,Andrew Heaney,209.7
195,Austin Riley,211.5
196,Austin Nola,212.5
197,Chris Bassitt,212.9
198,Marcus Stroman,214.8
199,Paul DeJong,215.8
200,Jorge Polanco,215.8
201,David Price,222.9
202,Aaron Civale,223.2
203,Taylor Rogers,224.4
204,C.J. Cron,224.5
205,Jose Urquidy,224.9
206,James Paxton,225.2
207,Eduardo Rodríguez,225.4
208,Jameson Taillon,225.6
209,Kyle Seager,226.1
210,Aaron Hicks,227.1
211,Brian Anderson,227.9
212,Framber Valdez,228.8
213,Tyler Mahle,229.6
214,Yuli Gurriel,229.8
215,Kolten Wong,230.1
216,Matt Barnes,230.1
217,Joakim Soria,232.2
218,Jordan Hicks,233.1
219,Raimel Tapia,233.2
220,Richard Rodriguez,233.7
221,Sean Manaea,235.5
222,Lorenzo Cain,236.4
223,Dustin May,236.5
224,Gavin Lux,237.2
225,Ryan McMahon,237.8
226,Jarred Kelenic,237.9
227,David Peralta,238.2
228,Chris Sale,238.2
229,Mitch Garver,238.5
230,Brandon Nimmo,239.3
231,Jared Walsh,239.6
232,James McCann,240.1
233,Mitch Haniger,240.5
234,Hunter Dozier,240.9
235,Jake Cronenworth,241
236,J.D. Davis,241.6
237,Mark Canha,241.9
238,Eduardo Escobar,244.3
239,Andres Gimenez,246.6
240,Yadier Molina,247.3
241,Noah Syndergaard,247.3
242,Buster Posey,247.5
243,Tommy La Stella,247.8
244,Jake Odorizzi,248
245,Michael Pineda,248.4
246,Adam Ottavino,248.5
247,Greg Holland,249.1
248,Randal Grichuk,249.6
249,Jonathan Villar,249.9
250,Kole Calhoun,250.1
251,Cristian Javier,250.4
252,Sean Murphy,251.9
253,Cesar Hernandez,252.1
254,Jose Leclerc,252.2
255,Zach Davies,252.3
256,Mark Melancon,252.4
257,Archie Bradley,252.4
258,Giovanny Gallegos,252.4
259,Jordan Montgomery,252.6
260,Jesse Winker,252.9
261,Wander Franco,253.1
262,Jackie Bradley Jr.,253.3
263,Joey Votto,253.3
264,John Means,253.4
265,Domingo German,253.6
266,Avisail Garcia,254.6
267,Nathan Eovaldi,254.7
268,Jake McGee,254.9
269,Leody Taveras,255.1
270,Bryan Reynolds,255.3
271,Ryan Yarbrough,255.5
272,Enrique Hernandez,255.5
273,Tony Gonsolin,255.8
274,Alex Dickerson,256
275,Caleb Smith,256.1
276,Diego Castillo,256.1
277,Victor Reyes,256.2
278,Nate Pearson,256.2
279,Elvis Andrus,256.2
280,Daulton Varsho,256.4
281,Matthew Boyd,256.4
282,Adam Wainwright,256.5
283,Jeimer Candelario,257.2
284,Willi Castro,257.3
285,Amir Garrett,257.3
286,Luis Severino,257.4
287,Madison Bumgarner,257.5
288,Andrew Vaughn,257.5
289,Justin Upton,257.6
290,Zack Britton,257.7
291,Hector Neris,257.7
292,Josh Lindblom,257.9
293,Daniel Bard,257.9
294,Michael Kopech,258.1
295,Bobby Dalbec,258.2
296,Alex Kirilloff,258.2
297,Nick Senzel,258.4
298,Yasiel Puig,258.5
299,Wilson Ramos,258.5
300,Brady Singer,258.5
301,Robbie Ray,258.6
302,Cristian Pache,258.6
303,Brett Gardner,258.6
304,Brusdar Graterol,258.7
305,Albert Pujols,258.7
306,Elieser Hernandez,258.8
307,Garrett Crochet,258.8
308,Chad Green,258.9
309,Bartolo Colon,259.1
310,Corey Dickerson,259.1
311,Kwang-Hyun Kim,259.1
312,Justin Verlander,259.1
313,Chris Martin,259.1
314,Joey Wendle,259.2
315,Adley Rutschman,259.2
316,Adam Frazier,259.2
317,Jake Arrieta,259.2
318,Jurickson Profar,259.3
319,Anthony Bass,259.3
320,Nico Hoerner,259.3
321,Tim Tebow,259.4
322,Manuel Margot,259.4
323,Casey Mize,259.4
324,Spencer Torkelson,259.4
325,Ji-Man Choi,259.4
326,Mike Minor,259.4
327,Chris Archer,259.4
328,Blake Treinen,259.5
329,Myles Straw,259.5
330,Todd Frazier,259.5
331,Michael Lorenzen,259.5
332,Trevor May,259.5
333,Bobby Witt Jr.,259.5
334,Chris Davis,259.6
335,Roberto Osuna,259.6
336,Jason Heyward,259.6
337,Kyle Higashioka,259.6
338,Austin Barnes,259.6
339,Starlin Castro,259.6
340,Joe Kelly,259.6
341,Wilmer Flores,259.6
342,Tanner Dodson,259.6
343,Matt Frisbee,259.6
344,Miguel Cabrera,259.7
345,Miguel Andujar,259.7
346,Jose Iglesias,259.7
347,Khris Davis,259.7
348,Ryan Braun,259.7
349,Deivi Garcia,259.7
350,Julio Rodriguez,259.7
351,Tyler Wade,259.7
352,Matt Carpenter,259.7
353,Dee Strange-Gordon,259.7
354,Darren O'Day,259.7
355,Kevin Plawecki,259.7
356,Haseong Kim,259.7
357,Robinson Cano,259.8
358,MacKenzie Gore,259.8
359,Mike Tauchman,259.8
360,Ichiro Suzuki,259.8
361,Kevin Kiermaier,259.8
362,Dustin Pedroia,259.8
363,Kevin Pillar,259.8
364,Luis Patino,259.8
365,Adrian Beltre,259.8
366,Kevin Newman,259.8
367,William Contreras,259.8
368,Joe Panik,259.8
369,Shane Greene,259.8
370,Troy Tulowitzki,259.8
371,Willians Astudillo,259.8
372,Masahiro Tanaka,259.8
373,Victor Gonzalez,259.8
374,Kyle Farmer,259.8
375,Nate Orf,259.8
376,Johan Camargo,259.8
377,Isaac Paredes,259.8
378,Cedric Mullins,259.8
379,Josh Harrison,259.8
380,Odrisamer Despaigne,259.8
381,Howie Kendrick,259.8
382,Mike Ford,259.8
383,Jose Garcia,259.9
384,Kyler Murray,259.9
385,Derek Dietrich,259.9
386,Brian Dozier,259.9
387,Jose Fernandez,259.9
388,Justin Smoak,259.9
389,Dovydas Neverauskas,259.9
390,Luis Cessa,259.9
391,Manny Pina,259.9
392,Stephen Vogt,259.9
393,Wei-Yin Chen,259.9
394,Hisashi Iwakuma,259.9
395,Andrew Knapp,259.9
396,Nelson Alvarez,259.9
397,Edwin Encarnacion,259.9
398,Brad Miller,259.9
399,Travis Shaw,259.9
