"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Juan Soto","WSN","153","663","521","163","30","3","36","113","106","135","101","4","11","5","",".312",".454",".587","1.041",".437","174","","7.6","","4.4","","2.61","0.43","0.98","20123"
"Fernando Tatis Jr.","SDP","141","610","536","153","30","2","43","109","105","65","161","6","27","7","",".286",".367",".593",".960",".400","154","","6.6","","1.8","","5.72","-0.90","0.58","19709"
"Mike Trout","LAA","134","578","468","132","25","3","36","96","94","96","137","10","7","2","",".281",".410",".579",".990",".412","164","","6.2","","14.2","","2.93","-1.01","0.69","10155"
"José Ramírez","CLE","148","635","552","150","35","4","35","101","100","72","91","6","25","6","",".271",".358",".538",".897",".377","141","","5.9","","3.7","","2.81","0.41","0.80","13510"
"Mookie Betts","LAD","147","658","566","159","34","3","31","112","87","79","100","8","14","5","",".280",".373",".514",".887",".376","138","","5.8","","15.8","","3.46","-0.68","0.65","13611"
"Vladimir Guerrero Jr.","TOR","152","652","570","175","32","2","41","108","109","74","101","6","3","2","",".306",".390",".585",".975",".409","159","","5.6","","5.9","","4.40","0.15","1.43","19611"
"Trea Turner","LAD","147","651","595","180","34","5","26","109","85","47","111","5","32","7","",".303",".357",".506",".863",".367","132","","5.6","","1.6","","3.85","0.54","1.45","16252"
"Ronald Acuña Jr.","ATL","131","583","495","139","26","2","36","105","87","74","146","10","22","7","",".281",".383",".562",".945",".398","147","","5.5","","9.1","","3.45","0.14","0.60","18401"
"Aaron Judge","NYY","145","627","543","150","25","1","39","98","97","77","166","5","5","2","",".276",".369",".538",".907",".382","142","","5.4","","35.2","","2.11","-1.17","0.95","15640"
"Bryce Harper","PHI","150","646","528","146","32","2","37","103","101","106","145","6","14","4","",".277",".400",".556",".957",".400","150","","5.2","","9.9","","3.37","0.90","0.46","11579"
"Carlos Correa","","140","615","540","148","30","1","25","86","87","65","120","5","1","0","",".274",".355",".474",".829",".354","128","","5.0","","101.3","","1.96","-0.85","0.84","14162"
"Rafael Devers","BOS","150","649","585","164","38","2","38","101","106","55","137","6","5","3","",".281",".348",".548",".896",".376","136","","4.8","","14.3","","2.49","-0.36","1.03","17350"
"Bo Bichette","TOR","150","648","599","175","36","2","27","104","91","41","127","5","21","5","",".292",".341",".497",".837",".356","123","","4.8","","5.3","","2.47","0.40","0.71","19612"
"Marcus Semien","TEX","150","666","594","154","32","2","30","95","83","66","126","3","12","4","",".259",".335",".473",".808",".346","121","","4.7","","39.2","","2.86","-0.51","0.54","12533"
"Kyle Tucker","HOU","149","613","550","154","34","4","32","89","95","55","111","4","17","4","",".280",".346",".530",".877",".369","138","","4.7","","12.7","","2.12","1.02","0.24","18345"
"Freddie Freeman","","146","665","571","169","34","2","31","104","95","85","108","7","6","3","",".295",".391",".525",".916",".387","140","","4.6","","20.4","","2.51","0.05","0.95","5361"
"Alex Bregman","HOU","141","611","520","140","31","1","24","85","84","78","79","7","2","1","",".268",".368",".474",".842",".362","133","","4.6","","87.5","","2.89","-1.10","0.67","17678"
"Xander Bogaerts","BOS","149","640","567","162","36","1","26","94","89","64","117","4","7","2","",".286",".360",".493",".853",".363","127","","4.6","","45.5","","3.41","0.83","0.70","12161"
"Will Smith","LAD","128","514","434","114","22","1","29","75","83","61","107","11","2","1","",".263",".364",".519",".883",".374","136","","4.6","","56.0","","2.42","-0.53","0.65","19197"
"Luis Robert","CHW","140","600","547","156","32","3","28","86","84","39","143","9","19","5","",".286",".341",".510",".851",".360","128","","4.6","","16.4","","3.39","-1.23","0.51","20043"
"Manny Machado","SDP","152","649","575","159","29","2","32","90","102","62","105","3","11","3","",".276",".345",".501",".846",".356","125","","4.5","","22.3","","2.02","0.82","0.51","11493"
"Wander Franco","TBR","144","622","565","165","33","8","18","90","80","48","74","5","8","4","",".292",".350",".471",".821",".351","121","","4.5","","57.5","","3.08","-1.56","0.97","23667"
