Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Aaron Judge","NYY",150,644,545,155,86,25,1,43,104,105,87,9,165,6,4,1,13,9,3,0.283972,0.135684,0.256158,0.52969,0.386061,0.56851,0.403933,0.954571,0.284537,3.8844,0.327719,0.138223,-0.136229,121.829,48.1768,165.655,0.00199463,1.91922,48.36294891266152,-4.516838192939758,6.81436,4.46999979019165,3.1599,-0.876856,1.13916,"15640"
"Juan Soto","SDP",151,661,521,146,86,27,2,30,104,89,131,8,96,4,3,1,14,9,4,0.279842,0.198023,0.144868,1.36692,0.425898,0.51483,0.405882,0.940728,0.234988,3.85705,0.289597,-0.547671,-0.573409,126.145,50.5025,167.009,-1.12108,-0.392766,49.57057797908783,-8.836011946201324,6.5474,9.800000190734863,3.11617,-0.139556,0.827076,"20123"
"Mike Trout","LAA",140,603,514,138,68,27,3,40,98,96,76,7,162,8,3,1,6,3,1,0.267552,0.126595,0.267853,0.47263,0.369044,0.564517,0.394953,0.93356,0.296965,4.0224,0.308228,0.195502,-0.356859,109.841,40.8343,159.914,-0.161358,-4.86243,40.5268748998642,-3.2496721744537354,5.92835,21.6299991607666,4.27903,0.877841,1.43383,"10155"
"Yordan Alvarez","HOU",144,609,526,151,80,31,2,38,95,105,72,6,128,7,5,0,16,1,1,0.287068,0.117653,0.210793,0.558143,0.377,0.571185,0.401456,0.948185,0.284117,2.88974,0.310222,0.191128,-0.591493,114.084,44.3892,166.919,-0.400365,0.29687,45.497882038354874,-9.44214129447937,5.82018,10.699999809265137,0.932805,-0.51666,1.50235,"19556"
"Julio Rodríguez","SEA",146,626,561,156,95,29,3,29,92,80,51,4,152,8,3,3,9,26,7,0.277883,0.0813361,0.242172,0.335861,0.345271,0.496115,0.361762,0.841386,0.218232,5.92324,0.330924,-0.372388,1.84124,97.5099,25.8767,143.125,1.46886,0.67889,31.8701753616333,2.926629066467285,5.7446,4.099999904632568,3.46536,-1.2221,0.761385,"23697"
"Mookie Betts","LAD",146,642,563,153,85,34,3,30,106,82,65,1,102,8,4,2,8,13,4,0.271718,0.100591,0.159425,0.630961,0.352961,0.504222,0.369256,0.857182,0.232503,5.46838,0.282307,1.22933,0.487072,103.828,30.3622,141.575,1.71641,6.61714,32.262264251708984,-0.03666973114013672,5.58864,11.569999694824219,1.95077,0.4869,0.676141,"13611"
"José Ramírez","CLE",152,649,569,152,82,36,4,30,94,102,67,10,85,6,6,0,7,21,6,0.267854,0.103211,0.131651,0.783974,0.348451,0.504516,0.36198,0.852967,0.236662,5.77078,0.265963,1.08461,1.21627,101.129,26.9199,138.321,2.30089,0.67592,30.287200450897217,1.4061685800552368,5.49395,3.0299999713897705,3.29512,0.463239,0.63369,"13510"
"Freddie Freeman","LAD",155,673,581,175,112,36,2,25,105,91,80,8,101,6,4,1,10,9,3,0.300705,0.118944,0.14996,0.793168,0.388815,0.498535,0.381669,0.88735,0.197831,4.34246,0.325936,0.176415,-0.153278,115.442,38.4545,150.195,0.0231366,2.11531,38.67017791047692,-9.859607934951782,5.33578,13.869999885559082,2.61194,0.554,1.13483,"5361"
"Corey Seager","TEX",143,616,545,152,92,30,2,28,84,82,58,4,98,6,5,1,13,2,1,0.278149,0.0945045,0.158344,0.596832,0.35194,0.495124,0.363935,0.847065,0.216976,3.21433,0.291121,0.327456,-0.402125,96.9904,26.5203,139.81,-0.0746685,-3.06186,27.534029364585876,1.5659263134002686,5.1125,66.69999694824219,1.69064,-0.140117,0.942511,"13624"
"Kyle Tucker","HOU",151,629,564,154,85,33,3,33,85,98,57,3,104,3,4,1,9,21,5,0.273942,0.0912866,0.164996,0.553264,0.341446,0.519384,0.367438,0.86083,0.245442,5.34718,0.281559,-0.369369,1.59532,100.767,28.8246,142.913,1.22595,1.95528,31.608278393745422,-5.146686673164368,4.87846,5.670000076293945,3.6051,-0.121724,0.478679,"18345"
