"","Name","Team","PlayerId","AB","AVG","OPS","R","HR","RBI","RC","wAVG","wOPS","pr","rank"
"1","Aaron Judge","NYY","15640",545,0.283972,0.954571,2.50269340416706,3.78539710297156,2.62786438688388,3.01858258765918,1.79628449197152,2.22354403007056,15.9543660037237,1
"4","Yordan Alvarez","HOU","19556",526,0.287068,0.948185,2.16737862171906,3.21275207464482,2.62786438688388,2.79472181338159,1.7173437302144,2.07265644636551,14.5927170732093,2
"13","Vladimir Guerrero Jr.","TOR","19611",582,0.289092,0.892846,2.20463581976884,2.86916505764877,2.51393856291624,2.66405228166668,2.07891430218222,2.21929855327166,14.5500045774544,3
"39","Pete Alonso","NYM","19251",572,0.264557,0.86515,1.9438354334204,3.32728108031016,2.81774076016326,2.41443444621988,1.72423482585652,2.04542472783615,14.2729512738064,4
"3","Mike Trout","LAA","10155",514,0.267552,0.93356,2.27915021586839,3.44181008597551,2.28608691498098,2.58882634511888,1.43493949066352,1.94002213932157,13.9708351919289,5
"8","Freddie Freeman","LAD","5361",581,0.300705,0.88735,2.53995060221683,1.72387500099529,2.09621054170159,2.75974092176114,2.21424959397997,2.190617250476,13.5246439111308,6
"2","Juan Soto","SDP","20123",521,0.279842,0.940728,2.50269340416706,2.29652002932203,2.02025999238983,3.00330349884762,1.60837059475108,2.01210720093707,13.4432547204147,7
"21","Austin Riley","ATL","18360",580,0.274142,0.849519,1.9438354334204,2.64010704631807,2.32406218963685,2.30087550946809,1.88508816527656,2.03036972210929,13.1243380662293,8
"27","Paul Goldschmidt","STL","9218",567,0.281191,0.864426,2.13012142366928,2.29652002932203,2.28608691498098,2.4157245393882,1.89416080414217,2.01217917756345,13.0347928890661,9
"7","José Ramírez","CLE","13510",569,0.267854,0.852967,2.13012142366928,2.29652002932203,2.51393856291624,2.21175138514201,1.746915993422,1.97854713372482,12.8777945281964,10
"12","Manny Machado","SDP","11493",580,0.273279,0.831611,2.05560702756973,2.41104903498738,2.40001273894861,2.13858523516294,1.87459883621069,1.95746204641163,12.837314919291,11
"28","Rafael Devers","BOS","17350",576,0.278676,0.852798,1.90657823537062,2.41104903498738,2.28608691498098,2.25393649572842,1.91683687939342,2.01977488063186,12.7942624410927,12
"10","Kyle Tucker","HOU","18345",564,0.273942,0.86083,1.79480664122129,2.64010704631807,2.36203746429273,2.16902672547351,1.79080549716006,1.97973970373572,12.7365230782014,13
"51","Matt Olson","ATL","14344",570,0.247649,0.824679,1.9438354334204,2.86916505764877,2.43798801360449,2.10275816154898,1.51118174500103,1.87135297018778,12.7362813814114,14
"6","Mookie Betts","LAD","13611",563,0.271718,0.857182,2.57720780026661,2.29652002932203,1.75443306979869,2.26116999669365,1.75882547043236,1.95928066706911,12.6074370335825,15
"43","Shohei Ohtani","LAA","19755",526,0.261397,0.872641,2.01834982951995,2.75463605198342,2.05823526704571,2.0789021131622,1.43437564783808,1.79373372446242,12.1382326340118,16
"68","Kyle Schwarber","PHI","16478",523,0.229995,0.83203,2.01834982951995,3.32728108031016,2.02025999238983,1.84408230214392,1.07377615714165,1.62626925826616,11.9100186197717,17
"23","Bo Bichette","TOR","19612",602,0.284728,0.810071,2.0928642256195,1.72387500099529,1.94430944307808,1.97627546852622,2.14502452769076,1.99486379410826,11.8772124600181,18
"5","Julio Rodríguez","SEA","23697",561,0.277883,0.841386,2.05560702756973,2.18199102365668,1.67848252048693,2.01884195587476,1.81991498845381,1.88504436489974,11.6398818809417,19
"11","Trea Turner","PHI","16252",607,0.290625,0.805714,2.31640741391817,1.38028798399924,1.67848252048693,2.00546037840043,2.24987001765499,2.00473061454205,11.6352389290018,20
"15","Nolan Arenado","STL","9777",574,0.266248,0.80479,1.6085206509724,2.18199102365668,2.28608691498098,1.87725113171265,1.75566358337415,1.81437273779183,11.5238860424887,21
"14","Ronald Acuña Jr.","ATL","18401",535,0.270217,0.856005,2.39092181001772,2.18199102365668,1.48860614720755,2.08047788920346,1.58256142602082,1.78638801627878,11.510946312385,22
"9","Corey Seager","TEX","13624",545,0.278149,0.847065,1.75754944317151,2.06746201799133,1.75443306979869,2.10179010236828,1.72977981119267,1.81227370029729,11.2232881448198,23
"19","Jose Altuve","HOU","5417",556,0.274606,0.820085,2.24189301781861,1.72387500099529,1.33670504858404,1.96774086931571,1.752616241952,1.77238145884517,10.7952116375108,24
"29","Marcus Semien","TEX","12533",605,0.24955,0.754664,2.05560702756973,1.83840400666063,1.5645566965193,1.62420382067183,1.71692423249346,1.77662438761253,10.5763201715275,25
"31","Bryan Reynolds","PIT","19326",561,0.269201,0.812918,1.79480664122129,1.60934599532994,1.60253197117518,1.98557044276204,1.7178465281372,1.77294116941998,10.4830427480456,26
"99","Rhys Hoskins","PHI","16472",542,0.236915,0.790559,1.72029224512173,2.29652002932203,1.83038361911045,1.69704339879807,1.243950506243,1.5794590971537,10.367648895749,27
"63","Teoscar Hernández","SEA","13066",540,0.257283,0.792181,1.45949185877329,2.29652002932203,1.9063341684222,1.50942584399324,1.46451037077343,1.5745087702536,10.2107910415378,28
"77","José Abreu","HOU","15676",560,0.274078,0.795476,1.57126345292262,1.38028798399924,1.83038361911045,1.85979172985132,1.76943856578556,1.69867315373414,10.1098385054033,29
"30","Francisco Lindor","NYM","12916",582,0.253191,0.754806,1.83206383927106,1.49481698966459,1.9063341684222,1.57041037143954,1.64105109759129,1.65536737128947,10.1000438376782,30
"33","Willy Adames","MIL","15986",559,0.246035,0.765022,1.72029224512173,2.06746201799133,1.79240834445457,1.5003465979005,1.43518754713883,1.57359314951067,10.0892899021176,31
"24","Fernando Tatis Jr.","SDP","19709",440,0.277744,0.911365,1.68303504707195,2.41104903498738,1.75443306979869,1.70605445537994,1.11401120243921,1.38655010034391,10.0551329100211,32
"18","Alex Bregman","HOU","17678",530,0.261408,0.814017,1.79480664122129,1.38028798399924,1.83038361911045,1.90772187672977,1.45640919038768,1.60013838763175,9.96974769908018,33
"45","Bobby Witt Jr.","KCR","25764",586,0.262269,0.761397,1.79480664122129,1.49481698966459,1.67848252048693,1.4751210746508,1.77375454308694,1.70367152120679,9.92065329031734,34
"94","Eloy Jiménez","CHW","17484",513,0.273948,0.823686,1.23594867047462,2.06746201799133,1.86835889376632,1.67645426902606,1.49809248566009,1.53781976945013,9.88413610636856,35
"38","George Springer","TOR","12856",509,0.258718,0.816845,1.83206383927106,1.95293301232598,1.48860614720755,1.64666551958301,1.31267646286993,1.49025080735385,9.72319578861138,36
"134","Anthony Santander","BAL","14551",548,0.243564,0.763623,1.34772026462396,2.18199102365668,1.86835889376632,1.43511533048984,1.35009575178451,1.50914203249475,9.69242329681606,37
"42","Dansby Swanson","CHC","18314",591,0.253498,0.73999,1.75754944317151,1.49481698966459,1.64050724583106,1.45469006617786,1.69260618976648,1.64158833271589,9.68175826732739,38
"100","Christian Walker","ARI","13419",545,0.249861,0.776908,1.45949185877329,1.83840400666063,1.83038361911045,1.58227381858826,1.40670160238753,1.54388409854574,9.6611390040659,39
"35","Michael Harris II","ATL","25931",553,0.276672,0.786895,1.83206383927106,1.26575897833389,1.52658142186342,1.55989832897857,1.75929450819788,1.62627799738259,9.56987507402741,40
"16","Carlos Correa","MIN","14162",541,0.270035,0.804574,1.49674905682307,1.49481698966459,1.52658142186342,1.80477423459616,1.61447410008216,1.62713154583109,9.5645273488605,41
"76","Nathaniel Lowe","TEX","19566",545,0.272371,0.799493,1.42223466072351,1.49481698966459,1.52658142186342,1.75374475958693,1.66378907694224,1.63028430316621,9.49145121194692,42
"231","C.J. Cron","COL","12546",516,0.2554,0.792195,1.34772026462396,1.83840400666063,1.9063341684222,1.53663906839094,1.31474981013312,1.44110478922075,9.38495210745161,43
"20","Xander Bogaerts","SDP","12161",556,0.273907,0.784434,1.6085206509724,1.0367009670032,1.60253197117518,1.74119776847973,1.74447180832936,1.63324380318932,9.36666696914919,44
"62","Vinnie Pasquantino","KCR","27676",508,0.279072,0.837572,1.16143427437507,1.49481698966459,1.60253197117518,1.86556841858131,1.52393654617302,1.55842624097733,9.2067144409465,45
"48","Ozzie Albies","ATL","16556",548,0.258806,0.765653,1.64577784902218,1.49481698966459,1.64050724583106,1.37077446947927,1.52513338670846,1.51695066115167,9.19396060185722,46
"46","Matt Chapman","TOR","16505",528,0.224775,0.757001,1.53400625487284,2.06746201799133,1.64050724583106,1.38797587979748,1.04011690312467,1.37739633565558,9.04746463727296,47
"119","Rowdy Tellez","MIL","15679",494,0.243488,0.797972,1.16143427437507,2.29652002932203,1.75443306979869,1.40145705466452,1.07368577380314,1.33880130899162,9.02633151095507,48
"60","Taylor Ward","LAA","17548",517,0.26461,0.805608,1.68303504707195,1.49481698966459,1.26075449927228,1.6651995364402,1.41988556200827,1.49534147253084,9.01903310698813,49
"44","Max Muncy","LAD","13301",479,0.230099,0.802251,1.57126345292262,2.06746201799133,1.67848252048693,1.51921208514284,0.862749733524276,1.26916958058353,8.96833939065154,50
"52","Salvador Perez","KCR","7304",509,0.255787,0.773716,1.01240548217596,2.18199102365668,1.86835889376632,1.23012221331228,1.28141260831793,1.33615694361267,8.91044716484185,51
"140","Ryan Mountcastle","BAL","18373",537,0.256737,0.760765,1.16143427437507,1.72387500099529,1.71645779514281,1.35926815245206,1.4421911347265,1.43940740011331,8.84263375780504,52
"155","Nick Castellanos","PHI","11737",544,0.264072,0.764247,1.34772026462396,1.38028798399924,1.5645566965193,1.38510164277157,1.56347201646717,1.49008418855335,8.73122279293459,53
"36","Byron Buxton","MIN","14161",463,0.244271,0.824838,1.53400625487284,2.41104903498738,1.29872977392816,1.29711992876246,0.923104177034906,1.25247586768765,8.7164850372734,54
"177","Adolis García","TEX","19287",562,0.235157,0.714649,1.38497746267373,1.83840400666063,1.71645779514281,1.05771252743208,1.32254197296502,1.3909873112514,8.71108107612568,55
"130","Randy Arozarena","TBR","19290",552,0.257782,0.76269,1.53400625487284,1.15122997266854,1.52658142186342,1.41738072873765,1.53498221580715,1.5269675557294,8.69114814967902,56
"74","Eugenio Suárez","SEA","12552",527,0.215828,0.733432,1.31046306657418,2.18199102365668,1.71645779514281,1.23392082365294,0.936597405681804,1.28489602420742,8.66432613891584,57
"133","Josh Bell","CLE","13145",516,0.265269,0.791106,1.42223466072351,1.15122997266854,1.52658142186342,1.62501050669475,1.4214663588452,1.43716043640225,8.58368335719767,58
"87","Ty France","SEA","17982",544,0.269671,0.766811,1.38497746267373,1.0367009670032,1.41265559789579,1.57227744545945,1.62730105285037,1.49987491900958,8.53378744489212,59
"40","Luis Robert Jr.","CHW","20043",512,0.28151,0.795485,1.38497746267373,1.26575897833389,1.45063087255167,1.39990714444587,1.57348799082624,1.4306859374036,8.50544838623501,60
"58","Oneil Cruz","PIT","21711",517,0.244977,0.765454,1.53400625487284,1.72387500099529,1.41265559789579,1.22739532388076,1.20717643240136,1.34962201977698,8.45473062982302,61
"117","Anthony Rizzo","NYY","3473",493,0.23935,0.78344,1.42223466072351,1.83840400666063,1.45063087255167,1.40348896200401,1.02583222825803,1.28291133927972,8.42350206947757,62
"53","Jorge Polanco","MIN","13152",522,0.253813,0.769363,1.42223466072351,1.38028798399924,1.45063087255167,1.40621248362004,1.3295025587881,1.3908100581044,8.37967861778697,63
"25","Will Smith","LAD","19197",460,0.258427,0.825825,1.2732058685244,1.60934599532994,1.64050724583106,1.50610720033609,1.044207938447,1.23829327145816,8.31166751992665,64
"152","Giancarlo Stanton","NYY","4949",457,0.24132,0.8026,1.01240548217596,2.29652002932203,1.71645779514281,1.24606305775032,0.864129038174827,1.1464005848087,8.28197598737464,65
"139","Hunter Renfroe","LAA","15464",491,0.240245,0.769,1.19869147242485,2.06746201799133,1.60253197117518,1.14481381791055,1.02500959947216,1.22214520933774,8.26065408831181,66
"22","Wander Franco","TBR","23667",545,0.286182,0.782318,1.64577784902218,0.349526933011104,1.26075449927228,1.59312436402289,1.82152497703443,1.56458036186195,8.23528898422483,67
"84","Tyler O'Neill","STL","15711",479,0.248635,0.78267,1.45949185877329,1.83840400666063,1.45063087255167,1.20198732254149,1.04881292029776,1.20333280470958,8.20265978553442,68
