"","playerid","Name","R","HR","RBI","RC","AVG","OPS","pr","bpr","count_pos","pos_SS","pos_CF","pos_RF","pos_1B","pos_C","pos_3B","pos_LF","pos_2B","pos_DH","adp"
"1","10047","Wil Myers",0.147289922415912,0.278920314678155,0.477623365594888,0.218814006812127,-0.662136328171063,-0.180396220066436,-0.684655628580956,-0.61798896191429,1,0,0,1,0,0,0,0,0,0,309
"2","10059","Max Stassi",-0.740486736389804,-0.207900343367283,-0.657504148219253,-0.793495465143469,-1.23816663456981,-0.772687653651397,-1.4457356796584,-1.3957356796584,1,0,0,0,0,1,0,0,0,0,NA
"3","10071","Jonathan Villar",-0.37493164158745,-0.573015836901362,-0.812294263739363,-0.579886590950353,-0.266076776595092,-0.838381138050038,-3.00176567263606,-2.46843233930273,2,1,0,0,0,0,1,0,0,0,307
"4","10200","Tucker Barnhart",-1.21048614399283,-1.0598364949468,-0.915487674086103,-1.07879271964657,-1.28873401491322,-1.74494498556078,-4.33377673146369,-4.28377673146369,1,0,0,0,0,1,0,0,0,0,340
"5","10231","José Iglesias",-0.166043015986105,-1.0598364949468,-0.141537096485552,0.0343786112904867,2.15493914350138,-0.323376428951943,0.937646503944574,1.00431317061124,1,1,0,0,0,0,0,0,0,0,NA
"6","10243","Randal Grichuk",0.0950677660155756,0.765740972723593,0.632413481114998,-0.0250533791930833,-0.755309792385515,-0.48874220104343,0.745624355335383,1.01229102200205,2,0,1,1,0,0,0,0,0,0,267
"7","10264","Brandon Belt",0.669511486419274,1.13085646625767,0.632413481114998,0.828831158859339,-0.228674177582244,1.57990732014905,2.94307284050584,3.02640617383917,1,0,0,0,1,0,0,0,0,0,247
"8","10323","Rafael Ortega",-0.166043015986105,-0.573015836901362,-0.657504148219253,-0.435275775901186,-0.166303723566234,-0.667368614802693,-2.14400360727359,-2.07733694060692,1,0,1,0,0,0,0,0,0,0,NA
"9","10324","Marcell Ozuna",0.669511486419274,1.25256163076903,1.30317064836881,0.992670593551861,0.694411885046308,1.31808086248185,6.41446202992405,6.46446202992405,1,0,0,0,0,0,0,1,0,0,150
"10","10472","Enrique Hernández",0.982844424821291,0.644035808212233,0.580816775941628,0.768395225375786,-0.381261621466573,0.265078030500553,3.38141615148816,3.6147494848215,2,0,1,0,0,0,0,0,1,0,147
"11","10556","César Hernández",0.72173364281961,-0.329605507878643,-0.0383436861388122,0.410532793676051,0.276376313493754,-0.749505581383425,0.374885101837306,0.424885101837306,1,0,0,0,0,0,0,0,1,0,NA
"12","10681","Gio Urshela",-0.583820267188795,-0.451310672390002,-0.244730506832292,-0.426084143155475,0.537076144699358,-0.481969008875997,-1.20801787855561,-0.674684545222277,2,1,0,0,0,0,1,0,0,0,291
"13","10762","Corey Dickerson",-1.21048614399283,-1.0598364949468,-1.17347119995295,-1.06400042484509,0.36814724453737,-0.427866781006766,-4.38345887692016,-4.33345887692016,1,0,0,0,0,0,0,1,0,0,NA
"14","10815","Jurickson Profar",-0.37493164158745,-0.816426165924081,-0.657504148219253,-0.549902141399566,-0.982176203078337,-1.18468328833873,-4.04411608044417,-2.97744941377751,4,0,1,1,1,0,0,1,0,0,NA
"15","10847","Andrelton Simmons",-1.00159751839148,-1.42495198848088,-1.12187449477958,-0.985520194498813,-0.219796718025564,-2.17020897575573,-6.48482810440895,-6.41816143774228,1,1,0,0,0,0,0,0,0,0,NA
"16","10950","Adam Duvall",0.408400704417593,1.86108745332583,1.40636405871555,0.309348380071808,-1.44236363448855,0.335732285298151,3.40007675544362,3.95007675544362,3,0,1,1,0,0,0,1,0,0,233
"17","11038","Kevin Kiermaier",-0.583820267188795,-1.18154165945816,-0.812294263739363,-0.902673555085654,-0.997995285667567,-1.61477283634006,-5.57159035937636,-5.50492369270969,1,0,1,0,0,0,0,0,0,0,NA
"18","11200","Kole Calhoun",-0.270487328786778,0.278920314678155,-0.141537096485552,-0.340095337965051,-1.2281984587517,-0.431811859094657,-3.09798045625012,-3.03131378958345,1,0,0,1,0,0,0,0,0,0,NA
"19","11265","Jonathan Schoop",0.669511486419274,0.644035808212233,0.890397006981848,0.695410566760683,0.661664680344723,-0.335449910668855,3.30926676529868,3.57593343196534,2,0,0,0,1,0,0,0,1,0,196
"20","11281","Whit Merrifield",1.45284383242432,-0.573015836901362,0.374429955248148,0.90692945571512,2.12980348599647,-0.540760590179644,3.83392742955182,4.06726076288515,2,0,0,1,0,0,0,0,1,0,71
"21","11342","Jesús Aguilar",-0.00937654678509686,0.522330643700874,0.941993712155218,0.389636722032741,0.0578386288892148,0.222482206922528,0.455132472203229,0.538465805536562,1,0,0,0,1,0,0,0,0,0,256
"22","11368","Yasmani Grandal",0.565067173618601,1.00915130174631,0.787203596635108,0.816720967666847,-1.01091929291035,1.39481483524556,6.52654388368469,6.57654388368469,1,0,0,0,0,1,0,0,0,0,85
"23","11442","Gary Sánchez",-0.427153797987787,0.644035808212233,0.0132530190345578,-0.54939623875821,-2.11222318499369,-0.307597879763771,0.22542302742595,0.27542302742595,1,0,0,0,0,1,0,0,0,0,226
"24","11445","Mark Canha",0.982844424821291,0.157215150166795,0.322833250074778,0.693120889941269,-0.980838926435963,0.00872222804551018,1.70540452471693,2.25540452471693,3,0,1,1,0,0,0,1,0,0,188
"25","11476","Odúbel Herrera",-0.427153797987787,-0.451310672390002,-0.399520622352402,-0.349604007436585,0.302907432033422,-0.360018049757763,-1.16319220978787,-0.929858876454538,2,0,1,0,0,0,0,1,0,0,NA
"26","11477","Christian Yelich",1.40062167602398,0.644035808212233,0.787203596635108,1.3572492805721,0.771211746909967,1.66873207567045,6.81310910731075,6.86310910731075,1,0,0,0,0,0,0,1,0,0,88
