"","Name","Team","PlayerId","AB","AVG","OPS","R","HR","RBI","RC","wAVG","wOPS","pr","rank","Player","ESPN","ESPNID","ESPNNAME"
"1","Aaron Judge","NYY","15640",545,0.283972,0.954571,2.52607779404349,3.48087482684294,2.69262923042829,3.17593371758785,1.59489581569224,2.32413753821139,15.7945489228062,1,"Aaron Judge",3,"33192","Aaron Judge"
"2","Vladimir Guerrero Jr.","TOR","19611",582,0.289092,0.892846,2.06423680176007,2.41868797567663,2.51804769398384,2.65264215300974,2.09079608770179,2.31672934002006,14.0611400521521,2,"Vladimir Guerrero Jr.",6,"35002","Vladimir Guerrero Jr."
"3","Yordan Alvarez","HOU","19556",526,0.287068,0.948185,2.00650667772465,2.817008044864,2.69262923042829,2.84551216309918,1.45638691177014,2.06084434933124,13.8788873772175,3,"Yordan Alvarez",13,"36018","Yordan Alvarez"
"4","Pete Alonso","NYM","19251",572,0.264557,0.86515,1.66012593351209,2.94978140125979,2.98359845783572,2.28420282511679,1.46847797959069,2.0133260192326,13.3595126165477,4,"Pete Alonso",18,"37498","Pete Alonso"
"5","Freddie Freeman","LAD","5361",581,0.300705,0.88735,2.58380791807891,1.09095441171873,1.87791539368751,2.79387989021025,2.32825443636276,2.26668153960549,12.9414935896637,5,"Freddie Freeman",8,"30193","Freddie Freeman"
"6","Mike Trout","LAA","10155",514,0.267552,0.93356,2.17969704983093,3.08255475765558,2.16888462109493,2.5416076451903,0.96088242444968,1.82940244537198,12.7630289435934,6,"Mike Trout",22,"30836","Mike Trout"
"7","Juan Soto","SDP","20123",521,0.279842,0.940728,2.52607779404349,1.75482119369768,1.76152770272454,3.15338157421848,1.26518341671875,1.95518818119811,12.4161798626011,7,"Juan Soto",2,"36969","Juan Soto"
"8","Austin Riley","ATL","18360",580,0.274142,0.849519,1.66012593351209,2.15314126288505,2.22707846657642,2.1165882864434,1.75071011466723,1.98705559744506,11.8946996615292,8,"Austin Riley",42,"34982","Austin Riley"
"9","Paul Goldschmidt","STL","9218",567,0.281191,0.864426,1.94877655368922,1.75482119369768,2.16888462109493,2.2861070202197,1.7666289028444,1.9553137777185,11.8805320692644,9,"Paul Goldschmidt",26,"31027","Paul Goldschmidt"
"10","José Ramírez","CLE","13510",569,0.267854,0.852967,1.94877655368922,1.75482119369768,2.51804769398384,1.98503986400405,1.50827419626307,1.89662711939055,11.6115866210284,10,"Jose Ramirez",4,"32801","Jose Ramirez"
