"","playerid","Name","pr","adp","R","HR","RBI","RC","AVG","OPS","IP","SO","QS","ERA","WHIP","SVHD","Year","ESPNID","ESPNNAME"
"1","10155","Mike Trout",14.627935965521,"1",2.03951514895175,2.45734109418979,1.68952939706965,2.57864690831552,2.00993144058932,3.85297197640494,NA,NA,NA,NA,NA,NA,2020,30836,"Mike Trout"
"2","15998","Cody Bellinger",14.3743883383512,"4",2.33082026972448,2.72715851649843,2.3686762520604,2.58715187656665,1.54872161849842,2.81185980500279,NA,NA,NA,NA,NA,NA,2020,33912,"Cody Bellinger"
"3","11477","Christian Yelich",14.1870184078511,"3",2.136616855876,2.18752367188115,2.07761331420722,2.63279358323214,2.30342860010171,2.84904238255286,NA,NA,NA,NA,NA,NA,2020,31283,"Christian Yelich"
"4","20123","Juan Soto",13.797115186657,"9",2.136616855876,2.18752367188115,2.27165527277601,2.70546228949968,1.75836244672156,2.73749464990263,NA,NA,NA,NA,NA,NA,2020,36969,"Juan Soto"
"5","6184","J.D. Martinez",13.4298640880049,"16",1.74821002817903,2.45734109418979,2.27165527277601,2.38639890202398,2.05185960623395,2.51439918460217,NA,NA,NA,NA,NA,NA,2020,31065,"J.D. Martinez"
"6","9777","Nolan Arenado",13.206482884355,"10",1.84531173510327,2.45734109418979,2.4656972313448,2.3246531233434,1.88414694365544,2.22933275671825,NA,NA,NA,NA,NA,NA,2020,31261,"Nolan Arenado"
"7","17678","Alex Bregman",12.9155280247443,"11",2.23371856280024,1.91770624957252,2.17463429349162,2.52634811577933,1.54872161849842,2.51439918460217,NA,NA,NA,NA,NA,NA,2020,34886,"Alex Bregman"
"8","13611","Mookie Betts",12.1469203314902,"6",2.71922709742145,1.64788882726388,1.39846645921646,2.40129134857076,1.80029061236619,2.17975598665148,NA,NA,NA,NA,NA,NA,2020,33039,"Mookie Betts"
"9","17350","Rafael Devers",11.7734110330681,"22",2.136616855876,1.91770624957252,2.07761331420722,2.02850820180087,1.84221877801081,1.77074763360063,NA,NA,NA,NA,NA,NA,2020,33859,"Rafael Devers"
"10","18401","Ronald Acuna Jr.",11.61855526369,"2",2.23371856280024,2.45734109418979,1.78655037635404,2.02346820204791,1.29715262463066,1.8203244036674,NA,NA,NA,NA,NA,NA,2020,36185,"Ronald Acuna"
"11","19556","Yordan Alvarez",11.5788337777231,"47",1.4569049074063,2.45734109418979,2.07761331420722,2.01565789859864,1.25522445898603,2.31609210433509,NA,NA,NA,NA,NA,NA,2020,36018,"Yordan Alvarez"
"12","12861","Anthony Rendon",11.1803013581556,"20",1.74821002817903,1.64788882726388,2.07761331420722,2.04298556226661,1.63257794978768,2.03102567645117,NA,NA,NA,NA,NA,NA,2020,32098,"Anthony Rendon"
"13","5361","Freddie Freeman",11.1104064841747,"17",1.4569049074063,1.64788882726388,1.68952939706965,1.97001701057165,1.9680032749447,2.37806306691856,NA,NA,NA,NA,NA,NA,2020,30193,"Freddie Freeman"
"14","12916","Francisco Lindor",10.7406895064133,"8",2.23371856280024,1.91770624957252,1.59250841778525,2.02616698639061,1.42293712156454,1.54765216830017,NA,NA,NA,NA,NA,NA,2020,32129,"Francisco Lindor"
"15","11579","Bryce Harper",10.6193164427476,"18",1.84531173510327,2.18752367188115,2.07761331420722,2.05643531091672,0.458589311738111,1.99384309890109,NA,NA,NA,NA,NA,NA,2020,30951,"Bryce Harper"
"16","12856","George Springer",10.5939327830286,"28",2.136616855876,2.18752367188115,1.59250841778525,1.87334676563934,1.04558363076289,1.75835344108394,NA,NA,NA,NA,NA,NA,2020,32078,"George Springer"
"17","19251","Pete Alonso",10.546379923855,"23",1.65110832125479,2.99697593880706,2.27165527277601,1.83662789906352,0.0812358209364654,1.70877667101717,NA,NA,NA,NA,NA,NA,2020,37498,"Pete Alonso"
"18","12564","Trevor Story",10.2667239054547,"15",1.84531173510327,1.91770624957252,1.68952939706965,1.85492098180057,1.2132962933414,1.74595924856725,NA,NA,NA,NA,NA,NA,2020,32150,"Trevor Story"
