"Rank","Player","Team","Positions","Yahoo","ESPN","AVG"
"1","Aaron Judge","NYY","CF,RF,DH","3","3","3.0"
"2","Jose Ramirez","CLE","3B,DH","4","4","4.0"
"3","Juan Soto","SD","RF","9","2","5.5"
"4","Trea Turner","PHI","SS","2","10","6.0"
"5","Vladimir Guerrero Jr.","TOR","1B,DH","8","6","7.0"
"6","Mookie Betts","LAD","2B,RF","6","9","7.5"
"7","Kyle Tucker","HOU","RF","7","11","9.0"
"8","Gerrit Cole","NYY","SP","14","5","9.5"
"9","Freddie Freeman","LAD","1B","11","8","9.5"
"10","Corbin Burnes","MIL","SP","13","7","10.0"
"11","Julio Rodriguez","SEA","CF","5","20","12.5"
"12","Yordan Alvarez","HOU","LF,DH","12","13","12.5"
"13","Manny Machado","SD","3B","15","12","13.5"
"14","Ronald Acuna Jr.","ATL","RF,DH","1","28","14.5"
"15","Sandy Alcantara","MIA","SP","23","15","19.0"
"16","Mike Trout","LAA","CF","17","22","19.5"
"17","Pete Alonso","NYM","1B,DH","21","18","19.5"
"18","Jose Altuve","HOU","2B","24","19","21.5"
"19","Rafael Devers","BOS","3B","20","24","22.0"
"20","Max Scherzer","NYM","SP","31","14","22.5"
"21","Paul Goldschmidt","STL","1B,DH","19","26","22.5"
"22","Jacob DeGrom","TEX","SP","25","21","23.0"
"23","Aaron Nola","PHI","SP","33","16","24.5"
"24","Justin Verlander","NYM","SP","34","17","25.5"
"25","Shohei Ohtani","LAA","SP,DH","52","1","26.5"
"26","Fernando Tatis Jr.","SD","SS","22","32","27.0"
"27","Bo Bichette","TOR","SS","18","38","28.0"
"28","Marcus Semien","TEX","2B,SS","29","27","28.0"
"29","Bobby Witt Jr.","KC","3B,SS","16","43","29.5"
"30","Spencer Strider","ATL","SP,RP","27","36","31.5"
"31","Nolan Arenado","STL","3B","36","29","32.5"
"32","Shane McClanahan","TB","SP","35","31","33.0"
"33","Matt Olson","ATL","1B","39","30","34.5"
"34","Carlos Rodon","NYY","SP","47","23","35.0"
"35","Francisco Lindor","NYM","SS","38","33","35.5"
"36","Dylan Cease","CWS","SP","37","35","36.0"
"37","Shane Bieber","CLE","SP","48","25","36.5"
"38","Austin Riley","ATL","3B","32","42","37.0"
"39","Edwin Diaz","NYM","RP","28","48","38.0"
"40","Brandon Woodruff","MIL","SP","40","39","39.5"
"41","Emmanuel Clase","CLE","RP","30","51","40.5"
"42","Corey Seager","TEX","SS","50","34","42.0"
