"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos"
"1","Corbin Burnes","MIL","19361",1.78022684542519,2.73693567927328,2.16529409000974,1.63705788265218,2.09009754547227,-0.844808668597196,9.56480337423548,1,"SP"
"2","Gerrit Cole","NYY","13125",1.84143574521442,2.94712964895866,2.16529409000974,1.16217615835658,2.21133820044333,-0.844808668597196,9.48256517438553,2,"SP"
"3","Jacob deGrom","TEX","10954",0.841690381990459,1.95921799143739,1.61323610672114,2.05435484602809,3.38299860850236,-0.844808668597196,9.00668926608225,3,"SP"
"8","Max Scherzer","NYM","3137",1.27015268051501,2.04329557931154,1.61323610672114,1.48663978174474,2.41808542260449,-0.844808668597196,7.98660090229973,4,"SP"
"7","Carlos Rodón","NYY","16137",1.35176454690064,2.37960593080814,1.61323610672114,1.4296666606932,1.99867397024051,-0.844808668597196,7.92813854676643,5,"SP"
"4","Aaron Nola","PHI","16149",1.90264464500364,2.44266412171376,1.79725543448401,0.635984645121922,1.93080240740982,-0.844808668597196,7.86454258513595,6,"SP"
"5","Shane Bieber","CLE","19427",1.8006298120216,2.00125678537447,2.16529409000974,0.991166181888163,1.42124359723482,-0.844808668597196,7.5347817979316,7,"SP"
"6","Sandy Alcantara","MIA","18684",2.04546541117849,1.81208221265763,2.16529409000974,1.09824846547092,1.22505417373621,-0.844808668597196,7.50133568445579,8,"SP"
"9","Shohei Ohtani","LAA","19755",1.29055564711142,2.1904313580913,1.61323610672114,1.51153578971119,1.6368083215757,-0.844808668597196,7.39775855461357,9,"SP"
"11","Shane McClanahan","TBR","21483",1.39257048009346,1.91717919750032,1.61323610672114,1.4962900996644,1.62822285892704,-0.844808668597196,7.20269007430915,10,"SP"
"14","Spencer Strider","ATL","27498",1.08652598114735,2.31654773990253,1.24519745119541,1.46731649257696,1.73472900367673,-0.844808668597196,7.00550799990177,11,"SP"
"15","Justin Verlander","NYM","8700",1.2497497139186,1.66494643387786,1.42921677895827,1.22889021064159,2.23303389659604,-0.844808668597196,6.96102836539517,12,"SP"
"13","Brandon Woodruff","MIL","16162",1.41297344668986,2.022276182343,1.61323610672114,1.06155007338205,1.6902934334816,-0.844808668597196,6.95552057402046,13,"SP"
"10","Luis Castillo","SEA","15689",1.8006298120216,2.08533437324862,1.98127476224688,1.13422195104938,0.775593602101883,-0.844808668597196,6.93224583207117,14,"SP"
"12","Kevin Gausman","TOR","14107",1.53539124626831,2.04329557931154,1.79725543448401,0.83447310900009,1.4566296257192,-0.844808668597196,6.82223632618595,15,"SP"
"17","Edwin O Díaz","NYM","14710",-0.831352878914939,-0.0166053236051454,-0.963034481959006,3.17023515214253,2.89636530399461,2.55203929151066,6.80764706316871,16,"SP"
"16","Zack Wheeler","PHI","10310",1.63740607925034,1.72800462478348,1.79725543448401,0.929005448621591,1.26078826151715,-0.844808668597196,6.50765118005937,17,"SP"
"18","Max Fried","ATL","13743",1.61700311265394,1.3496554793498,1.98127476224688,1.23235616989442,0.970158748883183,-0.844808668597196,6.30563960443102,18,"SP"
"23","Emmanuel Clase","CLE","21032",-0.770143979125717,-0.710245423566887,-0.963034481959006,3.36027392450888,2.59698790104025,2.55203929151066,6.06587723240818,19,"SP"
"20","Joe Musgrove","SDP","12970",1.57619717946112,1.64392703690933,1.79725543448401,0.684961141230642,1.15776270973313,-0.844808668597196,6.01529483322103,20,"SP"
"19","Framber Valdez","HOU","17295",1.82103277861801,1.62290763994079,2.16529409000974,1.13166212493454,-0.0349204798385871,-0.844808668597196,5.8611674850673,21,"SP"
