Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Corbin Burnes","MIL",13,8,17,3.06009,31,31,0,0,191,762,149,71,65,19,52,1,9,234,11.0136,2.44103,4.51185,0.9136,0.306344,0.0678976,0.23844633251428604,0.212764,1.05372,0.28947,0.750482,,,2.93527,4.95015,4.92606,14.729999542236328,4.71553,-0.934503,1.3308,"19361"
"Jacob deGrom","TEX",11,6,14,2.87588,25,25,0,0,145,559,105,50,46,14,31,1,4,197,12.206,1.95006,6.25931,0.885809,0.351638,0.0561784,0.2954597510397434,0.200813,0.942282,0.290536,0.739542,,,2.41001,4.59419,3.94334,28.229999542236328,5.9631,-0.0832234,1.61744,"10954"
"Shohei Ohtani","LAA",13,8,14,3.1155,29,29,0,0,167,674,132,63,58,16,51,1,7,208,11.2114,2.73129,4.10481,0.852452,0.308957,0.0752672,0.2336902767419815,0.214018,1.09279,0.29587,0.746231,,,2.88413,4.59305,4.02682,8.75,2.33135,-1.21112,1.05522,"19755"
"Aaron Nola","PHI",13,10,15,3.502,31,31,0,0,197,789,169,83,76,23,41,1,9,220,10.0653,1.86804,5.38819,1.05642,0.278752,0.0517339,0.22701793536543846,0.228701,1.06745,0.294164,0.713643,,,3.15817,4.53867,4.05924,34.72999954223633,2.71678,-0.368449,1.19582,"16149"
"Carlos Rodón","NYY",14,8,14,3.15164,30,29,0,0,170,680,130,65,60,18,50,1,7,217,11.4948,2.65579,4.3282,0.971264,0.319198,0.0737485,0.2454499527812004,0.208999,1.0616,0.288551,0.747894,,,2.96215,4.44755,4.01295,38.25,3.45206,-0.842021,1.14922,"16137"
"Spencer Strider","ATL",13,7,12,3.13502,29,29,0,0,157,631,116,59,55,15,54,1,7,214,12.2839,3.11934,3.93796,0.859952,0.339143,0.0861214,0.253021277487278,0.202912,1.08435,0.295212,0.742414,,,2.79084,4.21279,4.09388,29.3700008392334,3.3367,-0.243988,1.04182,"27498"
"Zack Wheeler","PHI",13,9,15,3.37265,30,30,0,0,184,747,163,75,69,18,44,1,7,186,9.10488,2.14629,4.24215,0.895271,0.248839,0.0586587,0.1901804469525814,0.234166,1.1252,0.294232,0.728114,,,3.21861,4.18896,4.07017,58.66999816894531,2.05437,1.57843,0.85007,"10310"
"Max Scherzer","NYM",12,7,14,3.12649,27,27,0,0,166,662,134,63,58,20,36,1,8,201,10.8546,1.96513,5.52359,1.1025,0.303515,0.0549489,0.24856647849082947,0.217717,1.02545,0.287825,0.758655,,,3.09247,4.18471,3.992,46.459999084472656,2.09241,-0.305234,1.24922,"3137"
"Gerrit Cole","NYY",15,8,17,3.26972,31,31,0,0,194,769,154,77,70,27,49,1,5,244,11.3096,2.25349,5.01869,1.26029,0.316905,0.063145,0.2537604495882988,0.214892,1.04327,0.284711,0.765294,,,3.24645,4.09646,4.27757,16.559999465942383,2.50237,-1.52862,1.35222,"13125"
"Shane McClanahan","TBR",12,8,14,3.12223,29,29,0,0,172,691,141,65,60,17,47,1,5,195,10.1676,2.46692,4.12157,0.863879,0.281458,0.0682891,0.21316929906606674,0.220749,1.09353,0.29097,0.746963,,,3.00627,4.06112,4.16477,43.25,3.5945,-0.778011,1.03178,"21483"
"Sandy Alcantara","MIA",12,10,17,3.29794,31,30,0,0,204,830,179,81,75,19,51,2,9,190,8.38535,2.24016,3.74318,0.841608,0.228877,0.0611451,0.16773226857185364,0.232677,1.12828,0.285337,0.731908,,,3.33884,4.05079,4.38797,31.1299991607666,4.24769,0.346842,0.895573,"18684"
"Kevin Gausman","TOR",13,8,15,3.41438,31,31,0,0,179,723,160,74,68,22,39,1,5,201,10.0903,1.94575,5.18582,1.11502,0.277546,0.0535202,0.22402585670351982,0.23504,1.10832,0.301198,0.744439,,,3.21228,3.95733,3.38146,57.560001373291016,2.67773,-0.229972,0.915227,"14107"
"Luis Castillo","SEA",13,9,16,3.28206,32,32,0,0,192,787,162,76,70,17,62,2,8,203,9.5494,2.90246,3.29011,0.77597,0.25832,0.0785142,0.17980603128671646,0.225536,1.16702,0.291963,0.736525,,,3.20005,3.95123,3.64133,59.869998931884766,2.0535,-0.588301,0.965918,"15689"
