playerid,Name,Unnamed: 0,R,HR,RBI,RC,AVG,OPS,position_1B,position_2B,position_3B,position_C,position_CF,position_DH,position_LF,position_RF,position_SS
10047,Wil Myers,234,62,19,66,67.7918146718147,0.243,0.751,0,0,0,0,0,0,0,1,0
10059,Max Stassi,136,45,15,44,45.9578108108108,0.226,0.71,0,0,0,1,0,0,0,0,0
10071,Jonathan Villar,454,104,24,82,101.1300705882352,0.498,1.424,0,0,1,0,0,0,0,0,1
10200,Tucker Barnhart,202,36,8,39,39.804375,0.226,0.649,0,0,0,1,0,0,0,0,0
10231,José Iglesias,212,56,8,54,63.8138185654008,0.29,0.744,0,0,0,0,0,0,0,0,1
10243,Randal Grichuk,604,122,46,138,125.063918533605,0.484,1.474,0,0,0,0,1,0,0,1,0
10264,Brandon Belt,81,72,26,69,80.9489738430584,0.25,0.843,1,0,0,0,0,0,0,0,0
10323,Rafael Ortega,195,56,12,44,53.6840746606335,0.251,0.722,0,0,0,0,1,0,0,0,0
10324,Marcell Ozuna,104,72,27,82,84.482745825603,0.265,0.821,0,0,0,0,0,0,1,0,0
10472,Enrique Hernández,132,156,44,136,159.2909219858156,0.496,1.542,0,1,0,0,1,0,0,0,0
10556,César Hernández,153,73,14,56,71.9269026548673,0.258,0.726,0,1,0,0,0,0,0,0,0
10681,Gio Urshela,388,96,26,104,107.7646489104116,0.53,1.466,0,0,1,0,0,0,0,0,1
10762,Corey Dickerson,432,36,8,34,40.1234227129337,0.265,0.73,0,0,0,0,0,0,1,0,0
10815,Jurickson Profar,1440,208,40,176,204.8470204081632,0.94,2.772,1,0,0,0,1,0,1,1,0
10847,Andrelton Simmons,233,40,5,35,41.8161241050119,0.25,0.638,0,0,0,0,0,0,0,0,1
10950,Adam Duvall,447,201,96,252,209.2335177865611,0.6900000000000001,2.3280000000000003,0,0,0,0,1,0,1,1,0
11038,Kevin Kiermaier,205,48,7,41,43.6030024213075,0.234,0.665,0,0,0,0,1,0,0,0,0
11200,Kole Calhoun,229,54,19,54,55.736974595843,0.23,0.736,0,0,0,0,0,0,0,1,0
11265,Jonathan Schoop,292,144,44,148,156.1425817555938,0.526,1.49,1,1,0,0,0,0,0,0,0
11281,Whit Merrifield,196,174,24,128,165.266875,0.562,1.476,0,1,0,0,0,0,0,1,0
11342,Jesús Aguilar,217,59,21,75,71.4762055888224,0.255,0.771,1,0,0,0,0,0,0,0,0
11368,Yasmani Grandal,33,70,25,72,80.6877751004016,0.235,0.838,0,0,0,1,0,0,0,0,0
11442,Gary Sánchez,198,51,22,57,51.2226666666667,0.208,0.742,0,0,0,1,0,0,0,0,0
11445,Mark Canha,426,234,54,189,234.06571790235088,0.714,2.2800000000000002,0,0,0,0,1,0,1,1,0
11476,Odúbel Herrera,462,102,26,98,111.0637735849056,0.522,1.478,0,0,0,0,1,0,1,0,0
11477,Christian Yelich,64,86,22,72,92.3461637630662,0.266,0.836,0,0,0,0,0,0,1,0,0
11489,Michael A. Taylor,214,52,13,50,50.706295503212,0.238,0.678,0,0,0,0,1,0,0,0,0
11609,Willson Contreras,69,69,22,67,74.3829365079365,0.246,0.785,0,0,0,1,0,0,0,0,0
11680,Elias Díaz,200,46,14,47,50.7827692307692,0.26,0.752,0,0,0,1,0,0,0,0,0
11737,Nick Castellanos,82,93,32,95,104.534951456311,0.279,0.851,0,0,0,0,0,0,0,1,0
11739,J.T. Realmuto,40,77,22,77,82.0729203539823,0.261,0.784,0,0,0,1,0,0,0,0,0
1177,Albert Pujols,624,17,8,24,19.6623431952663,0.237,0.697,1,0,0,0,0,0,0,0,0
11899,Joc Pederson,834,168,57,168,178.0136405529954,0.708,2.271,0,0,0,0,1,0,1,1,0
12144,Max Kepler,154,148,48,136,151.3184981684982,0.466,1.536,0,0,0,0,1,0,0,1,0
12147,Nick Ahmed,225,55,10,53,54.914094488189,0.239,0.67,0,0,0,0,0,0,0,0,1
12155,Eddie Rosario,256,62,22,73,67.2769836065574,0.263,0.771,0,0,0,0,0,0,1,0,0
12160,Ben Gamel,492,120,26,102,137.5662504672898,0.49,1.468,0,0,0,0,1,0,1,0,0
12164,Miguel Sanó,279,76,33,82,79.3813669064748,0.224,0.789,1,0,0,0,0,0,0,0,0
12180,Jorge Alfaro,1166,66,18,76,72.554042042042,0.48,1.336,0,0,0,1,0,0,1,0,0
12282,Rougned Odor,598,82,34,92,81.6868023255814,0.426,1.414,0,1,1,0,0,0,0,0,0
12325,Jace Peterson,1161,75,15,66,75.218028169014,0.705,2.0909999999999997,1,1,0,0,0,0,0,1,0
12371,Tommy La Stella,215,49,10,43,52.7745177664975,0.265,0.745,0,1,0,0,0,0,0,0,0
12434,Kevin Pillar,978,114,33,117,110.51173770491789,0.747,2.139,0,0,0,0,1,0,1,1,0
12532,Kolten Wong,80,74,12,54,72.0802631578947,0.267,0.748,0,1,0,0,0,0,0,0,0
12546,C.J. Cron,155,72,29,87,93.2441726078799,0.269,0.859,1,0,0,0,0,0,0,0,0
12552,Eugenio Suárez,216,126,56,144,133.0494234592446,0.438,1.504,0,0,1,0,0,0,0,0,1
12775,Brad Miller,362,100,36,98,105.0502978723404,0.47,1.546,1,0,0,0,0,0,0,1,0
12856,George Springer,52,194,70,170,206.69069846678,0.526,1.752,0,0,0,0,1,1,0,0,0
12859,James McCann,188,41,13,46,45.4882957393484,0.237,0.683,0,0,0,1,0,0,0,0,0
12916,Francisco Lindor,27,89,26,81,90.842028526149,0.256,0.788,0,0,0,0,0,0,0,0,1
12927,Brandon Nimmo,53,72,13,48,78.1952559055118,0.262,0.805,0,0,0,0,1,0,0,0,0
12979,Javier Báez,136,160,54,166,152.8773010380622,0.508,1.518,0,1,0,0,0,0,0,0,1
12984,Jackie Bradley Jr.,417,35,8,30,31.4742105263158,0.216,0.652,0,0,0,0,1,0,0,0,0
13066,Teoscar Hernández,198,176,68,196,188.3600333889816,0.532,1.66,0,0,0,0,0,0,1,1,0
