playerid,me,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,QS,SO,ERA,WHIP,SVHD,Year
20123,Juan Soto,18.41599336,2,2.546951633,2.531048665,2.38129235,3.459725589,3.130553839,4.366421285,,,,,,,2022
19611,Vladimir Guerrero Jr.,17.16971232,3,2.374782133,3.033719595,2.486021624,2.987238058,2.814376429,3.473574484,,,,,,,2022
13125,Gerrit Cole,15.06599331,4,,,,,,,2.818222629,3.706427867,4.07705853,2.300265905,2.833796619,-0.669778238,2022
10954,Jacob deGrom,14.78620889,,,,,,,,1.953496764,3.231147133,3.32823258,3.397821737,3.545288916,-0.669778238,2022
10155,Mike Trout,14.71829364,12,2.099310931,2.631582851,1.997285011,2.596809024,1.730339595,3.66296623,,,,,,,2022
11579,Bryce Harper,14.55731165,10,2.271480432,2.631582851,2.206743559,2.694823173,1.549666789,3.203014847,,,,,,,2022
5361,Freddie Freeman,14.40972294,11,2.340348232,2.128911921,2.136924043,2.652612661,2.407862616,2.743063465,,,,,,,2022
17350,Rafael Devers,13.71475349,20,2.168178732,2.732117037,2.38129235,2.31148984,1.730339595,2.391335937,,,,,,,2022
19556,Yordan Alvarez,13.67486743,29,1.82383973,2.732117037,2.451111866,2.293675864,1.685171393,2.688951538,,,,,,,2022
19361,Corbin Burnes,13.44527891,7,,,,,,,2.385859696,3.231147133,3.413812689,2.428314085,2.655923544,-0.669778238,2022
3137,Max Scherzer,13.17754105,9,,,,,,,2.42909599,3.231147133,3.413812689,2.117339933,2.655923544,-0.669778238,2022
15640,Aaron Judge,13.16109412,34,2.030443131,2.732117037,2.102014285,2.265405323,1.504498588,2.526615756,,,,,,,2022
16162,Brandon Woodruff,13.05552133,15,,,,,,,2.666895603,3.706427867,3.135677336,1.916121363,2.300177395,-0.669778238,2022
14344,Matt Olson,13.00090168,25,1.996009231,2.933185409,2.416202108,2.306273076,0.917311969,2.431919883,,,,,,,2022
19427,Shane Bieber,12.82150176,21,,,,,,,2.472332283,3.4687875,3.349627607,1.989291752,2.211240858,-0.669778238,2022
13510,José Ramírez,12.60647306,5,2.133744831,2.430514479,2.206743559,2.165476674,1.27865758,2.391335937,,,,,,,2022
13611,Mookie Betts,12.58590146,8,2.546951633,2.028377735,1.752916704,2.302899897,1.685171393,2.269584101,,,,,,,2022
16252,Trea Turner,12.43151511,6,2.443649933,1.525706806,1.683097187,2.110108625,2.724040026,1.944912537,,,,,,,2022
18401,Rold Acuña Jr.,12.42995024,38,2.030443131,2.229446107,1.473638638,1.898347743,1.730339595,3.067735029,,,,,,,2022
19374,Walker Buehler,12.31722335,13,,,,,,,2.796604482,3.706427867,2.900332038,1.550269419,2.033367784,-0.669778238,2022
19251,Pete Alonso,12.15707846,42,1.75497193,2.933185409,2.416202108,2.195303551,0.736639163,2.120776301,,,,,,,2022
19755,Shohei Ohtani,20.118244649,1,2.064877031,2.732117037,1.927465494,2.008899913,0.736639163,2.526615756,1.672460858,2.042945299,2.151506088,1.513684225,1.410812023,-0.669778238,2022
11486,Robbie Ray,11.67768074,18,,,,,,,2.558804869,2.993506766,3.606367933,1.422221239,1.766558172,-0.669778238,2022
18345,Kyle Tucker,11.58131157,16,1.686104129,2.128911921,2.032194769,1.973321255,1.640003192,2.120776301,,,,,,,2022
18684,Sandy Alcantara,11.5152223,40,,,,,,,2.839840776,3.706427867,2.643591712,1.495391627,1.499748561,-0.669778238,2022
11737,Nick Castellanos,11.45071353,47,1.89270753,2.128911921,2.032194769,1.960791382,1.640003192,1.796104737,,,,,,,2022
10310,Zack Wheeler,11.39003211,39,,,,,,,2.623659309,3.231147133,2.707776793,1.641732405,1.855494709,-0.669778238,2022
19612,Bo Bichette,11.3829976,22,2.271480432,1.626240992,1.857645978,1.911119761,2.136853408,1.579657027,,,,,,,2022
3548,Liam Hendriks,11.25619754,43,,,,,,,0.180808741,-0.571098736,0.86780446,3.141725376,3.812098528,3.824859175,2022
11493,Manny Machado,11.22713151,17,1.75497193,2.128911921,2.206743559,1.962236871,1.459330386,1.714936846,,,,,,,2022
15474,Lucas Giolito,11.22042208,28,,,,,,,2.602041163,2.993506766,3.199862417,1.239295266,1.855494709,-0.669778238,2022
12856,George Springer,11.11995534,62,2.030443131,2.430514479,1.683097187,1.924284293,0.917311969,2.134304282,,,,,,,2022
9218,Paul Goldschmidt,11.10125215,45,1.961575331,1.927843549,1.787826462,2.109875501,1.504498588,1.809632719,,,,,,,2022
16149,Aaron Nola,11.05051547,24,,,,,,,2.645277456,2.7558664,3.242652472,1.221002669,1.855494709,-0.669778238,2022
13743,Max Fried,10.99897362,51,,,,,,,2.580423016,3.4687875,2.493826522,1.714902794,1.410812023,-0.669778238,2022
14212,Josh Hader,10.97135422,36,,,,,,,0.072718007,-0.571098736,0.931989542,3.434406932,3.278479305,3.824859175,2022
12161,Xander Bogaerts,10.9546589,35,1.89270753,1.525706806,1.787826462,2.009660746,1.956180602,1.782576755,,,,,,,2022
14107,Kevin Gausman,10.82488871,32,,,,,,,2.49395043,2.993506766,2.857541983,1.294173058,1.855494709,-0.669778238,2022
