"","playerid","Name","pr","adp","R","HR","RBI","RC","AVG","OPS","IP","SO","QS","ERA","WHIP","SVHD","Year","ESPNID","ESPNNAME"
"1","15640","Aaron Judge",15.7945489228062,3,2.52607779404349,3.48087482684294,2.69262923042829,3.17593371758785,1.59489581569224,2.32413753821139,NA,NA,NA,NA,NA,NA,2023,33192,"Aaron Judge"
"2","19611","Vladimir Guerrero Jr.",14.0611400521521,6,2.06423680176007,2.41868797567663,2.51804769398384,2.65264215300974,2.09079608770179,2.31672934002006,NA,NA,NA,NA,NA,NA,2023,35002,"Vladimir Guerrero Jr."
"3","19556","Yordan Alvarez",13.8788873772175,13,2.00650667772465,2.817008044864,2.69262923042829,2.84551216309918,1.45638691177014,2.06084434933124,NA,NA,NA,NA,NA,NA,2023,36018,"Yordan Alvarez"
"4","19251","Pete Alonso",13.3595126165477,18,1.66012593351209,2.94978140125979,2.98359845783572,2.28420282511679,1.46847797959069,2.0133260192326,NA,NA,NA,NA,NA,NA,2023,37498,"Pete Alonso"
"5","5361","Freddie Freeman",12.9414935896637,8,2.58380791807891,1.09095441171873,1.87791539368751,2.79387989021025,2.32825443636276,2.26668153960549,NA,NA,NA,NA,NA,NA,2023,30193,"Freddie Freeman"
"6","10155","Mike Trout",12.7630289435934,22,2.17969704983093,3.08255475765558,2.16888462109493,2.5416076451903,0.96088242444968,1.82940244537198,NA,NA,NA,NA,NA,NA,2023,30836,"Mike Trout"
"7","20123","Juan Soto",12.4161798626011,2,2.52607779404349,1.75482119369768,1.76152770272454,3.15338157421848,1.26518341671875,1.95518818119811,NA,NA,NA,NA,NA,NA,2023,36969,"Juan Soto"
"8","18360","Austin Riley",11.8946996615292,42,1.66012593351209,2.15314126288505,2.22707846657642,2.1165882864434,1.75071011466723,1.98705559744506,NA,NA,NA,NA,NA,NA,2023,34982,"Austin Riley"
"9","9218","Paul Goldschmidt",11.8805320692644,26,1.94877655368922,1.75482119369768,2.16888462109493,2.2861070202197,1.7666289028444,1.9553137777185,NA,NA,NA,NA,NA,NA,2023,31027,"Paul Goldschmidt"
"10","13510","José Ramírez",11.6115866210284,4,1.94877655368922,1.75482119369768,2.51804769398384,1.98503986400405,1.50827419626307,1.89662711939055,NA,NA,NA,NA,NA,NA,2023,32801,"Jose Ramirez"
"11","11493","Manny Machado",11.5335626851642,12,1.83331630561837,1.88759455009347,2.34346615753939,1.87704562923892,1.73230561185458,1.85983443081944,NA,NA,NA,NA,NA,NA,2023,31097,"Manny Machado"
"12","17350","Rafael Devers",11.481164822956,24,1.60239580947666,1.88759455009347,2.16888462109493,2.04730566229417,1.80641618457815,1.96856799541861,NA,NA,NA,NA,NA,NA,2023,33859,"Rafael Devers"
"13","18345","Kyle Tucker",11.2735872157043,11,1.42920543737038,2.15314126288505,2.2852723120579,1.92197768391367,1.58528241003161,1.89870810944567,NA,NA,NA,NA,NA,NA,2023,34967,"Kyle Tucker"
"14","13611","Mookie Betts",11.2006907649688,9,2.64153804211434,1.75482119369768,1.35417078435415,2.05798240832546,1.52917048064484,1.86300785583238,NA,NA,NA,NA,NA,NA,2023,33039,"Mookie Betts"
"15","14344","Matt Olson",11.1088721528225,30,1.66012593351209,2.41868797567663,2.40166000302087,1.82416438019247,1.09465654628208,1.70957731413832,NA,NA,NA,NA,NA,NA,2023,32767,"Matt Olson"
"16","10954","Jacob deGrom",10.9763059929637,21,NA,NA,NA,NA,NA,NA,1.20205822626091,2.58027580439095,1.89628302706857,2.52315848400883,3.60042668005216,-0.825896228817725,2023,32796,"Jacob deGrom"
"17","19612","Bo Bichette",10.3965067587746,38,1.89104642965379,1.09095441171873,1.64514001176157,1.63747420108735,2.20679262319765,1.92509908135548,NA,NA,NA,NA,NA,NA,2023,38904,"Bo Bichette"
"18","19755","Shohei Ohtani",17.8539815376464,1,1.77558618158294,2.28591461928084,1.81972154820602,1.78895252756955,0.959893109804144,1.5741346340736,1.22244591666561,2.20423366627228,1.60670048284838,1.48893667036569,1.95335840979511,-0.825896228817725,2023,39832,"Shohei Ohtani"
"19","16252","Trea Turner",10.181466230156,10,2.23742717386635,0.692634342531366,1.23778309339118,1.68055152590841,2.39075378056274,1.94231631389596,NA,NA,NA,NA,NA,NA,2023,33710,"Trea Turner"
"20","23697","Julio Rodríguez",9.76327615689387,20,1.83331630561837,1.62204783730189,1.23778309339118,1.70030291667728,1.63635771818777,1.73346828571738,NA,NA,NA,NA,NA,NA,2023,41044,"Julio Rodriguez"
"21","13125","Gerrit Cole",9.59880782267252,5,NA,NA,NA,NA,NA,NA,1.71175048637833,2.87275302292769,2.04107429917867,1.39347914351762,2.40564709948793,-0.825896228817725,2023,32081,"Gerrit Cole"
