Name,R/IP,HR/SO,RBI/QS,RC/ERA,AVG/WHIP,OPS/SVHD,pr,ovr_pr,adp,playerid,1B,2B,3B,SS,C,LF,CF,RF,P
Juan Soto,2.577246778,2.687733028,2.791788525,3.238854618,2.746185609,4.085384011,18.12719257,1,5,20123,,,,,,LF,,,
Mike Trout,2.540764753,3.122396988,2.430487863,3.117870348,1.871093931,4.12474611,17.20735999,2,3,10155,,,,,,,CF,,
Ronald Acuna Jr.,2.883695788,2.936112434,2.140030468,2.596200212,1.731451641,2.983245259,15.2707358,3,2,18401,,,,,,,CF,RF,
Jacob deGrom,2.724739381,3.996314397,2.61584339,2.923154204,3.301646513,-0.675695274,14.88600261,4,7,10954,,,,,,,,,P
Freddie Freeman,2.241612148,1.983991379,2.317138636,2.72597241,2.504138975,3.025418936,14.79827248,5,9,5361,1B,,,,,,,,
Cody Bellinger,2.124869668,2.74982788,2.50133113,2.450060587,1.563880894,2.856724229,14.24669439,6,12,15998,1B,,,,,,CF,,
Mookie Betts,2.715878473,2.190974217,1.884994707,2.485378341,1.96418879,2.553073756,13.79448829,7,1,13611,,,,,,,,RF,
Gerrit Cole,2.754685675,4.052701494,2.692541808,1.883040451,2.746614742,-0.675695274,13.4538889,8,6,13125,,,,,,,,,P
Fernando Tatis Jr.,2.299983388,2.439353623,2.055018548,2.148240022,1.796618043,2.547450599,13.28666422,9,4,19709,,,,SS,,,,,
Christian Yelich,2.227019338,2.335862204,1.849573074,2.410735751,1.57319038,2.671160051,13.0675408,10,14,11477,,,,,,LF,,,
Shane Bieber,2.670291572,3.579917373,2.573082527,2.039969894,2.670058635,-0.675695274,12.85762473,11,10,19427,,,,,,,,,P
Bryce Harper,2.197833718,2.460051907,2.253379696,2.408448221,0.772574589,2.710522149,12.80281028,12,17,11579,,,,,,,,RF,
Jose Ramirez,2.066498428,2.190974217,2.033765568,2.209218521,1.563880894,2.516523236,12.58086086,13,11,13510,,,3B,,,,,,
Marcell Ozuna,1.672492558,2.273767352,2.430487863,2.094799995,1.815237015,2.176322243,12.46310703,14,30,10324,,,,,,LF,,,
Eloy Jimenez,1.482786028,2.501448474,2.260464022,1.974055771,1.945569818,2.125713831,12.29003794,15,28,17484,,,,,,LF,,,
Alex Bregman,2.030016403,1.859801676,1.934584994,2.377133952,1.535952436,2.539015864,12.27650533,16,31,17678,,,3B,,,,,,
Corey Seager,1.869495493,1.797706825,2.140030468,2.068469148,2.131759537,2.16507593,12.1725374,17,23,13624,,,,SS,,,,,
Rafael Devers,2.000830783,2.087482798,2.118777488,2.036543883,1.777999071,1.895164398,11.91679842,18,36,17350,,,3B,,,,,,
Trevor Story,2.124869668,2.232370785,1.72913952,2.08632403,1.526642951,2.111655939,11.81100289,19,15,12564,,,,SS,,,,,
Manny Machado,1.796531443,2.377258771,2.359644596,2.047280471,1.377691175,1.847367565,11.80577402,20,18,11493,,,3B,,,,,,
Max Scherzer,2.293694231,3.380393798,2.369188874,1.780853836,2.516946423,-0.675695274,11.66538189,21,24,3137,,,,,,,,,P
Yordan Alvarez,1.351450738,2.170275933,1.821235767,1.790441229,1.694213698,2.828608444,11.65622581,22,95,19556,,,,,,,,,
Anthony Rendon,1.730863798,1.611422271,1.913332014,2.209917154,1.833855987,2.339393794,11.63878502,23,27,12861,,,3B,,,,,,
Xander Bogaerts,1.825717063,1.570025703,1.764561153,2.032042905,1.982807762,1.920468604,11.09562319,24,25,12161,,,,SS,,,,,
Trevor Bauer,2.668476645,3.37171886,2.653263144,1.419551164,1.617412172,-0.675695274,11.05472671,25,13,12703,,,,,,,,,P
George Springer,2.073794833,2.066784514,1.672464906,1.858573829,1.303215288,1.959830703,10.93466407,26,37,12856,,,,,,,CF,,
Yu Darvish,2.295055426,3.098458313,2.210834904,1.766255748,2.229861024,-0.675695274,10.92477014,27,19,13074,,,,,,,,,P
Vladimir Guerrero Jr.,1.519268053,1.466534284,1.807067113,1.910462576,2.094521593,1.934526497,10.73238012,28,43,19611,1B,,,,,,,,
Jack Flaherty,2.33271516,2.959659305,2.196898586,1.744358617,2.172443944,-0.675695274,10.73038034,29,32,17479,,,,,,,,,P
Gleyber Torres,1.592232103,2.004689663,1.87791038,1.842292005,1.461476549,1.89235282,10.67095352,30,59,16997,,,,SS,,,,,
Trea Turner,2.263501363,1.238853163,1.346585878,1.943264674,2.178306967,1.689919172,10.66043122,31,8,16252,,,,SS,,,,,
Pete Alonso,1.643306938,2.936112434,2.196705082,1.807767101,0.130220059,1.937338075,10.65144969,32,44,19251,1B,,,,,,,,
