"Rank","Player","Team","Positions","Yahoo","ESPN","AVG"
"1","Jose Ramirez","CLE","3B,DH","4","2","3.0"
"2","Aaron Judge","NYY","CF,RF,DH","3","4","3.5"
"3","Trea Turner","PHI","SS","1","9","5.0"
"4","Juan Soto","SD","RF","9","3","6.0"
"5","Vladimir Guerrero Jr.","TOR","1B,DH","8","6","7.0"
"6","Mookie Betts","LAD","2B,RF","7","8","7.5"
"7","Kyle Tucker","HOU","RF","6","11","8.5"
"8","Corbin Burnes","MIL","SP","12","7","9.5"
"9","Gerrit Cole","NYY","SP","15","5","10.0"
"10","Freddie Freeman","LAD","1B","10","10","10.0"
"11","Ronald Acuna Jr.","ATL","RF,DH","2","19","10.5"
"12","Julio Rodriguez","SEA","CF","5","21","13.0"
"13","Manny Machado","SD","3B","14","12","13.0"
"14","Yordan Alvarez","HOU","LF,DH","11","16","13.5"
"15","Mike Trout","LAA","CF","16","17","16.5"
"16","Sandy Alcantara","MIA","SP","24","14","19.0"
"17","Pete Alonso","NYM","1B,DH","19","20","19.5"
"18","Aaron Nola","PHI","SP","26","15","20.5"
"19","Max Scherzer","NYM","SP","29","13","21.0"
"20","Paul Goldschmidt","STL","1B,DH","20","22","21.0"
"21","Rafael Devers","BOS","3B","21","24","22.5"
"22","Shohei Ohtani","LAA","SP,DH","46","1","23.5"
"23","Fernando Tatis Jr.","SD","SS","22","29","25.5"
"24","Bo Bichette","TOR","SS","17","36","26.5"
"25","Jacob deGrom","TEX","SP","30","23","26.5"
"26","Marcus Semien","TEX","2B,SS","28","25","26.5"
"27","Justin Verlander","NYM","SP","37","18","27.5"
"28","Spencer Strider","ATL","SP,RP","23","32","27.5"
"29","Jose Altuve","HOU","2B","31","27","29.0"
"30","Bobby Witt Jr.","KC","3B,SS","18","41","29.5"
"31","Nolan Arenado","STL","3B","36","28","32.0"
"32","Shane McClanahan","TB","SP","35","30","32.5"
"33","Francisco Lindor","NYM","SS","32","33","32.5"
"34","Austin Riley","ATL","3B","25","42","33.5"
"35","Shane Bieber","CLE","SP","44","26","35.0"
"36","Corey Seager","TEX","SS","42","31","36.5"
"37","Dylan Cease","CWS","SP","39","35","37.0"
"38","Matt Olson","ATL","1B","41","34","37.5"
"39","Brandon Woodruff","MIL","SP","38","39","38.5"
"40","Emmanuel Clase","CLE","RP","33","49","41.0"
"41","Julio Urias","LAD","SP","43","47","45.0"
"42","Kyle Schwarber","PHI","LF","48","45","46.5"
"43","Ozzie Albies","ATL","2B","51","44","47.5"
"44","Michael Harris II","ATL","CF","34","62","48.0"
"45","Zack Wheeler","PHI","SP","56","40","48.0"
"46","J.T. Realmuto","PHI","C","40","56","48.0"
"47","Kevin Gausman","TOR","SP","65","37","51.0"
"48","Alek Manoah","TOR","SP","62","43","52.5"
"49","Luis Castillo","SEA","SP","61","46","53.5"
"50","Yu Darvish","SD","SP","57","50","53.5"
"51","Max Fried","ATL","SP","59","52","55.5"
"52","Alex Bregman","HOU","3B","76","38","57.0"
"53","Josh Hader","SD","RP","49","66","57.5"
"54","Devin Williams","MIL","RP","55","60","57.5"
"55","Cedric Mullins II","BAL","CF","53","64","58.5"
"56","Randy Arozarena","TB","LF,RF,DH","47","73","60.0"
"57","George Springer","TOR","CF,RF,DH","67","53","60.0"
"58","Luis Robert Jr.","CWS","CF","45","77","61.0"
"59","Will Smith","LAD","C,DH","79","48","63.5"
"60","Framber Valdez","HOU","SP","70","57","63.5"
"61","Daulton Varsho","TOR","C,CF,RF","66","63","64.5"
"62","Zac Gallen","ARI","SP","72","58","65.0"
"63","Xander Bogaerts","SD","SS","63","69","66.0"
"64","Cristian Javier","HOU","SP,RP","75","59","67.0"
"65","Carlos Rodon","NYY","SP","54","81","67.5"
"66","Jordan Romano","TOR","RP","50","87","68.5"
"67","Adley Rutschman","BAL","C,DH","86","54","70.0"
"68","Wander Franco","TB","SS","95","51","73.0"
"69","Robbie Ray","SEA","SP","94","55","74.5"
"70","Ryan Pressly","HOU","RP","60","91","75.5"
"71","Raisel Iglesias","ATL","RP","69","84","76.5"
"72","Jazz Chisholm Jr.","MIA","2B","52","102","77.0"
"73","Bryan Reynolds","PIT","CF","93","61","77.0"
"74","Dansby Swanson","CHC","SS","82","76","79.0"
"75","Jose Abreu","HOU","1B,DH","78","80","79.0"
"76","Triston McKenzie","CLE","SP","89","70","79.5"
"77","Salvador Perez","KC","C,DH","68","95","81.5"
"78","Vinnie Pasquantino","KC","1B,DH","99","65","82.0"
"79","Tommy Edman","STL","2B,SS","84","83","83.5"
"80","Logan Webb","SF","SP","102","67","84.5"
"81","Oneil Cruz","PIT","SS","80","90","85.0"
"82","Eloy Jimenez","CWS","LF,DH","77","96","86.5"
"83","Corbin Carroll","ARI","LF","81","94","87.5"
"84","Teoscar Hernandez","SEA","RF","58","120","89.0"
"85","Carlos Correa","MIN","SS","108","72","90.0"
"86","Steven Kwan","CLE","LF,RF","115","68","91.5"
"87","Nestor Cortes Jr.","NYY","SP","104","82","93.0"
"88","Starling Marte","NYM","RF","64","126","95.0"
"89","Ryan Helsley","STL","RP","73","117","95.0"
"90","Gunnar Henderson","BAL","3B,SS","90","101","95.5"
"91","Blake Snell","SD","SP","119","75","97.0"
"92","Logan Gilbert","SEA","SP","117","79","98.0"
"93","Felix Bautista","BAL","RP","83","114","98.5"
"94","Rhys Hoskins","PHI","1B","111","86","98.5"
"95","Anthony Santander","BAL","LF,RF,DH","127","71","99.0"
"96","Willy Adames","MIL","SS","92","106","99.0"
"97","Clayton Kershaw","LAD","SP","88","111","99.5"
"98","Joe Musgrove","SD","SP","87","116","101.5"
"99","Adolis Garcia","TEX","CF,RF,DH","74","132","103.0"
"100","Kenley Jansen","BOS","RP","85","123","104.0"
"101","Kris Bryant","COL","LF","120","88","104.0"
"102","Kyle Wright","ATL","SP","101","113","107.0"
