,playerid,Name,Team,pr,rank,adp,R,HR,RBI,RC,AVG,OPS,IP,QS,SO,WHIP,ERA,SVHD
947,20123,Juan Soto,WSN,18.41599336,1,2,2.546951633,2.531048665,2.38129235,3.459725589,3.130553839,4.366421285,NA,NA,NA,NA,NA,NA
833,19611,Vladimir Guerrero Jr.,TOR,17.16971232,2,3,2.374782133,3.033719595,2.486021624,2.987238058,2.814376429,3.473574484,NA,NA,NA,NA,NA,NA
188,13125,Gerrit Cole,NYY,15.06599331,1,4,NA,NA,NA,NA,NA,NA,2.818222629,3.706427867,4.07705853,2.833796619,2.300265905,-0.669778238
50,10954,Jacob deGrom,NYM,14.78620889,2,NA,NA,NA,NA,NA,NA,NA,1.953496764,3.231147133,3.32823258,3.545288916,3.397821737,-0.669778238
13,10155,Mike Trout,LAA,14.71829364,3,12,2.099310931,2.631582851,1.997285011,2.596809024,1.730339595,3.66296623,NA,NA,NA,NA,NA,NA
82,11579,Bryce Harper,PHI,14.55731165,4,10,2.271480432,2.631582851,2.206743559,2.694823173,1.549666789,3.203014847,NA,NA,NA,NA,NA,NA
1216,5361,Freddie Freeman,LAD,14.40972294,5,11,2.340348232,2.128911921,2.136924043,2.652612661,2.407862616,2.743063465,NA,NA,NA,NA,NA,NA
580,17350,Rafael Devers,BOS,13.71475349,6,20,2.168178732,2.732117037,2.38129235,2.31148984,1.730339595,2.391335937,NA,NA,NA,NA,NA,NA
824,19556,Yordan Alvarez,HOU,13.67486743,7,29,1.82383973,2.732117037,2.451111866,2.293675864,1.685171393,2.688951538,NA,NA,NA,NA,NA,NA
793,19361,Corbin Burnes,MIL,13.44527891,3,7,NA,NA,NA,NA,NA,NA,2.385859696,3.231147133,3.413812689,2.655923544,2.428314085,-0.669778238
1158,3137,Max Scherzer,NYM,13.17754105,4,9,NA,NA,NA,NA,NA,NA,2.42909599,3.231147133,3.413812689,2.655923544,2.117339933,-0.669778238
423,15640,Aaron Judge,NYY,13.16109412,8,34,2.030443131,2.732117037,2.102014285,2.265405323,1.504498588,2.526615756,NA,NA,NA,NA,NA,NA
466,16162,Brandon Woodruff,MIL,13.05552133,5,15,NA,NA,NA,NA,NA,NA,2.666895603,3.706427867,3.135677336,2.300177395,1.916121363,-0.669778238
300,14344,Matt Olson,ATL,13.00090168,9,25,1.996009231,2.933185409,2.416202108,2.306273076,0.917311969,2.431919883,NA,NA,NA,NA,NA,NA
801,19427,Shane Bieber,CLE,12.82150176,6,21,NA,NA,NA,NA,NA,NA,2.472332283,3.4687875,3.349627607,2.211240858,1.989291752,-0.669778238
225,13510,José Ramírez,CLE,12.60647306,10,5,2.133744831,2.430514479,2.206743559,2.165476674,1.27865758,2.391335937,NA,NA,NA,NA,NA,NA
236,13611,Mookie Betts,LAD,12.58590146,11,8,2.546951633,2.028377735,1.752916704,2.302899897,1.685171393,2.269584101,NA,NA,NA,NA,NA,NA
471,16252,Trea Turner,LAD,12.43151511,12,6,2.443649933,1.525706806,1.683097187,2.110108625,2.724040026,1.944912537,NA,NA,NA,NA,NA,NA
