Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Freddie Freeman_IF_1681_pts,Aaron Judge_OF_1601_pts,José Ramírez_IF_1642_pts,Ronald Acuña Jr._OF_1540_pts,Trea Turner_IF_1577_pts,Juan Soto_OF_1515_pts,Gerrit Cole_P_1290_pts,Paul Goldschmidt_IF_1541_pts,Yordan Alvarez_OF_1485_pts,Vladimir Guerrero Jr._IF_1529_pts,Julio Rodríguez_OF_1461_pts,Shohei Ohtani_OF_1448_pts
Sandy Alcantara_P_1125_pts,Yu Darvish_P_1155_pts,Kyle Tucker_OF_1368_pts,Matt Olson_IF_1444_pts,Aaron Nola_P_1181_pts,Marcus Semien_IF_1458_pts,Pete Alonso_IF_1465_pts,Mike Trout_OF_1395_pts,Mookie Betts_OF_1426_pts,Corbin Burnes_P_1242_pts,Shane Bieber_P_1246_pts,Manny Machado_IF_1506_pts
Rafael Devers_IF_1411_pts,Austin Riley_IF_1407_pts,Framber Valdez_P_1123_pts,Robbie Ray_P_1116_pts,Bobby Witt Jr._IF_1402_pts,Kevin Gausman_P_1116_pts,Kyle Schwarber_OF_1304_pts,Max Scherzer_P_1111_pts,Spencer Strider_P_1099_pts,Brandon Woodruff_P_1099_pts,Bo Bichette_IF_1361_pts,Shane McClanahan_P_1096_pts
Mitch Haniger_OF_1256_pts,Fernando Tatis Jr._IF_1307_pts,Michael Harris II_OF_1269_pts,Willy Adames_IF_1327_pts,Cedric Mullins_OF_1270_pts,Justin Verlander_P_1055_pts,Alek Manoah_P_1066_pts,Zack Wheeler_P_1073_pts,Carlos Rodón_P_1075_pts,Corbin Carroll_OF_1271_pts,Jose Altuve_IF_1346_pts,Dylan Cease_P_1085_pts
Luis Castillo_P_1018_pts,Julio Urías_P_1015_pts,Francisco Lindor_IF_1305_pts,Bryan Reynolds_OF_1247_pts,Max Fried_P_1007_pts,Nolan Arenado_IF_1305_pts,Ozzie Albies_IF_1302_pts,Xander Bogaerts_IF_1297_pts,Dansby Swanson_IF_1294_pts,Steven Kwan_OF_1244_pts,Cristian Javier_P_1005_pts,Teoscar Hernández_OF_1243_pts
Starling Marte_OF_1193_pts,Blake Snell_P_989_pts,Triston McKenzie_P_989_pts,Joe Musgrove_P_997_pts,Tyler Glasnow_P_998_pts,Riley Greene_OF_1196_pts,Lucas Giolito_P_1005_pts,J.D. Martinez_OF_1207_pts,Rhys Hoskins_IF_1244_pts,Carlos Correa_IF_1258_pts,Randy Arozarena_OF_1209_pts,José Abreu_IF_1278_pts
Zac Gallen_P_985_pts,Ian Happ_OF_1190_pts,Jacob deGrom_P_967_pts,Chris Bassitt_P_963_pts,Lars Nootbaar_OF_1180_pts,Charlie Morton_P_950_pts,Christian Yelich_OF_1177_pts,Jake Cronenworth_IF_1240_pts,Brady Singer_P_935_pts,Tommy Edman_IF_1215_pts,Eugenio Suárez_IF_1209_pts,Corey Seager_IF_1207_pts
Nick Castellanos_OF_1162_pts,Vinnie Pasquantino_IF_1184_pts,J.T. Realmuto_IF_1188_pts,Andrew Vaughn_IF_1195_pts,Max Muncy_IF_1198_pts,Jazz Chisholm Jr._IF_1199_pts,Gunnar Henderson_IF_1203_pts,José Berríos_P_912_pts,Jorge Polanco_IF_1205_pts,Jeffrey Springs_P_915_pts,Joey Meneses_OF_1169_pts,Miles Mikolas_P_917_pts
Anthony Rizzo_IF_1172_pts,Tyler O'Neill_OF_1161_pts,Eloy Jiménez_OF_1160_pts,Alex Verdugo_OF_1158_pts,Byron Buxton_OF_1155_pts,Mark Canha_OF_1153_pts,Taylor Ward_OF_1148_pts,Kris Bryant_OF_1132_pts,Andrew McCutchen_OF_1132_pts,Brandon Nimmo_OF_1122_pts,Nestor Cortes_P_910_pts,George Springer_OF_1115_pts
Nick Lodolo_P_871_pts,Oneil Cruz_IF_1143_pts,Joe Ryan_P_875_pts,Christian Walker_IF_1150_pts,Sean Manaea_P_888_pts,Adam Wainwright_P_898_pts,Germán Márquez_P_898_pts,Logan Webb_P_901_pts,Kyle Wright_P_904_pts,Drew Rasmussen_P_906_pts,Alex Bregman_IF_1160_pts,Josh Bell_IF_1166_pts
