Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Aaron Judge_OF_1601_pts,Freddie Freeman_IF_1681_pts,José Ramírez_IF_1642_pts,Ronald Acuña Jr._OF_1540_pts,Gerrit Cole_P_1290_pts,Juan Soto_OF_1515_pts,Trea Turner_IF_1577_pts,Yordan Alvarez_OF_1485_pts,Shane Bieber_P_1246_pts,Julio Rodríguez_OF_1461_pts,Corbin Burnes_P_1242_pts,Paul Goldschmidt_IF_1541_pts
Matt Olson_IF_1444_pts,Yu Darvish_P_1155_pts,Aaron Nola_P_1181_pts,Marcus Semien_IF_1458_pts,Kyle Schwarber_OF_1304_pts,Pete Alonso_IF_1465_pts,Kyle Tucker_OF_1368_pts,Manny Machado_IF_1506_pts,Mike Trout_OF_1395_pts,Vladimir Guerrero Jr._IF_1529_pts,Mookie Betts_OF_1426_pts,Shohei Ohtani_OF_1448_pts
Sandy Alcantara_P_1125_pts,Corbin Carroll_OF_1271_pts,Cedric Mullins_OF_1270_pts,Framber Valdez_P_1123_pts,Rafael Devers_IF_1411_pts,Robbie Ray_P_1116_pts,Kevin Gausman_P_1116_pts,Max Scherzer_P_1111_pts,Austin Riley_IF_1407_pts,Spencer Strider_P_1099_pts,Bobby Witt Jr._IF_1402_pts,Brandon Woodruff_P_1099_pts
Luis Castillo_P_1018_pts,Mitch Haniger_OF_1256_pts,Justin Verlander_P_1055_pts,Willy Adames_IF_1327_pts,Alek Manoah_P_1066_pts,Zack Wheeler_P_1073_pts,Carlos Rodón_P_1075_pts,Jose Altuve_IF_1346_pts,Dylan Cease_P_1085_pts,Bo Bichette_IF_1361_pts,Shane McClanahan_P_1096_pts,Michael Harris II_OF_1269_pts
Julio Urías_P_1015_pts,Max Fried_P_1007_pts,Cristian Javier_P_1005_pts,Fernando Tatis Jr._IF_1307_pts,Lucas Giolito_P_1005_pts,Francisco Lindor_IF_1305_pts,Tyler Glasnow_P_998_pts,Bryan Reynolds_OF_1247_pts,Joe Musgrove_P_997_pts,Triston McKenzie_P_989_pts,Blake Snell_P_989_pts,Nolan Arenado_IF_1305_pts
Jeffrey Springs_P_915_pts,Dansby Swanson_IF_1294_pts,Miles Mikolas_P_917_pts,Teoscar Hernández_OF_1243_pts,Brady Singer_P_935_pts,Steven Kwan_OF_1244_pts,Charlie Morton_P_950_pts,Xander Bogaerts_IF_1297_pts,Chris Bassitt_P_963_pts,Ozzie Albies_IF_1302_pts,Jacob deGrom_P_967_pts,Zac Gallen_P_985_pts
José Berríos_P_912_pts,José Abreu_IF_1278_pts,Nestor Cortes_P_910_pts,Carlos Correa_IF_1258_pts,Drew Rasmussen_P_906_pts,Randy Arozarena_OF_1209_pts,Kyle Wright_P_904_pts,Logan Webb_P_901_pts,Germán Márquez_P_898_pts,J.D. Martinez_OF_1207_pts,Adam Wainwright_P_898_pts,Sean Manaea_P_888_pts
Logan Gilbert_P_863_pts,Lars Nootbaar_OF_1180_pts,Lance Lynn_P_865_pts,Ian Happ_OF_1190_pts,Hunter Brown_P_869_pts,Starling Marte_OF_1193_pts,Tony Gonsolin_P_871_pts,Riley Greene_OF_1196_pts,Nick Lodolo_P_871_pts,Jake Cronenworth_IF_1240_pts,Joe Ryan_P_875_pts,Rhys Hoskins_IF_1244_pts
Andrew Heaney_P_862_pts,Christian Yelich_OF_1177_pts,Luis García_P_861_pts,Tommy Edman_IF_1215_pts,Hunter Greene_P_851_pts,Joey Meneses_OF_1169_pts,Merrill Kelly_P_851_pts,Nathan Eovaldi_P_844_pts,Nick Pivetta_P_842_pts,Patrick Sandoval_P_840_pts,Marcus Stroman_P_829_pts,Pablo López_P_826_pts
Kris Bryant_OF_1132_pts,José Urquidy_P_822_pts,Taylor Ward_OF_1148_pts,Tyler Anderson_P_826_pts,Mark Canha_OF_1153_pts,Byron Buxton_OF_1155_pts,Alex Verdugo_OF_1158_pts,Eloy Jiménez_OF_1160_pts,Tyler O'Neill_OF_1161_pts,Corey Seager_IF_1207_pts,Nick Castellanos_OF_1162_pts,Eugenio Suárez_IF_1209_pts
