,playerid,Name,Team,pIP,pQS,pSO,pWHIP,pERA,pSVHD,IP,QS,SO,wWHIP,wERA,SVHD,pr,rank,og_rank,rank_dif,pos_SP,pos_RP,adp,rank
659,3548,Liam Hendriks,CHW,67,0,98,0.92,2.7,34,0.18080874,-0.5710987,0.86780446,2.8005983,2.52615013,3.82485917,9.62912207,38,88,50,0,1,43,1
152,14212,Josh Hader,MIL,62,0,101,0.98,2.54,34,0.07271801,-0.5710987,0.93198954,2.17372786,2.55777627,3.82485917,8.98997212,43,117,74,0,1,36,2
303,17282,Michael Kopech,CHW,128,7,160,1.2,3.75,6,1.49951568,1.09238383,2.19429614,1.7642006,1.82285765,0.12339307,8.49664698,48,40,-8,1,1,132,3
621,23735,Luis Garcia,HOU,137,7,144,1.25,3.94,10,1.694079,1.09238383,1.85197571,1.17484072,1.34765899,0.65217394,7.8131122,55,63,8,1,1,NA,4
557,21032,Emmanuel Clase,CLE,65,0,73,1.11,2.64,34,0.13757245,-0.5710987,0.33292878,1.38851893,2.53718674,3.82485917,7.64996734,56,110,54,0,1,63,5
293,17130,Raisel Iglesias,LAA,65,0,87,1.06,3.2,33,0.13757245,-0.5710987,0.63245916,1.7359988,1.67330303,3.69266396,7.30089866,62,144,82,0,1,74,6
188,14986,Giovanny Gallegos,STL,69,0,81,1.04,3.32,30,0.22404503,-0.5710987,0.504089,2.00698235,1.5923718,3.2960783,7.05246775,67,143,76,0,1,117,7
707,7005,Ryan Pressly,HOU,62,0,74,1.08,2.89,32,0.07271801,-0.5710987,0.35432381,1.51084318,2.04276868,3.56046874,6.97002368,68,140,72,0,1,80,8
175,14710,Edwin Díaz,NYM,64,0,93,1.12,3.28,33,0.1159543,-0.5710987,0.76082932,1.29457841,1.52289507,3.69266396,6.81582233,71,139,68,0,1,90,9
243,16122,Jordan Romano,TOR,64,0,81,1.15,3.13,31,0.1159543,-0.5710987,0.504089,1.08929799,1.75073253,3.42827352,6.31724861,77,171,94,0,1,146,10
69,12572,Blake Treinen,LAD,66,0,73,1.18,3.32,33,0.15919059,-0.5710987,0.33292878,0.92007664,1.51423177,3.69266396,6.04799301,82,177,95,0,1,112,11
116,13449,Taylor Rogers,MIN,60,0,76,1.12,3.13,30,0.02948171,-0.5710987,0.39711386,1.19680021,1.62850869,3.2960783,5.97688405,85,126,41,0,1,187,12
11,10233,Aroldis Chapman,NYY,62,0,98,1.21,3.07,29,0.07271801,-0.5710987,0.86780446,0.64909309,1.77790763,3.16388308,5.96030754,86,159,73,0,1,83,13
223,15552,Chad Green,NYY,70,0,86,1.06,3.56,22,0.24566318,-0.5710987,0.61106413,1.89029661,1.21970292,2.23851656,5.63414467,92,145,53,0,1,299,14
83,12828,Andrew Kittredge,TBR,68,0,73,1.15,3.21,25,0.20242689,-0.5710987,0.33292878,1.17424615,1.74384848,2.63510221,5.51745378,96,176,80,0,1,278,15
189,14993,Scott Barlow,KCR,70,0,82,1.26,3.52,32,0.24566318,-0.5710987,0.52548403,0.39346023,1.28615552,3.56046874,5.44013296,99,169,70,0,1,164,16
648,3096,Kenley Jansen,ATL,63,0,75,1.18,3.6,32,0.09433615,-0.5710987,0.37571884,0.86598803,1.01744041,3.56046874,5.34285343,100,192,92,0,1,102,17
699,6655,Craig Kimbrel,CHW,61,0,92,1.14,3.42,26,0.05109986,-0.5710987,0.7394343,1.09080616,1.23922667,2.76729743,5.31676568,102,184,82,0,1,201,18
448,19569,David Bednar,PIT,65,0,78,1.16,3.32,26,0.13757245,-0.5710987,0.43990392,1.04103905,1.48818509,2.76729743,5.30289921,103,167,64,0,1,274,19
232,15816,Devin Williams,MIL,59,0,84,1.17,2.89,24,0.00786357,-0.5710987,0.56827408,0.85695086,1.93401299,2.50290699,5.29890975,104,137,33,0,1,268,20
