"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos","Player","ESPN","ESPNID","ESPNNAME"
"1","Gerrit Cole","NYY","13125",1.89088835648307,3.02375926971755,2.19284942223322,1.20425785642566,2.23917457968111,-0.825458431404487,9.72547105313611,1,"SP","Gerrit Cole",5,"32081","Gerrit Cole"
"2","Corbin Burnes","MIL","19361",1.82825080924781,2.8071782886949,2.0070147254338,1.67567164373081,2.14395708276618,-0.825458431404487,9.636614118469,2,"SP","Corbin Burnes",7,"39878","Corbin Burnes"
"3","Jacob deGrom","TEX","10954",0.763412506248398,1.83256387409298,1.44951063503552,2.0058737474183,3.30388256802536,-0.825458431404487,8.52978489941606,3,"SP","Jacob deGrom",23,"32796","Jacob deGrom"
"4","Max Scherzer","NYM","3137",1.28539206654223,2.07080295321789,1.63534533183495,1.59475492428742,2.49825197429069,-0.825458431404487,8.25908881876869,4,"SP","Max Scherzer",13,"28976","Max Scherzer"
"5","Aaron Nola","PHI","16149",1.89088835648307,2.46064871905866,1.82118002863437,0.666683566493424,1.99439768523397,-0.825458431404487,8.008339924499,5,"SP","Aaron Nola",15,"33709","Aaron Nola"
"6","Shane Bieber","CLE","19427",1.84912999165956,2.04914485511563,2.19284942223322,0.995199905192507,1.43834657058433,-0.825458431404487,7.69921231338075,6,"SP","Shane Bieber",26,"40912","Shane Bieber"
"7","Sandy Alcantara","MIA","18684",2.03704263336534,1.83256387409298,2.19284942223322,1.18051859056156,1.26948149783282,-0.825458431404487,7.68699758668142,7,"SP","Sandy Alcantara",14,"35241","Sandy Alcantara"
"8","Shohei Ohtani","LAA","19755",1.32715043136573,2.26572583613828,1.63534533183495,1.55321120902525,1.6800250233296,-0.825458431404487,7.63599940028932,8,"SP","Shohei Ohtani",1,"39832","Shohei Ohtani"
"9","Justin Verlander","NYM","8700",1.34802961377748,1.81090577599071,1.44951063503552,1.42548564531482,2.30614858877521,-0.825458431404487,7.51462182748926,9,"SP","Justin Verlander",18,"6341","Justin Verlander"
"10","Shane McClanahan","TBR","21483",1.4315463434245,1.98417056080883,1.63534533183495,1.52145878629847,1.69075039845144,-0.825458431404487,7.43781298941369,10,"SP","Shane McClanahan",30,"41199","Shane McClanahan"
"11","Spencer Strider","ATL","27498",1.16011697207171,2.43899062095639,1.26367593823609,1.4899603829535,1.7590352867271,-0.825458431404487,7.2863207695403,11,"SP","Spencer Strider",32,"4307825","Spencer Strider"
"12","Brandon Woodruff","MIL","16162",1.45242552583625,2.09246105132016,1.63534533183495,1.11064016789156,1.72578662384942,-0.825458431404487,7.19120026932784,12,"SP","Brandon Woodruff",39,"37515","Brandon Woodruff"
"13","Edwin Díaz","NYM","14710",-0.844284539456592,-0.00837446459954345,-0.966340423357016,3.21659939915837,2.9753047426263,2.7733587675703,7.14626348194182,13,"SP",NA,NA,NA,NA
