"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Juan Soto","San Diego Padres","OF",10.6,2,21.2
"Julio Rodríguez","Seattle Mariners","OF",10.9,3.3,15.6391304347826
"Yordan Alvarez","Houston Astros","OF",10.4,3.8,14.1142857142857
"Manny Machado","San Diego Padres","IF",10.4,3.8,14.1142857142857
"Cristian Javier","Houston Astros","P",11.9,6.6,14.025
"Mookie Betts","Los Angeles Dodgers","OF",10.3,6,12.36
"Robbie Ray","Seattle Mariners","P",10.7,10.5,11.8263157894737
"Freddie Freeman","Los Angeles Dodgers","IF",9.7,5.8,11.7208333333333
"Xander Bogaerts","San Diego Padres","IF",9.7,8.7,10.9597402597403
"Dustin May","Los Angeles Dodgers","P",10,14.2,10.7575757575758
"José Ramírez","Cleveland Guardians","IF",9.5,10.4,10.5106382978723
"Kyle Tucker","Houston Astros","OF",9.5,11.8,10.3796296296296
"Lance Lynn","Chicago White Sox","P",10,28.1,10.3690036900369
"Kris Bryant","Colorado Rockies","OF",9.8,19.5,10.3297297297297
"Jesús Luzardo","Miami Marlins","P",9.9,30.3,10.2378839590444
"Jarred Kelenic","Seattle Mariners","OF",9.5,26.2,9.87698412698413
"Will Smith","Los Angeles Dodgers","IF",9.2,15.6,9.83013698630137
"Kolten Wong","Seattle Mariners","IF",9.4,28.9,9.73691756272401
"C.J. Cron","Colorado Rockies","IF",9.2,21.7,9.64444444444444
"Nelson Cruz","San Diego Padres","OF",9.3,29.4,9.6274647887324
"Pete Alonso","New York Mets","IF",8.7,11.8,9.50555555555555
"Eugenio Suárez","Seattle Mariners","IF",9.1,28,9.43703703703704
"AJ Pollock","Seattle Mariners","OF",9.1,35.8,9.36149425287356
"Francisco Lindor","New York Mets","IF",8.8,18.3,9.30867052023121
"Starling Marte","New York Mets","OF",8.7,15.3,9.30839160839161
"Jake Cronenworth","San Diego Padres","IF",9,32.5,9.28571428571429
"Teoscar Hernández","Seattle Mariners","OF",8.8,19.3,9.28087431693989
"Corbin Carroll","Arizona Diamondbacks","OF",8.9,30.6,9.20067567567568
"Nick Martinez","San Diego Padres","P",8.9,32.3,9.18434504792332
"Cal Raleigh","Seattle Mariners","IF",8.9,32.8,9.17987421383648
"David Peterson","New York Mets","P",8.9,33.2,9.17639751552795
"Mike Zunino","Cleveland Guardians","IF",8.8,36,9.05142857142857
"Brandon Nimmo","New York Mets","OF",8.7,26,9.048
"Ha-Seong Kim","San Diego Padres","IF",8.7,35.5,8.95217391304348
"Merrill Kelly","Arizona Diamondbacks","P",8.7,35.7,8.9507204610951
"Alex Bregman","Houston Astros","IF",8.5,20,8.94736842105263
"Jazz Chisholm Jr.","Miami Marlins","OF",8.6,28.3,8.91501831501832
"Ty France","Seattle Mariners","IF",8.6,29.6,8.9006993006993
"Jorge Soler","Miami Marlins","OF",8.6,35.5,8.84927536231884
"Austin Nola","San Diego Padres","IF",8.6,36,8.84571428571429
"Max Muncy","Los Angeles Dodgers","IF",8.3,24,8.66086956521739
"Garrett Cooper","Miami Marlins","IF",8.4,35.7,8.64207492795389
"Mark Canha","New York Mets","OF",8.4,35.8,8.64137931034483
"Jake McCarthy","Arizona Diamondbacks","OF",8.3,33.8,8.55304878048781
"Ryan McMahon","Colorado Rockies","IF",8.3,34.8,8.54556213017752
"Charlie Blackmon","Colorado Rockies","OF",8.2,34.1,8.44773413897281
"Luis Arraez","Miami Marlins","IF",8.2,34.5,8.44477611940298
