"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Juan Soto","San Diego Padres","OF",12.8,NA,NA
"Manny Machado","San Diego Padres","IF",12.2,NA,NA
"Paul Goldschmidt","St. Louis Cardinals","IF",12,NA,NA
"Xander Bogaerts","San Diego Padres","IF",11.6,NA,NA
"Nolan Arenado","St. Louis Cardinals","IF",10.7,NA,NA
"Tyler O'Neill","St. Louis Cardinals","OF",10.6,NA,NA
"Jake Cronenworth","San Diego Padres","IF",10.5,NA,NA
"Nolan Gorman","St. Louis Cardinals","IF",10.1,NA,NA
"Brendan Donovan","St. Louis Cardinals","IF",10.1,NA,NA
"Nelson Cruz","San Diego Padres","OF",9.9,NA,NA
"Jordan Walker","St. Louis Cardinals","OF",9.8,NA,NA
"Jordan Montgomery","St. Louis Cardinals","P",9.7,NA,NA
"Willson Contreras","St. Louis Cardinals","IF",9.6,NA,NA
"Nick Martinez","San Diego Padres","P",9.5,NA,NA
"Willy Adames","Milwaukee Brewers","IF",9.5,NA,NA
"Alec Burleson","St. Louis Cardinals","OF",9.4,NA,NA
"Jesse Winker","Milwaukee Brewers","OF",9.1,NA,NA
"Christian Yelich","Milwaukee Brewers","OF",9,NA,NA
"Trent Grisham","San Diego Padres","OF",8.9,NA,NA
"Andrew McCutchen","Pittsburgh Pirates","OF",8.8,NA,NA
"Bryan Reynolds","Pittsburgh Pirates","OF",8.7,NA,NA
"Ha-Seong Kim","San Diego Padres","IF",8.7,NA,NA
"Ke'Bryan Hayes","Pittsburgh Pirates","IF",8.6,NA,NA
"Rowdy Tellez","Milwaukee Brewers","IF",8.6,NA,NA
"Garrett Mitchell","Milwaukee Brewers","OF",8.5,NA,NA
"William Contreras","Milwaukee Brewers","IF",8.5,NA,NA
"Mark Mathias","Pittsburgh Pirates","IF",8.3,NA,NA
"Tommy Edman","St. Louis Cardinals","IF",8.2,NA,NA
"Austin Nola","San Diego Padres","IF",8.1,NA,NA
"Rodolfo Castro","Pittsburgh Pirates","IF",8,NA,NA
"Brian Anderson","Milwaukee Brewers","OF",7.7,NA,NA
"Connor Joe","Pittsburgh Pirates","OF",7.6,NA,NA
"José Azocar","San Diego Padres","OF",7.4,NA,NA
"Joey Wiemer","Milwaukee Brewers","OF",7.4,NA,NA
"Carlos Santana","Pittsburgh Pirates","IF",7.1,NA,NA
"Brice Turang","Milwaukee Brewers","IF",7,NA,NA
"Vince Velasquez","Pittsburgh Pirates","P",6.5,NA,NA
"Ji Man Choi","Pittsburgh Pirates","IF",6.3,NA,NA
"Bryse Wilson","Milwaukee Brewers","P",5.6,NA,NA
"Jason Delay","Pittsburgh Pirates","IF",5.2,NA,NA
"Matt Carpenter","San Diego Padres","OF",3.3,NA,NA
"Luis Campusano","San Diego Padres","IF",2.9,NA,NA
"Juan Yepez","St. Louis Cardinals","OF",2.9,NA,NA
"Luke Voit","Milwaukee Brewers","IF",2.8,NA,NA
"Rougned Odor","San Diego Padres","IF",2.8,NA,NA
"Dylan Carlson","St. Louis Cardinals","OF",2.7,NA,NA
"Ji Hwan Bae","Pittsburgh Pirates","IF",2.7,NA,NA
"Mike Brosseau","Milwaukee Brewers","IF",2.5,NA,NA
"Canaan Smith-Njigba","Pittsburgh Pirates","OF",2.3,NA,NA
"Victor Caratini","Milwaukee Brewers","IF",2.3,NA,NA
"Andrew Knizner","St. Louis Cardinals","IF",2.2,NA,NA
"Owen Miller","Milwaukee Brewers","IF",2.2,NA,NA
"Jack Suwinski","Pittsburgh Pirates","OF",2.1,NA,NA
"Austin Hedges","Pittsburgh Pirates","IF",1.7,NA,NA
"Taylor Motter","St. Louis Cardinals","IF",1.6,1000,1.6016016016016
"Brandon Dixon","San Diego Padres","IF",1.6,NA,NA
"Tyler Heineman","Pittsburgh Pirates","IF",1.6,NA,NA
"Devin Williams","Milwaukee Brewers","P",0.9,NA,NA
"Josh Hader","San Diego Padres","P",0.8,NA,NA
"Ryan Helsley","St. Louis Cardinals","P",0.8,NA,NA
"Giovanny Gallegos","St. Louis Cardinals","P",0.8,NA,NA
"Chris Stratton","St. Louis Cardinals","P",0.8,NA,NA
"David Bednar","Pittsburgh Pirates","P",0.7,NA,NA
"Wilking Rodríguez","St. Louis Cardinals","P",0.7,NA,NA
"Génesis Cabrera","St. Louis Cardinals","P",0.6,NA,NA
"Nabil Crismatt","San Diego Padres","P",0.6,NA,NA
"Peter Strzelecki","Milwaukee Brewers","P",0.6,NA,NA
"Andre Pallante","St. Louis Cardinals","P",0.6,NA,NA
"Matt Bush","Milwaukee Brewers","P",0.5,NA,NA
"Gus Varland","Milwaukee Brewers","P",0.5,NA,NA
"Jose Hernandez","Pittsburgh Pirates","P",0.5,NA,NA
"Duane Underwood Jr.","Pittsburgh Pirates","P",0.4,NA,NA
"Wil Crowe","Pittsburgh Pirates","P",0.4,NA,NA
"Chase De Jong","Pittsburgh Pirates","P",0.4,NA,NA
"Luis García","San Diego Padres","P",0.2,NA,NA
