"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Jazz Chisholm Jr.","Miami Marlins","OF",10,NA,NA
"Pete Alonso","New York Mets","IF",9.9,NA,NA
"Nathan Eovaldi","Texas Rangers","P",9.9,NA,NA
"Brandon Nimmo","New York Mets","OF",9.8,NA,NA
"Starling Marte","New York Mets","OF",9.7,NA,NA
"Marcus Stroman","Chicago Cubs","P",9.6,NA,NA
"Ian Happ","Chicago Cubs","OF",9.5,NA,NA
"Dansby Swanson","Chicago Cubs","IF",9.5,NA,NA
"Corey Seager","Texas Rangers","IF",9.4,NA,NA
"Jorge Soler","Miami Marlins","OF",9.1,NA,NA
"Mark Canha","New York Mets","OF",9.1,NA,NA
"Nico Hoerner","Chicago Cubs","IF",9.1,NA,NA
"Francisco Lindor","New York Mets","IF",9.1,NA,NA
"Daniel Vogelbach","New York Mets","OF",9,NA,NA
"Tylor Megill","New York Mets","P",8.9,NA,NA
"Nick Fortes","Miami Marlins","IF",8.9,NA,NA
"Marcus Semien","Texas Rangers","IF",8.9,NA,NA
"Nathaniel Lowe","Texas Rangers","IF",8.8,NA,NA
"Patrick Wisdom","Chicago Cubs","IF",8.7,NA,NA
"Adolis García","Texas Rangers","OF",8.6,NA,NA
"Luis Arraez","Miami Marlins","IF",8.6,NA,NA
"Edward Cabrera","Miami Marlins","P",8.6,NA,NA
"Josh Jung","Texas Rangers","IF",8.4,NA,NA
"Garrett Cooper","Miami Marlins","IF",8.4,NA,NA
"Eric Hosmer","Chicago Cubs","IF",8.3,NA,NA
"Jesús Sánchez","Miami Marlins","OF",8.2,NA,NA
"Cody Bellinger","Chicago Cubs","OF",8.2,NA,NA
"Robbie Grossman","Texas Rangers","OF",7.9,NA,NA
"Trey Mancini","Chicago Cubs","OF",7.8,NA,NA
"Jean Segura","Miami Marlins","IF",7.7,NA,NA
"Jeff McNeil","New York Mets","IF",7.7,NA,NA
"Brad Miller","Texas Rangers","IF",7.7,NA,NA
"Mitch Garver","Texas Rangers","IF",7.5,NA,NA
"Avisaíl García","Miami Marlins","OF",7.4,NA,NA
"Jon Berti","Miami Marlins","OF",7.4,NA,NA
"Eduardo Escobar","New York Mets","IF",7.1,NA,NA
"Miles Mastrobuoni","Chicago Cubs","OF",6.5,NA,NA
"Tucker Barnhart","Chicago Cubs","IF",6,NA,NA
"Josh H. Smith","Texas Rangers","OF",5.7,NA,NA
"Tomás Nido","New York Mets","IF",5,NA,NA
"Edwin Ríos","Chicago Cubs","IF",2.8,NA,NA
"Tim Locastro","New York Mets","OF",2.6,NA,NA
"Bryan De La Cruz","Miami Marlins","OF",2.6,NA,NA
"Bubba Thompson","Texas Rangers","OF",2.6,NA,NA
"Ezequiel Duran","Texas Rangers","OF",2.5,1000,2.5025025025025
"Tommy Pham","New York Mets","OF",2.5,NA,NA
"Travis Jankowski","Texas Rangers","OF",2.4,1000,2.4024024024024
"Yuli Gurriel","Miami Marlins","IF",2.4,NA,NA
"Yan Gomes","Chicago Cubs","IF",2.4,NA,NA
"Garrett Hampson","Miami Marlins","OF",2.3,1000,2.3023023023023
"Luis Torrens","Chicago Cubs","IF",2.3,NA,NA
"Luis Guillorme","New York Mets","IF",2.3,NA,NA
"Jonah Heim","Texas Rangers","IF",2.2,NA,NA
