"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"5f7a01af-ce0c-4404-8a5e-baa187a655a6","Juan","Soto","2.0","10.6",,"OF","San Diego Padres",,
"bd48dddd-4510-4998-aeb2-884e8b638a2b","Julio","Rodríguez","3.3","10.9",,"OF","Seattle Mariners",,
"ee19fb17-0242-4d4e-be76-3c9e221b5262","Yordan","Alvarez","3.8","10.4",,"OF","Houston Astros",,
"285f3d88-5072-4d04-908a-003ce336596b","Manny","Machado","3.8","10.4",,"IF","San Diego Padres",,
"a6ce1c0c-064e-4996-83db-df590d1b7b26","Freddie","Freeman","5.8","9.7",,"IF","Los Angeles Dodgers",,
"a6f2515c-1a3e-4c3d-b29d-e1e567d4d93f","Mookie","Betts","6.0","10.3",,"OF","Los Angeles Dodgers",,
"7d320d53-e321-49cd-9e13-d4dad1f60b37","Cristian","Javier","6.6","11.9",,"P","Houston Astros",,
"aadd4e65-a60f-4b9d-aa88-c0a8ef69f9dc","Xander","Bogaerts","8.7","9.7",,"IF","San Diego Padres",,
"a08a49b8-087b-41bd-a17b-550bbf0ca282","José","Ramírez","10.4","9.5",,"IF","Cleveland Guardians",,
"a33447a4-5bd7-46f6-9b06-1e29bbb017e5","Robbie","Ray","10.5","10.7",,"P","Seattle Mariners",,
"850ceed3-f244-45dd-8a6c-a3ac48863373","Pete","Alonso","11.8","8.7",,"IF","New York Mets",,
"8261b05a-b031-4e96-a38c-38d7fa8ff0c7","Kyle","Tucker","11.8","9.5",,"OF","Houston Astros",,
"df99c292-ae66-4d10-b76e-095c285fbc25","Dustin","May","14.2","10.0",,"P","Los Angeles Dodgers",,
"8cc83fa5-57cf-4a01-8a80-055ff257b317","Starling","Marte","15.3","8.7",,"OF","New York Mets",,
"978be945-099c-43f0-9a71-a45c2a2fd4c8","Will","Smith","15.6","9.2",,"IF","Los Angeles Dodgers",,
"34b39464-7f6f-43e0-9c46-c128f226b3c4","Francisco","Lindor","18.3","8.8",,"IF","New York Mets",,
"1a167794-3c47-4e67-8138-4e06ce372bcd","Teoscar","Hernández","19.3","8.8",,"OF","Seattle Mariners",,
"064bce5b-88ca-44cf-b03c-4bfd28048255","Kris","Bryant","19.5","9.8",,"OF","Colorado Rockies",,
"f3877569-490a-4a9c-b16e-dc21c5d206ee","Alex","Bregman","20.0","8.5",,"IF","Houston Astros",,
