id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek
87cfac7a-a24e-470f-9c89-1d565b1dfbe9,Mookie,Betts,,12.8,,OF,Los Angeles Dodgers,,
015eaf87-d008-48b4-b045-23368bbccd3d,Clayton,Kershaw,,12.4,,P,Los Angeles Dodgers,,
ecc2ce6b-6930-40be-a198-5c531adde95b,Trayce,Thompson,,8.8,,OF,Los Angeles Dodgers,,
077db42d-8dc1-47f2-8668-afda1c60294b,Freddie,Freeman,,11.4,,IF,Los Angeles Dodgers,,
38401cad-69d4-4d32-851b-e668ee75a02c,Julio,Rodríguez,,10.9,,OF,Seattle Mariners,,
10e3de35-24ec-412b-9e8d-5964003120f5,Will,Smith,,10.7,,IF,Los Angeles Dodgers,,
b03f1bc3-60ea-43b9-9055-fbf290c73821,J.D.,Martinez,,10.6,,OF,Los Angeles Dodgers,,
3f98fdfc-19e5-4cfc-bde4-3f9069ddae17,Miguel,Vargas,,10.4,,IF,Los Angeles Dodgers,,
f7cc9418-3170-4c13-bb98-6a9b7e7d4c16,Max,Muncy,,9.9,,IF,Los Angeles Dodgers,,
1e0d5b4d-16cc-42a4-ac95-d0ec3706c918,José,Ramírez,,9.9,,IF,Cleveland Guardians,,
dcc2d780-1fd4-43eb-8e3e-0306db4a0896,Chris,Taylor,,9.5,,IF,Los Angeles Dodgers,,
65dfcd57-7550-423f-b426-8e71ff599941,Jarred,Kelenic,,9.5,,OF,Seattle Mariners,,
3bf2cf51-a840-4fe3-a41d-aa7c2a0cda26,Kolten,Wong,,9.1,,IF,Seattle Mariners,,
a2c05502-b552-436a-bcc8-5e6bd402dd64,Teoscar,Hernández,,9.0,,OF,Seattle Mariners,,
d2c294af-9d70-4a24-b6e5-e707687b152a,Logan,Gilbert,,8.8,,P,Seattle Mariners,,
9d1e44d5-d274-4d39-afb5-af30479ee12d,Aaron,Civale,,8.7,,P,Cleveland Guardians,,
c0ff9c1e-d54f-4e07-9558-a69301b9d5cb,Ty,France,,8.7,,IF,Seattle Mariners,,
fdda8f6c-e747-46aa-8237-9ccf6e462cf1,Cal,Raleigh,,8.7,,IF,Seattle Mariners,,
848bfcfc-c0ca-400b-87e1-3f7b4e8de04d,Eugenio,Suárez,,8.5,,IF,Seattle Mariners,,
acb42efc-1954-42d5-b452-7134ef65f6f7,Steven,Kwan,,8.4,,OF,Cleveland Guardians,,
0c3f6541-a472-43b7-bd3b-98a621b39dc2,Andrés,Giménez,,8.0,,IF,Cleveland Guardians,,
fe892f40-71d8-43cb-8b70-52ddc016ffc6,Miguel,Rojas,,8.0,,IF,Los Angeles Dodgers,,
74e6ac5d-efe4-42c8-a8ae-3b3cf37efab0,Corbin,Carroll,,7.6,,OF,Arizona Diamondbacks,,
dc81181e-dc27-4e0c-8ebd-54bbf47bab37,Josh,Naylor,,7.6,,IF,Cleveland Guardians,,
109c5da3-fcf9-4af8-9227-be4255d77a6e,Josh,Bell,,7.5,,IF,Cleveland Guardians,,
316adc86-b8a4-4685-a940-b53cf5f81d30,Tommy,La Stella,,7.5,,IF,Seattle Mariners,,
9fd22412-dcec-4236-aca2-0126d7ad9107,Ketel,Marte,,7.3,,IF,Arizona Diamondbacks,,
77eda69e-903d-4657-98bd-0cc5cbf860a8,Will,Brennan,,7.3,,OF,Cleveland Guardians,,
db225e7d-fb02-4b28-85e3-58dc8fc8312b,Evan,Longoria,,7.3,,IF,Arizona Diamondbacks,,
1204e35b-2ddc-44ca-b322-7a6c13b120ac,Amed,Rosario,,7.1,,IF,Cleveland Guardians,,
44e3a3a2-159f-4539-816e-802f4bcf52f4,Mike,Zunino,,7.0,,IF,Cleveland Guardians,,
a253b5e6-990c-4313-aa5a-447133a40c12,Kyle,Lewis,,7.0,,OF,Arizona Diamondbacks,,
59b7a06c-9a03-4db7-bd86-fd4bfe940b85,Christian,Walker,,6.9,,IF,Arizona Diamondbacks,,
