"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"84785c27-a6df-45e7-a6b4-b20129f0582f","Mookie","Betts","1.0","13.0",,"OF","Los Angeles Dodgers",,
"472666e8-ff16-4dda-b1d8-7d41669df459","George","Kirby","2.0","10.9",,"P","Seattle Mariners",,
"f26caece-525e-40b6-beef-b7603c735b64","José","Ramírez","3.0","11.7",,"IF","Cleveland Guardians",,
"f508f144-a48f-4ea7-8e53-da5309297f80","Freddie","Freeman","4.0","12.2",,"IF","Los Angeles Dodgers",,
"b3adcfb6-f3da-4976-bada-1df3897990ae","Julio","Rodríguez","5.0","10.7",,"OF","Seattle Mariners",,
"9e7f7aa6-d134-43b9-9c80-a73bf362607b","Will","Smith","6.0","10.6",,"IF","Los Angeles Dodgers",,
"70e5e3cd-5a1d-413e-992c-77c247f169d9","Mike","Trout","7.0","10.2",,"OF","Los Angeles Angels",,
"0139b28e-680d-433e-9d26-40abe5770550","James","Outman","8.0","10.2",,"OF","Los Angeles Dodgers",,
"8f854561-ee35-4bba-b519-53f39806b4fa","Juan","Soto","9.0","10.6",,"OF","San Diego Padres",,
"e1916369-40e1-4050-9562-2c4cfb66b6c6","Christian","Walker","10.0","10.3",,"IF","Arizona Diamondbacks",,
"711fb58f-2220-4d74-a735-44368bfa0f04","Manny","Machado","11.0","10.1",,"IF","San Diego Padres",,
"e9e360e0-033d-4c96-9a8e-2767238c3b9d","C.J.","Cron","12.0","10.1",,"IF","Colorado Rockies",,
"856d5bd6-e91b-4149-808c-8e133e61ad8a","Ryan","McMahon","13.0","9.9",,"IF","Colorado Rockies",,
"4ea7594b-dcb9-4967-bb3a-a987e5f3de66","J.D.","Martinez","14.0","10.1",,"OF","Los Angeles Dodgers",,
"f692becb-f5d2-48c5-b33b-1483b4b7d8f3","Jurickson","Profar","15.0","10.0",,"OF","Colorado Rockies",,
"5dd7763e-cc32-4808-90bc-60775db90679","Steven","Kwan","16.0","9.9",,"OF","Cleveland Guardians",,
"d658bbaa-4d9f-4d69-b4ab-a8fa165a53b3","Teoscar","Hernández","17.0","9.9",,"OF","Seattle Mariners",,
"00b8f92f-a4b2-4e83-8d7d-1406335a6a7f","Evan","Longoria","18.0","9.7",,"IF","Arizona Diamondbacks",,
"b2dbac60-455c-4a08-bc69-6d375d657372","Charlie","Blackmon","19.0","9.6",,"OF","Colorado Rockies",,
"4ed560af-3212-4063-9a32-68638837f075","Max","Muncy","20.0","9.6",,"IF","Los Angeles Dodgers","IN",
"72e68339-6ee3-4479-a428-1be99181cb7c","Lourdes","Gurriel Jr.","21.0","9.8",,"OF","Arizona Diamondbacks",,
"b35bf2a5-ce64-4b5b-9210-1b3d5652fbbb","Jake","McCarthy","22.0","9.6",,"OF","Arizona Diamondbacks",,
"9bc474ab-2c96-4b86-a01b-5c997d9d2db2","Shohei","Ohtani","23.0","9.0",,"OF","Los Angeles Angels",,
"f35e16a5-2e05-4bbe-ac02-ae9d4a85e9e9","Kris","Bryant","24.0","9.5",,"OF","Colorado Rockies",,
"949ec353-d6ec-4728-b538-e268b041065b","Xander","Bogaerts","25.0","9.5",,"IF","San Diego Padres",,
"f7fe411f-d943-4e48-a7c5-339747bf622b","Eugenio","Suárez","26.0","9.1",,"IF","Seattle Mariners",,
"d36fbd81-815b-4378-a396-ced4e21ff551","Ketel","Marte","27.0","9.6",,"IF","Arizona Diamondbacks",,
"b433a582-2b2e-4602-bf61-d363a2791072","Jake","Cronenworth","28.0","9.4",,"IF","San Diego Padres",,
"804fb65b-a3d6-40a0-bce7-2652a8baf4ea","Chris","Taylor","29.0","9.2",,"IF","Los Angeles Dodgers",,
"5c13221d-d58a-4b51-97b3-2a5d8de519a2","Matt","Carpenter","30.0","9.5",,"OF","San Diego Padres",,
"abbe32e5-6a72-448d-8af9-e789ccff3ef8","Ryne","Nelson","31.0","8.6",,"P","Arizona Diamondbacks",,
"805adc49-6a72-48d6-bc68-557893a3e62d","Reid","Detmers","32.0","8.6",,"P","Los Angeles Angels",,
"8b53725d-fdad-449d-a2e2-8727cf4020dc","Zach","Plesac","33.0","8.5",,"P","Cleveland Guardians",,
"39091bf8-1875-4516-bbfc-8f01e4296a1b","James","Kaprielian","34.0","7.1",,"P","Oakland Athletics",,
"c0132a1c-c0f6-4936-8229-8872c2cdc180","Ramón","Laureano","35.0","7.8",,"OF","Oakland Athletics",,
"db23c200-5483-4f98-ba63-438d64050326","Ryan","Weathers","36.0","5.9",,"P","San Diego Padres",,
"3c883d7e-5ca9-4a17-bbaf-cf4dcd902237","Trent","Grisham",,"9.3",,"OF","San Diego Padres",,
"087d7996-eda0-453e-b5a6-0bffd8de9b9a","Kyle","Lewis",,"9.2",,"OF","Arizona Diamondbacks",,
"92aa4908-0174-4523-89ba-3aa70105f259","Andrés","Giménez",,"9.1",,"IF","Cleveland Guardians",,
"17c9bf42-96df-44a7-819f-edab287ec0aa","Amed","Rosario",,"9.1",,"IF","Cleveland Guardians",,
"73ada497-9de8-48a6-9c2e-e7efcd770681","Corbin","Carroll",,"9.0",,"OF","Arizona Diamondbacks",,
"c0edbf9a-c7af-405c-bf25-87fa556f800f","Mike","Moustakas",,"8.9",,"IF","Colorado Rockies",,
"6bb4e4eb-ed61-4aa1-a477-f6e5fce8e8ba","AJ","Pollock",,"8.9",,"OF","Seattle Mariners",,
"f8d897fb-e780-4247-af22-12f8b5533f16","Josh","Bell",,"8.9",,"IF","Cleveland Guardians",,
"79b6b16d-54e0-4f4f-aee7-bcd9c2ee1112","Ty","France",,"8.9",,"IF","Seattle Mariners",,
"b49fa108-f6aa-4cc3-8d6b-25998ea5f0b0","Seth","Brown",,"8.8",,"OF","Oakland Athletics",,
"0d90451c-2d55-46b1-b9e8-d6b1baffe4f1","Josh","Naylor",,"8.7",,"IF","Cleveland Guardians",,
"8aa0af08-640a-475a-9486-83f4a4b9616a","Jace","Peterson",,"8.5",,"IF","Oakland Athletics",,
"85f4be4f-46f8-4b87-9caa-f749feec7be9","Elehuris","Montero",,"8.5",,"IF","Colorado Rockies","OUT",
"0b3dba68-9c24-40ac-8862-ba048e1315e1","Taylor","Ward",,"8.5",,"OF","Los Angeles Angels",,
"201e7be4-d57f-4004-974a-7f4ca6ad3a51","Jason","Heyward",,"8.5",,"OF","Los Angeles Dodgers",,
"c814e7a7-1cbc-44aa-bbb3-d830d9e660dc","Elias","Díaz",,"8.4",,"IF","Colorado Rockies",,
"f0084ca1-7ae4-4c16-b6d2-c0b9d4afce1b","Mike","Zunino",,"8.4",,"IF","Cleveland Guardians",,
"99808362-cd0a-4e26-b92c-8b96e64d3d17","Esteury","Ruiz",,"8.3",,"OF","Oakland Athletics",,
"42719f2a-fed2-4eaa-8720-d162daecc49c","Will","Brennan",,"8.3",,"OF","Cleveland Guardians",,
"8329036b-b2b3-4318-b771-dcbd0390c4e8","Sam","Haggerty",,"8.3",,"OF","Seattle Mariners",,
"37e83b19-47b0-41ea-b4e8-adf2e2f0a902","Tom","Murphy",,"8.0",,"IF","Seattle Mariners",,
"f6407bba-81df-4a68-9a09-988d9cc938b5","Miguel","Vargas",,"7.9",,"IF","Los Angeles Dodgers",,
"6eb9e036-4605-4ff3-9ab2-044d0c8a8474","Gabriel","Moreno",,"7.9",,"IF","Arizona Diamondbacks",,
"00f8221f-24b3-4da7-a3a7-0d5a4874d556","Tony","Kemp",,"7.9",,"IF","Oakland Athletics",,
"f10840e7-af8d-4473-8343-a8fc2c9426d7","Aledmys","Díaz",,"7.8",,"IF","Oakland Athletics",,
"05ed7c6c-fcdf-40ca-8ccc-6a2de6614486","Ezequiel","Tovar",,"7.7",,"IF","Colorado Rockies","OUT",
"cd092815-65f3-49fd-9f49-74bd7b811d1f","Brandon","Drury",,"7.7",,"IF","Los Angeles Angels",,
"26cc9c51-32ab-4b5d-a7b9-5053ebae938e","Rougned","Odor",,"7.7",,"IF","San Diego Padres",,
"beff5b49-a6fd-44e4-9d04-eb1ffff3185d","Nick","Ahmed",,"7.7",,"IF","Arizona Diamondbacks",,
"3d576749-f028-4e62-ae8e-75f112027985","Harold","Castro",,"7.6",,"OF","Colorado Rockies",,
"3f74995d-9911-4205-ba1f-92a82e567dc1","Shea","Langeliers",,"7.6",,"IF","Oakland Athletics",,
"502e564e-da08-4e35-ac55-5e8de3ad1f8d","Hunter","Renfroe",,"7.6",,"OF","Los Angeles Angels",,
"995f6bc9-7e0f-40ae-a566-ec5d2f3a880e","Luis","Campusano",,"7.4",,"IF","San Diego Padres",,
"5141c526-c38c-49ce-93ef-600f0de48cfe","Anthony","Rendon",,"7.3",,"IF","Los Angeles Angels","IN",
