Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Travis Kelce,Christian McCaffrey,Austin Ekeler,Justin Jefferson,Tyreek Hill,Josh Allen,Jalen Hurts,Ja'Marr Chase,Cooper Kupp,Bijan Robinson,Nick Chubb,Patrick Mahomes
Davante Adams,Amon-Ra St. Brown,CeeDee Lamb,Jonathan Taylor,Garrett Wilson,A.J. Brown,Josh Jacobs,Joe Burrow,Saquon Barkley,Derrick Henry,Stefon Diggs,Tony Pollard
Rhamondre Stevenson,Chris Olave,Lamar Jackson,Mark Andrews,Najee Harris,Tee Higgins,Jaylen Waddle,Jahmyr Gibbs,Justin Herbert,DK Metcalf,Justin Fields,DeVonta Smith
Deebo Samuel,Christian Watson,Dameon Pierce,Deshaun Watson,Travis Etienne Jr.,Aaron Jones,Joe Mixon,Alexander Mattison,Breece Hall,Trevor Lawrence,Kenneth Walker III,Calvin Ridley
Amari Cooper,T.J. Hockenson,DJ Moore,Jerry Jeudy,Geno Smith,Miles Sanders,Terry McLaurin,Drake London,Keenan Allen,Darren Waller,George Kittle,Mike Williams
Dak Prescott,Isiah Pacheco,Jaxon Smith-Njigba,George Pickens,Christian Kirk,Mike Evans,Michael Pittman Jr.,Daniel Jones,Brandon Aiyuk,Chris Godwin,DeAndre Hopkins,Kyle Pitts
J.K. Dobbins,Tua Tagovailoa,Dallas Goedert,James Conner,Pat Freiermuth,Kirk Cousins,Cam Akers,Gabe Davis,Anthony Richardson,Diontae Johnson,Marquise Brown,David Montgomery
D'Andre Swift,Elijah Moore,Brian Robinson,Treylon Burks,Khalil Herbert,Tyler Lockett,Jordan Addison,Rachaad White,Evan Engram,Javonte Williams,Aaron Rodgers,Jared Goff
Dallas Cowboys,AJ Dillon,Chigoziem Okonkwo,Antonio Gibson,James Cook,Alvin Kamara,Quentin Johnston,Jahan Dotson,Dalvin Cook,San Francisco 49ers,Philadelphia Eagles,Zach Charbonnet
Romeo Doubs,Michael Thomas,Allen Lazard,JuJu Smith-Schuster,Baltimore Ravens,Dalton Schultz,David Njoku,Courtland Sutton,Rashod Bateman,Kadarius Toney,Samaje Perine,Brandin Cooks
Jakobi Meyers,Russell Wilson,Nico Collins,Dalton Kincaid,Skyy Moore,Zay Flowers,New England Patriots,Tyler Higbee,Tank Bigsby,Jonathan Mingo,Damien Harris,Cole Kmet
Greg Dulcich,Irv Smith Jr.,Jordan Love,Kenny Pickett,Derek Carr,Buffalo Bills,Harrison Butker,Cameron Dicker,Jason Myers,Justin Tucker,Sam LaPorta,Zay Jones
Jaylen Warren,Tyler Allgeier,Elijah Mitchell,Carolina Panthers,Gerald Everett,Juwan Johnson,Michael Gallup,DJ Chark Jr.,Jerick McKinnon,C.J. Stroud,Odell Beckham Jr.,Greg Zuerlein
Bryce Young,Evan McPherson,Jason Sanders,Tyjae Spears,Jeff Wilson Jr.,Devin Singletary,Raheem Mostert,Devon Achane,Michael Mayer,Rashaad Penny,Ezekiel Elliott,Kenneth Gainwell
Tyler Boyd,Van Jefferson,Kansas City Chiefs,Greg Joseph,Jameson Williams,Adam Thielen,Hunter Henry,Cleveland Browns,Curtis Samuel,Rashid Shaheed,Tyler Bass,K.J. Osborn
Kendre Miller,Cincinnati Bengals,Rondale Moore,DeVante Parker,Riley Patterson,Brandon Aubrey,Matthew Stafford,Tyler Conklin,Jacksonville Jaguars,Cade Otton,Rashee Rice,New York Giants
