Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Freddie Freeman_IF_1681_pts,Aaron Judge_OF_1601_pts,José Ramírez_IF_1642_pts,Juan Soto_OF_1515_pts,Ronald Acuña Jr._OF_1540_pts,Gerrit Cole_P_1290_pts,Corbin Burnes_P_1242_pts,Vladimir Guerrero Jr._IF_1529_pts,Aaron Nola_P_1181_pts,Kyle Tucker_OF_1368_pts,Mike Trout_OF_1395_pts,Pete Alonso_IF_1465_pts
Cedric Mullins_OF_1270_pts,Randy Arozarena_OF_1209_pts,Bryan Reynolds_OF_1247_pts,Manny Machado_IF_1506_pts,Matt Olson_IF_1444_pts,Kyle Schwarber_OF_1304_pts,Yordan Alvarez_OF_1485_pts,Shohei Ohtani_OF_1448_pts,Julio Rodríguez_OF_1461_pts,Paul Goldschmidt_IF_1541_pts,Trea Turner_IF_1577_pts,Mookie Betts_OF_1426_pts
Bo Bichette_IF_1361_pts,Austin Riley_IF_1407_pts,George Springer_OF_1115_pts,Christian Yelich_OF_1177_pts,Michael Harris II_OF_1269_pts,Rafael Devers_IF_1411_pts,Marcus Semien_IF_1458_pts,Teoscar Hernández_OF_1243_pts,Bobby Witt Jr._IF_1402_pts,Brandon Nimmo_OF_1122_pts,Adolis García_OF_1112_pts,Taylor Ward_OF_1148_pts
Spencer Strider_P_1099_pts,Robbie Ray_P_1116_pts,Sandy Alcantara_P_1125_pts,Shane Bieber_P_1246_pts,Dylan Cease_P_1085_pts,Eloy Jiménez_OF_1160_pts,Luis Castillo_P_1018_pts,Francisco Lindor_IF_1305_pts,Jose Altuve_IF_1346_pts,Tyler O'Neill_OF_1161_pts,Alex Bregman_IF_1160_pts,Anthony Santander_OF_1059_pts
Ian Happ_OF_1190_pts,Kevin Gausman_P_1116_pts,Steven Kwan_OF_1244_pts,Corey Seager_IF_1207_pts,Nolan Arenado_IF_1305_pts,Brandon Woodruff_P_1099_pts,Framber Valdez_P_1123_pts,Max Scherzer_P_1111_pts,Rhys Hoskins_IF_1244_pts,Shane McClanahan_P_1096_pts,Xander Bogaerts_IF_1297_pts,Cristian Javier_P_1005_pts
Max Fried_P_1007_pts,Daulton Varsho_OF_970_pts,Nick Castellanos_OF_1162_pts,Zac Gallen_P_985_pts,Dansby Swanson_IF_1294_pts,Justin Verlander_P_1055_pts,Kris Bryant_OF_1132_pts,Zack Wheeler_P_1073_pts,Corbin Carroll_OF_1271_pts,Luis Robert Jr._OF_833_pts,Yu Darvish_P_1155_pts,Alek Manoah_P_1066_pts
Jake McCarthy_OF_1060_pts,Starling Marte_OF_1193_pts,Triston McKenzie_P_989_pts,Will Smith_OF_1017_pts,Hunter Greene_P_851_pts,Byron Buxton_OF_1155_pts,Willy Adames_IF_1327_pts,Julio Urías_P_1015_pts,Alex Verdugo_OF_1158_pts,J.D. Martinez_OF_1207_pts,Seiya Suzuki_OF_1093_pts,Fernando Tatis Jr._IF_1307_pts
Masataka Yoshida_OF_1066_pts,Nick Lodolo_P_871_pts,Carlos Correa_IF_1258_pts,Lars Nootbaar_OF_1180_pts,Joey Meneses_OF_1169_pts,Logan Gilbert_P_863_pts,Riley Greene_OF_1196_pts,Charlie Morton_P_950_pts,Hunter Renfroe_OF_1049_pts,Lucas Giolito_P_1005_pts,Jacob deGrom_P_967_pts,Logan Webb_P_901_pts
Brady Singer_P_935_pts,Mike Yastrzemski_OF_1007_pts,Kyle Wright_P_904_pts,Mitch Haniger_OF_1256_pts,Chris Bassitt_P_963_pts,Ramón Laureano_OF_771_pts,Matt Chapman_IF_1126_pts,Joc Pederson_OF_901_pts,José Abreu_IF_1278_pts,Andrew Benintendi_OF_843_pts,Christian Walker_IF_1150_pts,Pablo López_P_826_pts
Michael Conforto_OF_535_pts,Joe Musgrove_P_997_pts,Oneil Cruz_IF_1143_pts,Lance Lynn_P_865_pts,Seth Brown_OF_943_pts,Jesse Winker_OF_1019_pts,Ozzie Albies_IF_1302_pts,Nathaniel Lowe_IF_1124_pts,Wander Franco_IF_1072_pts,Max Muncy_IF_1198_pts,Trent Grisham_OF_1016_pts,Austin Hays_OF_956_pts
Vinnie Pasquantino_IF_1184_pts,Blake Snell_P_989_pts,Jazz Chisholm Jr._IF_1199_pts,Joe Ryan_P_875_pts,Merrill Kelly_P_851_pts,Jordan Montgomery_P_818_pts,Enrique Hernández_OF_1022_pts,Mark Canha_OF_1153_pts,George Kirby_P_812_pts,Cody Bellinger_OF_900_pts,Lourdes Gurriel Jr._OF_943_pts,Patrick Sandoval_P_840_pts
Lane Thomas_OF_681_pts,Jake Cronenworth_IF_1240_pts,Jorge Soler_OF_784_pts,Andrés Giménez_IF_1000_pts,Harrison Bader_OF_666_pts,Max Kepler_OF_1017_pts,Jon Gray_P_647_pts,Germán Márquez_P_898_pts,Joey Gallo_OF_976_pts,Tommy Edman_IF_1215_pts,Andrew McCutchen_OF_1132_pts,Nestor Cortes_P_910_pts
