"","Name","Team","playerid","R","HR","RBI","RC","AVG","OPS"
"1","Juan Soto","WSN","20123",112,36,105,153.378491577335,0.312,1.041
"2","Mike Trout","LAA","10155",99,37,94,125.259912587413,0.281,0.989
"3","José Ramírez","CLE","13510",100,35,100,111.204726688103,0.271,0.895
"4","Mookie Betts","LAD","13611",112,31,87,115.682732919255,0.28,0.886
"5","Vladimir Guerrero Jr.","TOR","19611",107,41,108,137.982242990654,0.305,0.975
"6","Trea Turner","LAD","16252",109,26,85,109.400530421217,0.303,0.862
"7","Aaron Judge","NYY","15640",97,38,97,114.460952998379,0.276,0.905
"8","Bryce Harper","PHI","11579",104,37,100,128.453753943218,0.277,0.955
"9","Freddie Freeman","LAD","5361",106,32,98,127.078302752294,0.296,0.921
"10","Ronald Acuña Jr.","ATL","18401",97,33,79,102.500193423598,0.281,0.945
"11","Rafael Devers","BOS","17350",101,38,105,115.962640625,0.281,0.895
"12","Carlos Correa","MIN","14162",86,25,85,97.7532059308072,0.273,0.825
"13","Bo Bichette","TOR","19612",104,27,90,102.916376175549,0.29,0.835
"14","Marcus Semien","TEX","12533",95,30,83,98.7346545454545,0.259,0.807
"15","Kyle Tucker","HOU","18345",87,32,95,104.943243781095,0.279,0.875
"16","Luis Robert","CHW","20043",87,29,86,99.2218549747049,0.285,0.85
"17","Will Smith","LAD","19197",73,28,81,88.2396666666667,0.264,0.885
"18","Alex Bregman","HOU","17678",83,24,83,98.2301045531197,0.268,0.84
"19","Xander Bogaerts","BOS","12161",93,26,88,106.127384737679,0.286,0.85
"20","Manny Machado","SDP","11493",89,32,100,104.58205345912,0.275,0.845
"21","Wander Franco","TBR","23667",90,18,80,97.6573170731707,0.291,0.821
"22","Corey Seager","TEX","13624",80,24,83,97.3285224416517,0.288,0.863
"23","Byron Buxton","MIN","14161",82,29,72,80.3500616016427,0.27,0.856
"24","Brandon Lowe","TBR","18882",91,34,91,97.9379863013699,0.255,0.854
"25","Anthony Rendon","LAA","12861",76,23,82,93.9521776198934,0.271,0.842
"26","George Springer","TOR","12856",97,35,85,103.34534923339,0.263,0.876
"27","Francisco Lindor","NYM","12916",89,26,81,90.842028526149,0.256,0.788
"28","Matt Olson","ATL","14344",96,40,106,115.792649681529,0.263,0.898
"29","Trevor Story","BOS","12564",92,28,82,94.3289677419355,0.26,0.814
"30","Bryan Reynolds","PIT","19326",85,25,84,109.334258064516,0.285,0.87
"31","Yordan Alvarez","HOU","19556",91,38,107,115.382163061564,0.28,0.917
"32","Ozzie Albies","ATL","16556",99,28,89,98.3725714285714,0.272,0.82
"33","Yasmani Grandal","CHW","11368",70,25,72,80.6877751004016,0.235,0.838
"34","Shohei Ohtani","LAA","19755",98,38,92,106.102592592593,0.259,0.905
"35","Jonathan India","CIN","21523",96,22,72,97.5496235679214,0.261,0.816
"36","Jose Altuve","HOU","5417",97,25,76,95.2870485436893,0.276,0.811
"37","Ketel Marte","ARI","13613",83,22,78,100.359456053068,0.292,0.84
"38","Salvador Perez","KCR","7304",74,34,98,87.3807102966841,0.263,0.806
