"","Name","playerid","R","HR","RBI","RC","wba","wops","pr"
"1","Bo Bichette","19612",2.34062049123003,1.25256163076903,1.71594428975577,1.84732550359824,2.12360666974767,1.91309458904169,8.97275316547432
"2","Pete Alonso","19251",1.55728814522499,2.8347287694167,2.54149157252969,2.27666790769835,1.27532629051015,1.86960847195379,8.75596065298872
"3","Teoscar Hernández","13066",1.50506598882465,2.10449778234855,2.12871793114273,1.44227384612923,1.31632360684203,1.51364504991748,8.48192169469512
"4","George Springer","12856",1.97506539642768,2.22620294685991,1.45796076388892,1.86721436559673,0.972199414928919,1.45949850121336,8.19062994637016
"5","Nick Castellanos","11737",1.76617677082633,1.86108745332583,1.97392781562262,1.92236895867039,1.71255712901171,1.80732410861987,7.61009580658912
"6","Luis Robert","20043",1.45284383242432,1.49597195979175,1.50955746906229,1.6760331089571,1.64113632156406,1.62183259849782,7.37986384775198
"7","Austin Riley","18360",1.24395520682297,1.61767712430311,1.81913770010251,1.57632855859057,1.3356350840331,1.44904916725292,7.42590315241011
"8","Bryan Reynolds","19326",1.34839951962364,1.00915130174631,1.40636405871555,2.14488350841737,1.61406859533723,1.71123245571495,7.21658799700969
"9","Paul Goldschmidt","9218",1.87062108362701,1.61767712430311,1.61275087940903,2.1476039509333,1.67551708259604,1.83136813161168,7.15638774813521
"10","Brandon Lowe","18882",1.66173245802566,2.10449778234855,1.76754099492914,1.61650795603334,0.848574302746702,1.34776451201614,7.10924804373663
"11","Kyle Tucker","18345",1.45284383242432,1.86108745332583,1.97392781562262,1.9412989813239,1.48290884123456,1.71260459047743,6.99132508492101
"12","Kris Bryant","15429",1.60951030162533,1.13085646625767,1.30317064836881,1.85869890681678,1.20596326341893,1.44429946999817,7.74056321264282
"14","Eloy Jiménez","17484",0.773955799219946,1.73938228881447,1.81913770010251,1.32779071905634,1.30122266484179,1.36266800651325,6.62888800137211
"16","Kyle Schwarber","16478",1.45284383242432,2.34790811137127,1.40636405871555,1.53876711321752,0.412166576387712,1.12005347074078,6.58283398568094
"17","José Abreu","15676",1.40062167602398,1.61767712430311,2.28350804666284,1.69721421649818,1.45815216063878,1.59527651340239,6.45329923318433
"18","J.T. Realmuto","11739",0.930622268420955,0.644035808212233,1.04518712250196,0.880941697367204,0.922749370056032,0.938002852407722,6.42786247032872
"19","Will Smith","19197",0.72173364281961,1.37426679528039,1.25157394319544,1.16685607858737,0.152886251478018,0.574788225895828,6.30842828861927
"20","Jose Altuve","5417",1.97506539642768,1.00915130174631,0.993590417328588,1.49360015502953,1.55318995494634,1.4622638805039,6.24949114361946
"21","Ryan Mountcastle","18373",0.982844424821291,1.61767712430311,1.50955746906229,1.13713682161305,1.26978611262747,1.32692917339198,6.73199528197631
"22","Joey Gallo","14128",1.45284383242432,2.59131844039398,1.6643475845824,1.31214507225123,-0.141724579243546,0.91429658566514,6.26462442556399
"23","Ketel Marte","13613",1.24395520682297,0.644035808212233,1.09678382767533,1.72877672640193,1.78239502849288,1.58109075093488,6.24285923932821
"24","Carlos Correa","14162",1.40062167602398,1.00915130174631,1.45796076388892,1.60794081825399,1.32696074837679,1.37115413227507,5.95338943189694
"25","Jorge Polanco","13152",1.60951030162533,1.00915130174631,1.25157394319544,1.26773170091109,1.51266751100441,1.43775544266941,6.03465685915054
"28","Tim Anderson","15172",2.02728755282802,0.400625479189514,0.632413481114998,1.22530384560539,2.17141049033541,1.55660342286597,5.79324426327118
"29","Francisco Lindor","12916",1.55728814522499,1.13085646625767,1.25157394319544,1.28751171172642,1.2378746880232,1.367417703768,5.6121226495276
"30","Giancarlo Stanton","4949",0.982844424821291,2.10449778234855,1.97392781562262,1.57895964141827,0.889381670122599,1.26663968290506,5.5795712544174
"31","Ronald Acuña Jr.","18401",1.97506539642768,1.98279261783719,1.1483805328487,1.82802965000461,0.645803792240403,1.14000219921072,5.28672775908165
"32","Corey Seager","13624",1.08728873762196,0.887446137234952,1.35476735354218,1.58825083736949,1.22875713813626,1.23329680817673,5.15940700341347
"33","Jonathan India","21523",1.92284324002734,0.644035808212233,0.787203596635108,1.59850194686859,1.10453052092678,1.30244184532306,5.12218699563023
"35","Rhys Hoskins","16472",1.40062167602398,2.22620294685991,1.6643475845824,1.66624396567717,0.396400813041555,1.16425731985829,4.91892380169834
