,Unnamed: 0,Name,Team,playerid,R,HR,RBI,RC,AVG,OPS,pr,position,IDFANGRAPHS,pr_pos,weighted_pr
0,44,Pete Alonso,NYM,19251,1.75491981598824,2.92778689736121,2.40165029349281,2.15235892833781,0.686123055451204,2.10494001645954,12.0277790070908,1B,19251,1.9193121694699709,13.94709117656077
324,30,George Springer,TOR,12856,1.99868636118971,2.4204930957965,1.6231532974433,1.87531600068097,0.959933821156274,2.15980806947708,11.0373906457438,CF,12856,2.150125350805732,13.187515996549532
325,31,Bryan Reynolds,PIT,19326,1.58080085513005,1.40590549266709,1.65853952453646,2.08533898307424,1.91827150112402,2.06378897669638,10.7126453332282,CF,19326,2.062705672429157,12.775351005657358
1,43,Paul Goldschmidt,STL,9218,1.92903877684643,1.9131992942318,1.76469820581594,2.09972299815332,1.50755535256641,1.83059975137183,11.0448143789857,1B,9218,1.6547034181415903,12.69951779712729
326,20,Luis Robert,CHW,20043,1.61562464730168,1.71028177360591,1.6231532974433,1.74529328188354,1.96390662874153,1.81688273811744,10.4751423670934,CF,20043,1.9987711609433614,12.47391352803676
93,56,Austin Riley,ATL,18360,1.58080085513005,2.01465805454474,2.01240179546806,1.78492891524003,1.32501484209637,1.5699764995385,10.2877809620177,3B,18360,1.801449813856934,12.089230775874634
210,106,Teoscar Hernández,TOR,13066,1.68527223164496,2.21757557517062,2.08317424965438,1.61226288272276,1.09683920400881,1.55625948628412,10.2513836294857,LF,13066,1.7805050787155194,12.031888708201219
44,27,Brandon Lowe,TBR,18882,1.78974360815988,2.31903433548356,1.90624311418858,1.73168039648504,0.549217672598669,1.84431676462621,10.1402358915419,2B,18882,1.684534857090998,11.824770748632899
2,105,José Abreu,CHW,15676,1.65044843947332,2.01465805454474,2.29549161221333,1.83689003849157,1.09683920400881,1.43280636699465,10.3271337157264,1B,15676,1.4615076726103866,11.788641388336787
273,101,Giancarlo Stanton,NYY,4949,1.33703430992858,2.31903433548356,1.94162934128174,1.70739908057064,0.868663565921251,1.89918481764376,10.0729454508295,RF,4949,1.636203404191386,11.709148855020887
172,19,Will Smith,LAD,19197,1.23256293341366,1.81174053391886,1.58776707035014,1.49410665782478,0.914298693538762,2.25582716225778,9.29630305130398,C,19197,2.240165326633935,11.536468377937915
45,38,Ketel Marte,ARI,13613,1.54597706295841,1.10152921172827,1.41083593488435,1.81882480359664,2.2377173944466,1.69342961882797,9.80831402644223,2B,13613,1.5951832896475966,11.403497316089828
3,128,Josh Bell,WSN,13145,1.47632947861513,1.9131992942318,1.9770155683749,1.76676020180898,1.0512040763913,1.69342961882797,9.87793823825007,1B,13145,1.3405866842056455,11.218524922455716
131,11,Carlos Correa,,14162,1.61562464730168,1.40590549266709,1.72931197872278,1.7491715962413,1.41628509733139,1.51510844652096,9.43140725878521,SS,14162,1.6064359882939585,11.037843247079168
211,107,Eloy Jiménez,CHW,17484,1.19773914124202,2.01465805454474,1.90624311418858,1.55901284920378,1.27937971447886,1.41908935374026,9.37612222739824,LF,17484,1.5448894522013095,10.921011679599548
46,36,Jose Altuve,HOU,5417,2.10315773770462,1.40590549266709,1.37544970779119,1.68150422533309,1.55319048018393,1.29563623445079,9.41484387813071,2B,5417,1.489263257885709,10.90410713601642
