playerid,Name,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,SO,QS,ERA,WHIP,SVHD,Year
20123,Juan Soto,18.12719257,5,2.577246778,2.687733028,2.791788525,3.238854618,2.746185609,4.085384011,,,,,,,2021
10155,Mike Trout,17.20735999,3,2.540764753,3.122396988,2.430487863,3.117870348,1.871093931,4.12474611,,,,,,,2021
18401,Ronald Acuna Jr.,15.2707358,2,2.883695788,2.936112434,2.140030468,2.596200212,1.731451641,2.983245259,,,,,,,2021
5361,Freddie Freeman,14.79827248,9,2.241612148,1.983991379,2.317138636,2.72597241,2.504138975,3.025418936,,,,,,,2021
15998,Cody Bellinger,14.24669439,12,2.124869668,2.74982788,2.50133113,2.450060587,1.563880894,2.856724229,,,,,,,2021
13611,Mookie Betts,13.79448829,1,2.715878473,2.190974217,1.884994707,2.485378341,1.96418879,2.553073756,,,,,,,2021
19709,Fernando Tatis Jr.,13.28666422,4,2.299983388,2.439353623,2.055018548,2.148240022,1.796618043,2.547450599,,,,,,,2021
11477,Christian Yelich,13.0675408,14,2.227019338,2.335862204,1.849573074,2.410735751,1.57319038,2.671160051,,,,,,,2021
11579,Bryce Harper,12.80281028,17,2.197833718,2.460051907,2.253379696,2.408448221,0.7725745889,2.710522149,,,,,,,2021
13510,Jose Ramirez,12.58086086,11,2.066498428,2.190974217,2.033765568,2.209218521,1.563880894,2.516523236,,,,,,,2021
10324,Marcell Ozuna,12.46310703,30,1.672492558,2.273767352,2.430487863,2.094799995,1.815237015,2.176322243,,,,,,,2021
17484,Eloy Jimenez,12.29003794,28,1.482786028,2.501448474,2.260464022,1.974055771,1.945569818,2.125713831,,,,,,,2021
17678,Alex Bregman,12.27650533,31,2.030016403,1.859801676,1.934584994,2.377133952,1.535952436,2.539015864,,,,,,,2021
13624,Corey Seager,12.1725374,23,1.869495493,1.797706825,2.140030468,2.068469148,2.131759537,2.16507593,,,,,,,2021
17350,Rafael Devers,11.91679842,36,2.000830783,2.087482798,2.118777488,2.036543883,1.777999071,1.895164398,,,,,,,2021
12564,Trevor Story,11.81100289,15,2.124869668,2.232370785,1.72913952,2.08632403,1.526642951,2.111655939,,,,,,,2021
11493,Manny Machado,11.80577402,18,1.796531443,2.377258771,2.359644596,2.047280471,1.377691175,1.847367565,,,,,,,2021
19556,Yordan Alvarez,11.65622581,95,1.351450738,2.170275933,1.821235767,1.790441229,1.694213698,2.828608444,,,,,,,2021
12861,Anthony Rendon,11.63878502,27,1.730863798,1.611422271,1.913332014,2.209917154,1.833855987,2.339393794,,,,,,,2021
12161,Xander Bogaerts,11.09562319,25,1.825717063,1.570025703,1.764561153,2.032042905,1.982807762,1.920468604,,,,,,,2021
12856,George Springer,10.93466407,37,2.073794833,2.066784514,1.672464906,1.858573829,1.303215288,1.959830703,,,,,,,2021
19611,Vladimir Guerrero Jr.,10.73238012,43,1.519268053,1.466534284,1.807067113,1.910462576,2.094521593,1.934526497,,,,,,,2021
16997,Gleyber Torres,10.67095352,59,1.592232103,2.004689663,1.87791038,1.842292005,1.461476549,1.89235282,,,,,,,2021
16252,Trea Turner,10.66043122,8,2.263501363,1.238853163,1.346585878,1.943264674,2.178306967,1.689919172,,,,,,,2021
