"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos"
"3","Jacob deGrom","TEX","10954",1.20205822626091,2.58027580439095,1.89628302706857,2.52315848400883,3.60042668005216,-0.825896228817725,10.9763059929637,1,"SP"
"1","Gerrit Cole","NYY","13125",1.71175048637833,2.87275302292769,2.04107429917867,1.39347914351762,2.40564709948793,-0.825896228817725,9.59880782267252,2,"SP"
"2","Corbin Burnes","MIL","19361",1.71175048637833,2.66384072397287,2.04107429917867,1.4903239565007,1.9472323426973,-0.825896228817725,9.02832557991015,3,"SP"
"6","Carlos Rodón","NYY","16137",1.38554743990318,2.55938457449547,1.75149175495848,1.50772623698828,2.40217951433823,-0.825896228817725,8.78043329186591,4,"SP"
"4","Max Scherzer","NYM","3137",1.58942434395015,2.45492842501806,1.89628302706857,1.13974858967931,2.5139513423303,-0.825896228817725,8.76843949922866,5,"SP"
"9","Shane McClanahan","TBR","21483",1.44671051111727,2.14155997658583,1.89628302706857,1.75347989555034,1.85441664685694,-0.825896228817725,8.26655382836123,6,"SP"
"12","Shohei Ohtani","LAA","19755",1.22244591666561,2.20423366627228,1.60670048284838,1.48893667036569,1.95335840979511,-0.825896228817725,7.64977891712934,7,"SP"
"8","Aaron Nola","PHI","16149",1.75252586718772,2.20423366627228,1.89628302706857,0.798353792868951,1.70843131205448,-0.825896228817725,7.53393143663428,8,"SP"
"13","Justin Verlander","NYM","8700",1.36515974949849,1.91175644773553,1.60670048284838,1.06734449419228,2.33167194962762,-0.825896228817725,7.45673689508457,9,"SP"
"7","Shane Bieber","CLE","19427",1.83407662880651,2.03710382710842,2.04107429917867,0.80520861847719,1.19072084920394,-0.825896228817725,7.08228799395701,10,"SP"
"35","Edwin Díaz","NYM","14710",-0.999812337446323,-0.26093146139457,-0.999542415133376,2.93250990016753,3.26038372165519,2.72089739187189,6.65350479972034,11,"SP"
"25","Spencer Strider","ATL","27498",0.835079798976373,2.01621259721294,1.31711793862818,1.61058942364525,1.67213725415426,-0.825896228817725,6.62524078379929,12,"SP"
"5","Sandy Alcantara","MIA","18684",1.99717815204408,1.84908275804909,2.18586557128877,0.664786699841737,0.734964574361419,-0.825896228817725,6.60598152676737,13,"SP"
"10","Luis Castillo","SEA","15689",1.67097510556894,1.95353890752649,1.89628302706857,1.09978250823127,0.805240966728715,-0.825896228817725,6.59992428630626,14,"SP"
"24","Tyler Glasnow","TBR","14374",0.957405941404553,1.93264767763101,1.31711793862818,1.38154440250328,1.82760065503258,-0.825896228817725,6.59042038638188,15,"SP"
"19","Kevin Gausman","TOR","14107",1.38554743990318,1.76551783846716,1.46190921073828,0.719992527508094,1.81835376130004,-0.825896228817725,6.32542454909903,16,"SP"
"15","Zack Wheeler","PHI","10310",1.54864896314076,1.61927922919879,1.75149175495848,0.887874551109887,1.24504634988261,-0.825896228817725,6.22644461947279,17,"SP"
"22","Brandon Woodruff","MIL","16162",1.22244591666561,1.78640906836264,1.46190921073828,0.841482070654124,1.52337785123204,-0.825896228817725,6.00972788883497,18,"SP"
"14","Robbie Ray","SEA","11486",1.58942434395015,2.24601612606324,1.60670048284838,0.207308695558518,0.864189914273653,-0.825896228817725,5.68774333387621,19,"SP"
"11","Framber Valdez","HOU","17295",1.69136279597363,1.53571430961686,2.04107429917867,1.30575369674551,-0.0977182062537354,-0.825896228817725,5.65029066644321,20,"SP"
"17","Yu Darvish","SDP","13074",1.54864896314076,1.76551783846716,1.60670048284838,-0.0221239496505926,1.33439446057327,-0.825896228817725,5.40724156656124,21,"SP"
"16","Dylan Cease","CHW","18525",1.52826127273606,2.39225473533161,1.46190921073828,0.320107299094101,0.467498173147724,-0.825896228817725,5.34413446223005,22,"SP"
"27","Clayton Kershaw","LAD","2036",1.20205822626091,1.43125816013945,1.46190921073828,0.73313094325722,1.22620580390256,-0.825896228817725,5.2286661154807,23,"SP"
"18","Joe Musgrove","SDP","12970",1.65058741516424,1.61927922919879,1.60670048284838,0.295074944864012,0.849163711958276,-0.825896228817725,5.19490955521597,24,"SP"
"23","Nick Lodolo","CIN","26378",1.2836089878797,1.99532136731746,1.46190921073828,0.445228267711162,0.644691774297504,-0.825896228817725,5.00486337912638,25,"SP"
"33","Blake Snell","SDP","13543",0.957405941404553,1.74462660857168,1.17232666651809,0.979639448686855,0.912504934026171,-0.825896228817725,4.94060737038962,26,"SP"
"105","Andrés Muñoz","SEA","20373",-0.979424647041627,-0.323605151081016,-0.999542415133376,3.0152370366003,2.97294402997921,1.20084298300491,4.88645183632841,27,"SP"
"21","Max Fried","ATL","13743",1.56903665354545,1.28501955087108,1.75149175495848,0.618088200385606,0.3719084091876,-0.825896228817725,4.76964834013049,28,"SP"
"52","Josh Hader","SDP","14212",-0.95903695663693,-0.302713921185534,-0.999542415133376,2.00963820012491,2.33664215500886,2.51822347068962,4.60321053286755,29,"SP"
"50","Chris Sale","BOS","10603",0.692365966143497,1.2641283209756,1.02753539440799,0.838891109784343,1.35797403959125,-0.825896228817725,4.35499860208495,30,"SP"
"26","Zac Gallen","ARI","19291",1.40593513030788,1.7237353786762,1.46190921073828,0.202861219419838,0.367284962321328,-0.825896228817725,4.3358296726458,31,"SP"
"48","Emmanuel Clase","CLE","21032",-0.877486195018144,-0.678756059304205,-0.999542415133376,2.27187608217345,1.76125419250161,2.82223435246302,4.29957995768236,32,"SP"
"30","Lance Lynn","CHW","2520",1.42632282071258,1.36858447045301,1.46190921073828,-0.0349359451326598,0.862918466385428,-0.825896228817725,4.2589027943389,33,"SP"
"20","Alek Manoah","TOR","26410",1.75252586718772,1.76551783846716,1.60670048284838,-0.484498257939699,0.381617647606765,-0.825896228817725,4.1959673493526,34,"SP"
"32","Hunter Greene","CIN","22182",1.12050746464213,2.09977751679487,1.17232666651809,-0.170196343295242,0.621458953794501,-0.825896228817725,4.01797802963661,35,"SP"
"38","Logan Gilbert","SEA","22250",1.2836089878797,1.28501955087108,1.31711793862818,0.0727827429968175,0.849741642816561,-0.825896228817725,3.98237463437461,36,"SP"
"63","Andrew Heaney","TEX","15423",0.54965213331062,1.05521602202078,0.882744122297892,0.632103870602453,1.57273314652947,-0.825896228817725,3.86655306594349,37,"SP"
"28","Julio Urías","LAD","14765",1.56903665354545,1.4939318498259,1.46190921073828,-0.326918874016955,0.409705087319352,-0.825896228817725,3.7817676985943,38,"SP"
"42","Alex Cobb","SFG","6562",1.07973208383273,1.05521602202078,1.31711793862818,0.866106399550389,0.173446952452976,-0.825896228817725,3.66572316766734,39,"SP"
"37","Cristian Javier","HOU","17606",1.12050746464213,1.91175644773553,1.17232666651809,-0.228033934364762,0.498475267151727,-0.825896228817725,3.64913568286498,40,"SP"
"41","Jordan Montgomery","STL","16511",1.2836089878797,0.929868642647889,1.31711793862818,0.430784170893801,0.49627912989025,-0.825896228817725,3.6317626411221,41,"SP"
"31","Triston McKenzie","CLE","18000",1.44671051111727,1.68195291888523,1.31711793862818,-0.478908310866313,0.432244390792418,-0.825896228817725,3.57322121973907,42,"SP"
"40","Pablo López","MIN","17085",1.18167053585622,1.22234586118463,1.31711793862818,0.216020036435655,0.416062326760474,-0.825896228817725,3.52732047004744,43,"SP"
"29","Logan Webb","SFG","17995",1.63019972475954,1.13878094160271,1.60670048284838,0.254109201348104,-0.312246140848643,-0.825896228817725,3.49164798089236,44,"SP"
"45","Nestor Cortes","NYY","17874",1.10011977423743,1.34769324055752,1.17232666651809,-0.0951400831383576,0.778424974904353,-0.825896228817725,3.47752834426131,45,"SP"
"121","Jhoan Duran","MIN","21029",-0.918261575827537,-0.428061300558424,-0.999542415133376,2.60457993937336,1.9686157844538,1.20084298300491,3.42817341531273,46,"SP"
"43","Charlie Morton","ATL","4676",1.07973208383273,1.45214939003493,1.17232666651809,0.168179066044817,0.357228965387193,-0.825896228817725,3.40371994300004,47,"SP"
"65","Luis Severino","NYY","15890",0.651590585334104,1.0343247921253,0.882744122297892,0.626024293128478,0.981047533818618,-0.825896228817725,3.34983509788666,48,"SP"
"60","Ryan Helsley","STL","18138",-0.918261575827537,-0.49073499024487,-0.999542415133376,1.65851199910286,1.4721731771881,2.51822347068962,3.2403696657748,49,"SP"
"34","Brady Singer","KCR","25377",1.44671051111727,1.22234586118463,1.46190921073828,0.0585426588463676,-0.162562048553165,-0.825896228817725,3.20104996451566,50,"SP"
"78","George Kirby","SEA","25436",0.61081520452471,0.532935274633736,0.882744122297892,0.59481035509096,1.18343892038957,-0.825896228817725,2.97884764811914,51,"SP"
"46","Jon Gray","TEX","14916",1.24283360707031,1.36858447045301,1.17232666651809,-0.0987715086093895,0.0726558107682986,-0.825896228817725,2.93173281738258,52,"SP"
"99","Pete Fairbanks","TBR","17998",-0.979424647041627,-0.574299909826797,-0.999542415133376,1.94745513925017,1.80170935258147,1.70752778596057,2.9034253057904,53,"SP"
"55","Kodai Senga","NYM","31838",0.875855179785766,1.38947570034849,0.882744122297892,0.31906683449285,0.0880287715986456,-0.724559268226594,2.83061134029705,54,"SP"
