Name,Team,Position
Ronald Acuña,ATL,OF
Freddie Freeman,LAD,1B
Corbin Carroll,AZ,OF
Corbin Burnes,BAL,SP
Julio Rodríguez,SEA,OF
Bryce Harper,PHI,1B
Bobby Witt,KC,SS
Mookie Betts,LAD,"2B,SS,OF"
Juan Soto,NYY,OF
Spencer Strider,ATL,SP
Matt Olson,ATL,1B
Yordan Alvarez,HOU,OF
Trea Turner,PHI,SS
Kyle Tucker,HOU,OF
Austin Riley,ATL,3B
Fernando Tatis,SD,OF
José Ramírez,CLE,3B
Aaron Judge,NYY,OF
Zack Wheeler,PHI,SP
Ozzie Albies,ATL,2B
Marcus Semien,TEX,2B
Shohei Ohtani,LAD,Util
Francisco Lindor,NYM,SS
George Kirby,SEA,SP
Jose Altuve,HOU,2B
Tanner Bibee,CLE,SP
Luis Castillo,SEA,SP
Rafael Devers,BOS,3B
Logan Webb,SF,SP
Vladimir Guerrero,TOR,1B
Yoshinobu Yamamoto,LAD,SP
Adolis García,TEX,OF
Luis Robert,CWS,OF
Tarik Skubal,DET,SP
Pete Alonso,NYM,1B
Corey Seager,TEX,SS
Bo Bichette,TOR,SS
Evan Phillips,LAD,RP
Framber Valdez,HOU,SP
Manny Machado,SD,3B
Edwin Díaz,NYM,RP
Michael Harris,ATL,OF
Zac Gallen,AZ,SP
Alexis Díaz,CIN,RP
Max Fried,ATL,SP
Kevin Gausman,TOR,SP
Tyler Glasnow,LAD,SP
Gerrit Cole,NYY,SP
Freddy Peralta,MIL,SP
Zach Eflin,TB,SP
Paul Sewald,AZ,RP
Emmanuel Clase,CLE,RP
David Bednar,PIT,RP
Michael King,SD,"SP,RP"
Pablo López,MIN,SP
Bobby Miller,LAD,SP
Jordan Romano,TOR,RP
Walker Buehler,LAD,SP
Grayson Rodriguez,BAL,SP
Paul Goldschmidt,STL,1B
Gunnar Henderson,BAL,"3B,SS"
Ryan Helsley,STL,RP
Pete Fairbanks,TB,RP
Randy Arozarena,TB,OF
Josh Hader,HOU,RP
Bryce Miller,SEA,SP
Nestor Cortes,NYY,SP
Matt McLain,CIN,"2B,SS"
Jacob deGrom,TEX,SP
Jhoan Duran,MIN,RP
Kyle Schwarber,PHI,OF
Nolan Arenado,STL,3B
Raisel Iglesias,ATL,RP
Nolan Jones,COL,"1B,OF"
Ryan Pepiot,TB,"SP,RP"
Royce Lewis,MIN,3B
Aaron Nola,PHI,SP
Andrés Muñoz,SEA,RP
Oneil Cruz,PIT,SS
Jazz Chisholm,MIA,OF
Nico Hoerner,CHC,"2B,SS"
Craig Kimbrel,BAL,RP
Camilo Doval,SF,RP
Eury Pérez,MIA,SP
Nick Castellanos,PHI,OF
Xander Bogaerts,SD,SS
Logan Gilbert,SEA,SP
Adbert Alzolay,CHC,RP
Cody Bellinger,CHC,"1B,OF"
Chris Bassitt,TOR,SP
Christian Encarnacion-Strand,CIN,1B
Joe Ryan,MIN,SP
Dansby Swanson,CHC,SS
Masataka Yoshida,BOS,OF
Christian Yelich,MIL,OF
Elly De La Cruz,CIN,"3B,SS"
Hunter Harvey,WSH,RP
